"Sonne Two, LLC",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"SMA SC-1850-US - 1, AC Real Power","SMA SC-1850-US - 2, AC Real Power","SMA SC-1850-US - 3, AC Real Power",Production meter active power
,W/m²,kW,kW,kW,kW
2023-07-01 00:00:00,0,0,,,-4.006742
2023-07-01 01:00:00,0,0,,,-4.021694
2023-07-01 02:00:00,0,0,,,-4.021098
2023-07-01 03:00:00,0,0,,,-4.022776
2023-07-01 04:00:00,0,0,,,-4.015649
2023-07-01 05:00:00,0.02667361,0,,,-4.037216
2023-07-01 06:00:00,11.35719,24,,,46.45958
2023-07-01 07:00:00,82.86939,143.75,,,290.8841
2023-07-01 08:00:00,164.6072,275.75,,,551.8784
2023-07-01 09:00:00,450.946,766.75,,,1558.57
2023-07-01 10:00:00,723.2545,1135.25,,,2299.806
2023-07-01 11:00:00,717.8256,1143.5,,,2303.172
2023-07-01 12:00:00,861.7807,1364,,,2776.578
2023-07-01 13:00:00,961.0604,1430,,,2819.604
2023-07-01 14:00:00,965.9869,1535,,,2945.52
2023-07-01 15:00:00,702.8503,1267.5,,,2641.414
2023-07-01 16:00:00,546.707,919.75,,,1903.209
2023-07-01 17:00:00,209.0408,372,,,771.278
2023-07-01 18:00:00,28.52352,44.75,,,89.68561
2023-07-01 19:00:00,101.2715,206.75,,,425.6261
2023-07-01 20:00:00,10.14062,28.25,,,55.77118
2023-07-01 21:00:00,0.005449115,0,,,-4.015076
2023-07-01 22:00:00,0,0,,,-4.017678
2023-07-01 23:00:00,0,0,,,-4.009912
2023-07-02 00:00:00,0,0,,,-4.104209
2023-07-02 01:00:00,0,0,,,-4.025967
2023-07-02 02:00:00,0,0,,,-4.025921
2023-07-02 03:00:00,0,0,,,-4.049779
2023-07-02 04:00:00,0,0,,,-4.136691
2023-07-02 05:00:00,0,0,,,-4.173191
2023-07-02 06:00:00,8.495527,15.5,,,28.21992
2023-07-02 07:00:00,85.93421,152.25,,,309.4669
2023-07-02 08:00:00,250.465,412.25,,,839.9458
2023-07-02 09:00:00,490.3604,838.25,,,1688.312
2023-07-02 10:00:00,667.8868,1105.25,,,2269.521
2023-07-02 11:00:00,692.7198,1164.75,,,2363.105
2023-07-02 12:00:00,875.2881,1417.25,,,2864.828
2023-07-02 13:00:00,942.8624,1545.75,,,3133.16
2023-07-02 14:00:00,930.8984,1527.5,,,3112.552
2023-07-02 15:00:00,580.8906,989.25,,,2036.573
2023-07-02 16:00:00,689.8372,1170,,,2412.572
2023-07-02 17:00:00,461.3203,814,,,1684.422
2023-07-02 18:00:00,102.9817,178.75,,,362.6392
2023-07-02 19:00:00,39.7719,72,,,145.6745
2023-07-02 20:00:00,5.763597,12,,,22.05473
2023-07-02 21:00:00,0,0,,,-3.914157
2023-07-02 22:00:00,0,0,,,-3.799566
2023-07-02 23:00:00,0,0,,,-3.876107
2023-07-03 00:00:00,0,0,,,-3.95999
2023-07-03 01:00:00,0,0,,,-4.022142
2023-07-03 02:00:00,0,0,,,-4.099941
2023-07-03 03:00:00,0,0,,,-4.087784
2023-07-03 04:00:00,0,0,,,-4.102532
2023-07-03 05:00:00,0,0,,,-4.148126
2023-07-03 06:00:00,10.81303,23.5,,,44.77009
2023-07-03 07:00:00,85.17875,161.25,,,328.3633
2023-07-03 08:00:00,153.9886,272.5,,,552.2748
2023-07-03 09:00:00,424.821,722.25,,,1481.447
2023-07-03 10:00:00,652.9134,1113.25,,,2259.4
2023-07-03 11:00:00,661.1415,1110.5,,,2246.014
2023-07-03 12:00:00,581.0118,1000.75,,,2031.296
2023-07-03 13:00:00,598.8623,1026,,,2066.335
2023-07-03 14:00:00,673.3216,1133.25,,,2285.773
2023-07-03 15:00:00,687.9864,1105.25,,,2246.845
2023-07-03 16:00:00,47.48078,90.25,,,183.6684
2023-07-03 17:00:00,437.9776,782.75,,,1604.496
2023-07-03 18:00:00,325.8881,536.5,,,1123.556
2023-07-03 19:00:00,99.12974,144.5,,,305.5356
2023-07-03 20:00:00,7.343033,23.25,,,45.42097
2023-07-03 21:00:00,0,0,,,-3.890594
2023-07-03 22:00:00,0,0,,,-3.882193
2023-07-03 23:00:00,0,0,,,-3.915236
2023-07-04 00:00:00,0,0,,,-3.945606
2023-07-04 01:00:00,0,0,,,-4.044191
2023-07-04 02:00:00,0,0,,,-4.088843
2023-07-04 03:00:00,0,0,,,-4.128844
2023-07-04 04:00:00,0,0,,,-4.14734
2023-07-04 05:00:00,0,0,,,-4.165032
2023-07-04 06:00:00,13.03276,27.75,,,53.32959
2023-07-04 07:00:00,100.401,146,,,292.9827
2023-07-04 08:00:00,305.0266,498.75,,,1016.344
2023-07-04 09:00:00,537.3453,893,,,1833.964
2023-07-04 10:00:00,675.2279,1124,,,2296.82
2023-07-04 11:00:00,739.4438,1223,,,2502.655
2023-07-04 12:00:00,969.4541,1578,,,3179.043
2023-07-04 13:00:00,779.2355,1265.75,,,2572.346
2023-07-04 14:00:00,582.7326,1011.25,,,2052.415
2023-07-04 15:00:00,756.8519,1269.25,,,2606.89
2023-07-04 16:00:00,445.7952,771.75,,,1594.828
2023-07-04 17:00:00,181.5639,334.25,,,685.8103
2023-07-04 18:00:00,244.8463,412,,,861.9976
2023-07-04 19:00:00,55.13108,96,,,197.4808
2023-07-04 20:00:00,11.71214,29,,,57.20325
2023-07-04 21:00:00,0,0,,,-3.761935
2023-07-04 22:00:00,0,0,,,-3.804638
2023-07-04 23:00:00,0,0,,,-3.876204
2023-07-05 00:00:00,0,0,,,-3.972161
2023-07-05 01:00:00,0,0,,,-3.965524
2023-07-05 02:00:00,0,0,,,-4.025107
2023-07-05 03:00:00,0,0,,,-4.025052
2023-07-05 04:00:00,0,0,,,-4.032292
2023-07-05 05:00:00,0,0,,,-4.038007
2023-07-05 06:00:00,13.40654,32.25,,,62.45349
2023-07-05 07:00:00,110.6557,181,,,364.8548
2023-07-05 08:00:00,165.3275,299,,,604.5359
2023-07-05 09:00:00,174.7252,327.75,,,672.5292
2023-07-05 10:00:00,410.0113,737.75,,,1509.888
2023-07-05 11:00:00,797.1863,1318.25,,,2714.684
2023-07-05 12:00:00,847.2188,1418.25,,,2875.395
2023-07-05 13:00:00,638.1141,1061.5,,,2154.298
2023-07-05 14:00:00,460.8596,802,,,1639.314
2023-07-05 15:00:00,773.0986,1274,,,2624.226
2023-07-05 16:00:00,623.5984,1051.25,,,2158.887
2023-07-05 17:00:00,399.5062,706.25,,,1465.314
2023-07-05 18:00:00,215.15,369.75,,,769.1469
2023-07-05 19:00:00,75.6425,149.5,,,306.0432
2023-07-05 20:00:00,6.13098,12.25,,,21.44841
2023-07-05 21:00:00,0,0,,,-3.854317
2023-07-05 22:00:00,0,0,,,-3.843003
2023-07-05 23:00:00,0,0,,,-3.895947
2023-07-06 00:00:00,0,0,,,-3.978016
2023-07-06 01:00:00,0,0,,,-3.997355
2023-07-06 02:00:00,0,0,,,-4.093845
2023-07-06 03:00:00,0,0,,,-4.111001
2023-07-06 04:00:00,0,0,,,-4.101867
2023-07-06 05:00:00,0,0,,,-4.120479
2023-07-06 06:00:00,10.41103,20.5,,,38.26406
2023-07-06 07:00:00,115.7846,157.75,0,229,308.1684
