Turkey Hill Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA*,"TMEIC 2.7MW Inverter 1.1.1, Active Power P","TMEIC 2.7MW Inverter 1.2.1, Active Power P","TMEIC 2.7MW Inverter 1.3.1, Active Power P","TMEIC 2.7MW Inverter 1.4.1, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2023-07-01 00:00:00,-0.2099485,0,0,0,0,-14.04333
2023-07-01 01:00:00,-0.2364442,0,0,0,0,-13.97817
2023-07-01 02:00:00,-0.2475343,0,0,0,0,-14.033
2023-07-01 03:00:00,-0.1892735,0,0,0,0,-14.00183
2023-07-01 04:00:00,-0.2913725,0,0,0,0,-14.1685
2023-07-01 05:00:00,3.110222,2.105,2.443333,2.96,2.188333,23.73667
2023-07-01 06:00:00,301.2663,463.895,463.8749,531.2983,512.325,1963.498
2023-07-01 07:00:00,852.9669,1902.35,1938.485,1986.537,1933.975,7730.047
2023-07-01 08:00:00,1102.892,2448.67,2485.636,2504.187,2466.312,9815.951
2023-07-01 09:00:00,1135.214,2537.78,2537.712,2537.672,2537.917,9999.769
2023-07-01 10:00:00,1087.48,2545.783,2545.893,2545.867,2545.857,10000.23
2023-07-01 11:00:00,1043.612,2550.412,2550.414,2550.257,2550.372,10000.09
2023-07-01 12:00:00,1018.751,2551.27,2551.198,2551.24,2551.239,10000.22
2023-07-01 13:00:00,1019.333,2528.25,2538.155,2550.263,2515.902,9944.12
2023-07-01 14:00:00,1058.695,2552.155,2551.991,2551.95,2552.08,9999.879
2023-07-01 15:00:00,1098.526,2548.788,2545.523,2551.283,2543.353,9983.794
2023-07-01 16:00:00,1124.934,2480.785,2522.503,2538.065,2469.16,9806.024
2023-07-01 17:00:00,1135.316,2414.955,2455.317,2442.11,2368.68,9493.832
2023-07-01 18:00:00,921.9919,1998.856,2048.065,2074.655,1982.438,7938.068
2023-07-01 19:00:00,511.1976,1003.677,1021.8,1036.332,1004.203,3994.52
2023-07-01 20:00:00,29.68317,52.76501,52.84999,54.60667,52.95667,223.2278
2023-07-01 21:00:00,-0.3543243,0,0,0,0,-14.043
2023-07-01 22:00:00,-0.2204457,0,0,0,0,-14.12934
2023-07-01 23:00:00,-0.2107036,0,0,0,0,-14.08117
2023-07-02 00:00:00,-0.2451476,0,0,0,0,-14.10317
2023-07-02 01:00:00,-0.2250386,0,0,0,0,-14.073
2023-07-02 02:00:00,-0.2640562,0,0,0,0,-14.154
