Range,Device,Reason
2023-05-19 - 2023-05-30,INV 1,Awaiting parts procurement
2023-06-01 - 2023-06-23,INV 2,Awaiting parts procurement
2023-07-14 - 2023-07-28,INV 2,Awaiting parts and service procurement
