Range,Device,Reason
2022-09-09 - 2022-09-12,INV 1,Awaiting fuse procurement
2022-10-17 - 2022-10-25,INV 1,Awaiting contactor and bus work procurement
2023-08-18 - 2023-08-31,INV 2,Awaiting part procurement
