Range,Device,Reason
2022-05-11 - 2022-06-06,INV 10.11,Awaiting RMA
2023-03-21 - 2023-04-24,INV 9.02,Awaiting RMA
2023-06-05 - 2023-07-07,INV 7.07,Awaiting RMA
2023-10-03 - ? ,INV 10.07,Awaiting RMA
