Range,Device,Reason
2020-09-01 - 2020-09-03,INV A,Awaiting Bold parts
2020-10-23 - 2021-12-28,INV D,Awaiting Bold/parts procurement
2021-04-01 - 2021-04-06,INV D,Awaiting Bold repairs
2021-04-15 - 2021-05-26,INV D,Awaiting NV Solar repairs
2021-07-02 - 2021-10-31,INV D,Awaiting ?
2023-04-05 - 2023-04-12,INV E,Waiting on materials and Inversion dispatch
2023-08-31 - 2023-09-05,INV C,Awaiting fuse procurement
