Schell Solar Farm,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"SMA Kodiak SC-1850 - A1, AC Real Power","SMA Kodiak SC-1850 - B1, AC Real Power","SMA Kodiak SC-1850 - C1, AC Real Power",Production meter active power
,W/m²,kW,kW,kW,kW
2022-12-01 00:00:00,0,0,0,0,-7.164707
2022-12-01 01:00:00,0,0,0,0,-7.1354
2022-12-01 02:00:00,0,0,0,0,-7.14145
2022-12-01 03:00:00,0,0,0,0,-7.096555
2022-12-01 04:00:00,0,0,0,0,-7.190337
2022-12-01 05:00:00,0,0,0,0,-7.155354
2022-12-01 06:00:00,0,0,-0.25,0,-7.344072
2022-12-01 07:00:00,40.8957,59.75,65.75,59.5,178.0249
2022-12-01 08:00:00,131.2083,257,284.5,258.5,765.0129
2022-12-01 09:00:00,384.6992,768,834.25,743.75,2213.396
2022-12-01 10:00:00,721.281,1405.25,1499.25,1388.75,4277.044
2022-12-01 11:00:00,824.7422,1663,1666.25,1636.5,4903.447
2022-12-01 12:00:00,815.9509,1626.25,1666.5,1607.75,4839.306
2022-12-01 13:00:00,737.0146,1483.5,1614,1467,4511.801
2022-12-01 14:00:00,587.2557,1174.25,1282.75,1150.25,3573.411
2022-12-01 15:00:00,366.4451,654.5,720.75,630.25,1995.51
2022-12-01 16:00:00,96.72419,104.25,104.25,48.75,256.4525
2022-12-01 17:00:00,0,0,0,0,-7.265797
2022-12-01 18:00:00,0,0,0,0,-7.24986
2022-12-01 19:00:00,0,0,0,0,-7.24562
2022-12-01 20:00:00,0,0,0,0,-7.281659
2022-12-01 21:00:00,0,0,0,0,-7.236692
2022-12-01 22:00:00,0,0,0,0,-7.234906
2022-12-01 23:00:00,0,0,0,0,-7.243677
2022-12-02 00:00:00,0,0,0,0,-7.171719
2022-12-02 01:00:00,0,0,0,0,-7.161309
2022-12-02 02:00:00,0,0,0,0,-7.184755
2022-12-02 03:00:00,0,0,0,0,-7.216862
2022-12-02 04:00:00,0,0,0,0,-7.267156
2022-12-02 05:00:00,0,0,0,0,-7.238894
2022-12-02 06:00:00,0,0,-0.5,0,-7.587001
2022-12-02 07:00:00,117.4987,111.75,119.75,112,334.5308
2022-12-02 08:00:00,370.9706,687.25,759.75,680.25,2105.725
2022-12-02 09:00:00,542.8236,1166.25,1278.5,1152,3556.571
2022-12-02 10:00:00,695.9117,1420.5,1557.25,1404,4330.926
2022-12-02 11:00:00,779.9141,1556.75,1665,1541.5,4704.001
2022-12-02 12:00:00,781.7587,1539.75,1662.25,1526,4670.635
2022-12-02 13:00:00,676.8339,1325.75,1457.25,1316.75,4032.863
2022-12-02 14:00:00,542.3329,1099.25,1203,1084.5,3351.343
2022-12-02 15:00:00,317.6381,592.5,654,572,1798.407
2022-12-02 16:00:00,61.0411,80.25,89.5,74,245.195
2022-12-02 17:00:00,0,0,0,0,-7.335108
2022-12-02 18:00:00,0,0,0,0,-7.395829
