Turkey Hill Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA*,"TMEIC 2.7MW Inverter 1.1.1, Active Power P","TMEIC 2.7MW Inverter 1.2.1, Active Power P","TMEIC 2.7MW Inverter 1.3.1, Active Power P","TMEIC 2.7MW Inverter 1.4.1, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2023-01-01 00:00:00,-0.194432,0,0,0,0,-14.665
2023-01-01 01:00:00,-0.2144904,0,0,0,0,-14.57783
2023-01-01 02:00:00,-0.199228,0,0,0,0,-14.70267
2023-01-01 03:00:00,-0.2444197,0,0,0,0,-14.84717
2023-01-01 04:00:00,-0.1294336,0,0,0,0,-14.84233
2023-01-01 05:00:00,-0.22864,0,0,0,0,-14.81717
2023-01-01 06:00:00,-0.2184831,0,0,0,0,-14.7305
2023-01-01 07:00:00,6.444307,1.406667,1.698334,1.565,1.401667,30.528
2023-01-01 08:00:00,234.1099,350.9134,383.4849,396.8149,380.1133,1509.982
2023-01-01 09:00:00,690.1862,1672.127,1745.593,1818.848,1776.976,7002.029
2023-01-01 10:00:00,559.4081,1423.71,1394.589,1412.198,1376.832,5586.783
2023-01-01 11:00:00,508.6242,1405.287,1424.358,1442.156,1390.067,5643.749
2023-01-01 12:00:00,489.6893,1393.984,1409.23,1425.759,1375.987,5585.164
2023-01-01 13:00:00,596.0074,1556.522,1569.384,1590.943,1535.552,6227.188
2023-01-01 14:00:00,727.4839,1776.762,1787.323,1820.53,1757.402,7104.861
2023-01-01 15:00:00,529.2599,1150.707,1143.342,1174.507,1109.578,4541.253
2023-01-01 16:00:00,45.7211,86.35999,82.53835,87.04166,82.36166,342.4386
2023-01-01 17:00:00,-0.184185,0,0,0,0,-14.62767
2023-01-01 18:00:00,-0.2287247,0,0,0,0,-14.7115
2023-01-01 19:00:00,-0.2208802,0,0,0,0,-14.75167
2023-01-01 20:00:00,-0.2630537,0,0,0,0,-14.68883
2023-01-01 21:00:00,-0.2021037,0,0,0,0,-14.64717
2023-01-01 22:00:00,-0.0630222,0,0,0,0,-14.6005
2023-01-01 23:00:00,-0.250009,0,0,0,0,-14.64017
2023-01-02 00:00:00,-0.2165145,0,0,0,0,-14.61241
2023-01-02 01:00:00,-0.1814783,0,0,0,0,-14.62867
2023-01-02 02:00:00,-0.1824705,0,0,0,0,-14.65434
2023-01-02 03:00:00,-0.08876374,0,0,0,0,-14.63834
2023-01-02 04:00:00,-0.25124,0,0,0,0,-14.53967
