Dairy Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA*,"TMEIC 2.5MW Inverter 1.1.1, Active Power P","TMEIC 2.5MW Inverter 1.2.1, Active Power P","TMEIC 2.5MW Inverter 1.3.1, Active Power P","TMEIC 2.5MW Inverter 1.4.1, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2023-01-01 00:00:00,-0.2851191,0,0,0,0,-13.91445
2023-01-01 01:00:00,-0.286025,0,0,0,0,-13.91667
2023-01-01 02:00:00,-0.2147904,0,0,0,0,-13.93167
2023-01-01 03:00:00,-0.3383263,0,0,0,0,-13.9205
2023-01-01 04:00:00,-0.2083699,0,0,0,0,-13.88634
2023-01-01 05:00:00,-0.2656362,0,0,0,0,-13.77883
2023-01-01 06:00:00,-0.3029515,0,0,0,0,-13.72883
2023-01-01 07:00:00,6.624773,3.286668,4.673333,6.165,7.796668,47.84434
2023-01-01 08:00:00,416.6146,1068.082,1098.422,1124.348,1122.402,4401.093
2023-01-01 09:00:00,554.5643,1651.622,1735.267,1807.357,1824.177,6970.437
2023-01-01 10:00:00,563.4406,1656.175,1654.633,1707.22,1709.603,6693.738
2023-01-01 11:00:00,505.9963,1457.996,1455.713,1498.213,1504.381,5884.163
2023-01-01 12:00:00,484.1165,1425.862,1426.125,1461.74,1471.888,5756.888
2023-01-01 13:00:00,540.7673,1603.803,1608.899,1659.407,1671.422,6501.418
2023-01-01 14:00:00,590.4275,1799.307,1793.162,1867.295,1853.067,7255.712
2023-01-01 15:00:00,435.999,1335.25,1353.538,1399.282,1400.603,5427.29
2023-01-01 16:00:00,43.89697,103.97,105.8283,112.0567,105.2567,436.1501
2023-01-01 17:00:00,-0.1799199,0,0,0,0,-13.6975
2023-01-01 18:00:00,-0.2788109,0,0,0,0,-13.9115
2023-01-01 19:00:00,-0.2459888,0,0,0,0,-14.04
2023-01-01 20:00:00,-0.3045632,0,0,0,0,-13.83133
2023-01-01 21:00:00,-0.2251678,0,0,0,0,-13.82067
2023-01-01 22:00:00,-0.2487915,0,0,0,0,-13.97266
2023-01-01 23:00:00,-0.2894853,0,0,0,0,-14.05017
2023-01-02 00:00:00,-0.2706613,0,0,0,0,-14.037
2023-01-02 01:00:00,-0.2422152,0,0,0,0,-14.06767
2023-01-02 02:00:00,-0.2393957,0,0,0,0,-13.80717
2023-01-02 03:00:00,-0.228944,0,0,0,0,-13.78583
2023-01-02 04:00:00,-0.2581971,0,0,0,0,-13.72917
2023-01-02 05:00:00,-0.2115133,0,0,0,0,-13.83234
2023-01-02 06:00:00,-0.2079054,0,0,0,0,-13.8285
2023-01-02 07:00:00,5.83059,2.48,2.306667,3.945,3.961668,40.34434
2023-01-02 08:00:00,112.9876,189.7516,189.7817,199.6883,201.4667,771.236
