Timestamp,POA Irradiance,Meter Power,Inverter_1,Inverter_2,Avg_Top_20%,Expected Sum
2023-05-04 06:00:00,7.972593,-1.677184,5.318669,0.0,,5.318669
2023-05-04 07:00:00,99.47211,50.45216,57.06023,57.06023,57.06023,114.12046
2023-05-04 08:00:00,306.0781,205.2034,210.0042,210.0042,210.0042,420.0084
2023-05-04 09:00:00,540.8356,373.743,378.411,378.411,378.411,756.822
2023-05-04 10:00:00,748.556,19.36797,,,,0.0
2023-05-04 11:00:00,910.7111,161.4574,327.8261,327.8261,327.8261,655.6522
2023-05-04 12:00:00,1002.32,627.7843,632.3203,632.3203,632.3203,1264.6406
2023-05-04 13:00:00,1023.097,631.3743,636.3301,636.3301,636.3301,1272.6602
2023-05-04 14:00:00,952.2944,578.9382,587.5563,587.5563,587.5563,1175.1126
2023-05-04 15:00:00,777.5561,486.2102,489.0035,489.0035,489.0035,978.007
2023-05-04 16:00:00,634.8661,387.2399,392.3146,392.3146,392.3146,784.6292
2023-05-04 17:00:00,433.0691,263.5268,269.3916,269.3916,269.3916,538.7832
2023-05-04 18:00:00,114.0114,79.80119,86.72733,86.72733,86.72733,173.45466
2023-05-04 19:00:00,42.01513,7.588797,14.84358,0.0,,14.84358
2023-05-04 20:00:00,0.6676751,-6.118951,0.01133142,0.0,,0.01133142
2023-05-04 21:00:00,0.0,-4.98286,0.0,0.0,,0.0
2023-05-04 22:00:00,0.0,-5.021424,0.0,0.0,,0.0
2023-05-04 23:00:00,0.0,-5.015939,0.0,0.0,,0.0
2023-05-05 00:00:00,0.0,-4.990314,0.0,0.0,,0.0
2023-05-05 01:00:00,0.0,-4.996713,0.0,0.0,,0.0
2023-05-05 02:00:00,0.0,-5.044556,0.0,0.0,,0.0
2023-05-05 03:00:00,0.0,-5.034454,0.0,0.0,,0.0
2023-05-05 04:00:00,0.0,-4.95135,0.0,0.0,,0.0
2023-05-05 05:00:00,0.0,-5.338505,0.0,0.0,,0.0
2023-05-05 06:00:00,13.7594,2.695337,10.01225,0.0,,10.01225
2023-05-05 07:00:00,138.6225,70.47635,76.38469,76.38469,76.38469,152.76938
2023-05-05 08:00:00,304.2996,179.705,187.9737,187.9737,187.9737,375.9474
2023-05-05 09:00:00,545.7062,370.2496,374.7332,374.7332,374.7332,749.4664
2023-05-05 10:00:00,738.3562,657.3676,462.0808,382.7039,462.0808,844.7846999999999
2023-05-05 11:00:00,897.9205,807.2625,811.4355,811.4355,811.4355,1622.871
2023-05-05 12:00:00,984.488,962.0751,137.7016,862.9042,862.9042,1000.6057999999999
2023-05-05 13:00:00,1029.721,1422.74,591.7846,834.393,834.393,1426.1776
2023-05-05 14:00:00,631.7435,755.8828,341.2342,435.2863,435.2863,776.5205
2023-05-05 15:00:00,464.5862,679.7809,275.2888,407.9736,407.9736,683.2624
2023-05-05 16:00:00,444.4792,616.1524,260.9655,367.6071,367.6071,628.5726
2023-05-05 17:00:00,254.5217,384.135,157.9364,234.5262,234.5262,392.46259999999995
2023-05-05 18:00:00,162.1582,169.58,71.97624,106.1341,106.1341,178.11034
2023-05-05 19:00:00,44.69727,32.39826,16.60719,25.4771,,42.084289999999996
2023-05-05 20:00:00,0.6820755,-7.267517,0.01677696,0.03399457,,0.05077153
2023-05-05 21:00:00,0.0,-4.964164,0.0,0.0,,0.0
2023-05-05 22:00:00,0.0,-4.986427,0.0,0.0,,0.0
2023-05-05 23:00:00,0.0,-5.009253,0.0,0.0,,0.0
2023-05-06 00:00:00,0.0,-5.018746,0.0,0.0,,0.0
2023-05-06 01:00:00,0.0,-5.039763,0.0,0.0,,0.0
2023-05-06 02:00:00,0.0,-5.049966,0.0,0.0,,0.0
2023-05-06 03:00:00,0.0,-5.057685,0.0,0.0,,0.0
2023-05-06 04:00:00,0.0,-5.03588,0.0,0.0,,0.0
2023-05-06 05:00:00,0.0,-5.764608,0.0,0.0,,0.0
2023-05-06 06:00:00,10.74071,9.029063,7.462107,11.12015,,18.582257
2023-05-06 07:00:00,101.6448,138.6982,59.83165,86.99126,86.99126,146.82291
2023-05-06 08:00:00,290.3338,470.6024,194.7423,282.0644,282.0644,476.8067
2023-05-06 09:00:00,515.138,838.0343,344.4917,497.5417,497.5417,842.0334
2023-05-06 10:00:00,720.553,1125.296,464.563,667.3088,667.3088,1131.8718
2023-05-06 11:00:00,907.6047,1338.252,547.8356,788.1849,788.1849,1336.0205
2023-05-06 12:00:00,750.6475,1012.383,436.8968,586.2796,586.2796,1023.1764
2023-05-06 13:00:00,1034.518,1496.362,608.4114,887.6156,887.6156,1496.027
2023-05-06 14:00:00,811.4811,1111.476,459.5463,659.5486,659.5486,1119.0949
