"County Home Solar Center, LLC",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85
2023-05-01 07:00:00,79.77647,1.315208,1.447833,1.203208,1.425,1.499458,1.405458,1.447792,1.326792,1.432833,1.33075,1.3865,1.213083,1.347167,1.26325,1.283792,1.232833,1.351875,1.264417,1.373083,1.3235,1.089333,1.241417,1.154958,1.235125,1.16325,1.112583,1.042792,1.120375,1.013,1.079667,1.021042,1.098917,1.010375,1.102667,1.039542,0.8933334,1.017708,1.130417,1.054125,1.127333,1.098125,1.146625,1.38425,1.42875,1.37875,1.182542,1.425542,1.280208,1.487125,1.365375,1.508083,1.417917,1.534125,1.427333,1.54475,1.414042,1.655042,1.547,1.714083,1.632666,1.634583,1.654583,1.7335,1.639667,1.626667,1.661208,1.538542,1.486167,1.4785,1.414958,1.415958,1.398875,1.416083,1.423792,,1.338791,1.276583,1.294333,1.28775,1.282458,1.267417,1.271708,1.2005,116.9626
2023-05-01 08:00:00,317.7628,5.800958,6.234084,5.239708,6.188791,6.5075,6.409,6.305417,5.977125,6.372375,6.1615,6.368291,6.404917,6.2225,6.160958,6.267708,6.161625,6.3905,6.265458,6.335834,6.252542,5.476458,6.252291,6.124417,6.140542,6.064375,5.5495,5.456625,5.410625,5.2235,5.32075,5.214208,5.35025,5.2265,5.357042,5.301667,4.502166,5.433625,5.546375,5.476917,5.363542,5.391917,5.533958,6.122417,6.212791,6.377958,5.874083,6.544167,5.973625,6.59525,6.266541,6.67875,6.440291,6.699542,6.536333,6.812791,6.518209,7.520126,7.265418,7.540418,7.354249,7.763375,7.830583,7.777876,7.649292,7.664667,7.855791,7.1635,7.1785,7.017625,6.981125,6.879292,6.937417,6.804792,6.971708,,6.708375,6.62525,6.724417,6.511458,6.570417,6.462875,6.605583,5.914625,540.7755
2023-05-01 09:00:00,564.773,11.91663,12.66167,10.61942,12.55667,13.09567,12.9745,12.77717,12.25188,12.91621,12.54733,13.10271,13.24963,12.93396,12.93775,13.09213,12.93437,13.344,13.25196,13.47659,13.42625,12.185,13.52458,13.41654,13.40583,13.34046,12.08096,12.03667,11.90558,11.73962,11.76341,11.63883,11.78754,11.64804,11.75354,11.76483,10.06746,12.08963,12.17754,12.13154,11.80304,11.82638,11.909,12.20259,12.35121,12.75267,11.913,12.98721,11.91688,12.96342,12.38608,13.09604,12.74625,13.15283,12.88671,13.34996,12.83279,14.58904,14.21825,14.58838,14.33484,15.15325,15.27738,15.07516,14.89734,14.98405,15.24267,14.09138,14.09416,13.89108,13.83467,13.73733,13.77958,13.681,13.90704,,13.577,13.54296,13.62296,13.36642,13.40379,13.34663,13.59188,12.58654,1085.084
2023-05-01 10:00:00,783.2539,17.10708,18.05104,15.16166,17.93254,18.53025,18.37554,18.17658,17.50863,18.36633,17.9775,18.63304,18.85004,18.48467,18.43438,18.6295,18.45288,19.08287,18.99492,19.35979,19.33875,17.79141,19.51742,19.46425,19.49446,19.42721,17.59163,17.58296,17.40638,17.21837,17.20562,17.06996,17.23684,17.09708,17.263,17.29408,14.83687,17.77108,17.857,17.82034,17.2925,17.28308,17.35258,17.28233,17.43992,18.03746,17.01059,18.23092,16.87704,18.24242,17.40379,18.3165,17.96133,18.36733,18.03642,18.63063,17.92308,20.15521,19.74783,20.19113,19.88713,21.06146,21.22621,20.80087,20.61196,20.692,21.01608,19.53858,19.54804,19.27041,19.22588,19.14862,19.14979,19.13521,19.36021,,18.96716,18.99725,19.07296,18.83637,18.82617,18.90438,19.15675,18.07438,1520.261
2023-05-01 11:00:00,949.3369,20.58683,21.64887,18.21154,21.53763,22.13742,21.95171,21.79179,21.04242,20.14108,21.67312,22.32958,22.56738,22.21538,22.0945,22.32721,22.18213,22.81817,22.75683,23.05321,23.03817,21.67092,23.15725,23.15117,23.18459,23.12687,21.34333,21.32688,21.16183,20.93096,20.85425,20.70804,20.89634,20.74963,21.02238,21.02387,18.08962,21.56658,21.62988,21.59104,20.91692,20.89296,20.97783,20.676,20.84463,21.52596,20.39154,21.62967,20.17796,21.64363,20.70904,21.73092,21.35267,21.77979,21.38425,22.05496,21.21846,23.23129,23.10054,23.41258,23.11621,23.73883,23.59362,23.48379,23.39771,23.59008,23.51237,22.89746,22.89162,22.59933,22.59517,22.53167,22.48717,22.54229,22.64692,,22.31683,22.40458,22.44854,22.2405,22.16704,22.34654,22.49,21.635,1782.013
2023-05-01 12:00:00,1089.978,22.81054,23.44333,20.4997,23.39421,23.53996,23.50054,23.47925,23.15033,23.51075,23.42492,23.4995,23.50783,23.48812,23.46788,23.45879,23.43066,23.453,23.43504,23.44254,23.43654,23.29325,23.41258,23.39879,23.40017,23.38396,23.17671,23.16937,23.12596,22.96683,22.90146,22.81663,22.90946,22.79404,22.95233,22.92004,20.24158,23.04067,23.05533,23.01838,22.76084,22.72733,22.70612,22.76767,22.85962,23.32721,22.57608,23.51312,22.40454,23.38,22.77158,23.37663,23.20171,23.53596,23.18846,23.37683,23.13354,23.45041,23.63179,23.65767,23.39992,23.64617,23.44733,23.42034,23.40425,23.65129,23.41688,23.57634,23.54067,23.3175,23.50475,23.28134,23.25221,23.24079,23.23654,,23.18833,23.39558,23.35525,23.33191,23.29483,23.30979,23.09804,22.94633,1916.115
2023-05-01 13:00:00,685.7144,14.73096,15.34212,13.789,15.05967,15.48396,15.20325,15.40717,15.02213,15.46433,15.16129,15.533,15.37458,15.48621,15.29521,15.50071,15.25896,15.64554,15.45275,15.68804,15.67175,15.16279,15.7485,15.54933,15.78033,15.59567,15.19454,15.04113,15.15446,14.95267,15.04979,14.90271,15.03767,14.86008,15.02267,14.89188,13.55479,14.96929,15.15929,15.02909,14.99446,14.94192,14.99292,14.83758,14.94067,15.32825,14.601,15.47871,14.60737,15.39017,14.78263,15.36763,14.99471,15.47642,15.01275,15.43371,15.04617,15.81596,15.48996,15.90817,15.62875,15.68421,15.95629,15.89842,15.56579,15.95117,15.675,15.65292,15.37746,15.46821,15.33062,15.43958,15.23046,15.44954,15.33208,,15.22688,15.484,15.30821,15.42588,15.23437,15.43988,15.32633,15.19342,1159.101
2023-05-01 14:00:00,850.6362,18.31233,18.94375,17.08237,18.74446,19.03617,18.82725,18.96334,18.64558,19.02412,18.81025,19.05504,18.94858,19.02121,18.89033,19.01354,18.84396,19.13821,19.01258,19.15842,19.13275,18.70137,19.12625,18.949,19.12112,19.00342,18.69892,18.57633,18.69995,18.57992,18.63204,18.57312,18.66988,18.55679,18.65396,18.57829,17.12604,18.58504,18.70125,18.58562,18.50725,18.46658,18.36433,18.02796,18.15029,18.51367,17.74921,18.68854,17.65933,18.548,17.91434,18.50896,18.16804,18.65175,18.23883,18.59341,18.203,18.89108,18.69312,19.05,18.76329,18.84625,18.98242,18.90767,18.65325,19.01029,18.73675,18.76196,18.52525,18.552,18.52538,18.52025,18.36817,18.51325,18.43683,,18.33679,18.58725,18.46946,18.55179,18.40216,18.52966,18.36971,18.29116,1508.881
2023-05-01 15:00:00,797.8845,16.03537,16.84975,14.61942,16.65059,17.07158,16.83312,16.98929,16.56063,17.12588,16.82409,17.23829,17.16879,17.23154,17.09883,17.31934,17.12725,17.57683,17.43171,17.65896,17.64238,17.20488,17.77871,17.61354,17.83283,17.68013,17.15787,17.06308,17.15571,16.99367,17.03296,16.92517,17.0435,16.91704,17.07404,16.97717,15.12629,17.09916,17.22908,17.14917,16.97233,16.95762,16.93483,15.96654,16.14696,16.71421,15.69767,16.83642,15.67313,16.85683,16.10096,16.87108,16.491,16.99987,16.56346,17.04454,16.50638,17.54471,17.29133,17.70246,17.39737,17.61742,17.78913,17.73454,17.47658,17.84754,17.60079,17.50537,17.29571,17.33825,17.24154,17.317,17.16154,17.36387,17.28096,,17.16733,17.43583,17.32375,17.38096,17.22887,17.39496,17.34146,17.15154,1399.316
2023-05-01 16:00:00,538.647,11.39808,12.33075,10.51167,12.05838,12.74675,12.37179,12.63,12.04146,12.87388,12.40021,13.09,13.03946,13.08108,12.85504,13.19771,12.90417,13.6565,13.447,13.76846,13.74371,12.99021,13.91254,13.6945,13.96417,13.75487,12.72683,12.60058,12.62838,12.38217,12.42754,12.28629,12.48629,12.28975,12.54463,12.42421,10.76888,12.67525,12.88417,12.75692,12.48592,12.42466,12.41371,11.27717,11.51492,12.08633,11.00375,12.20371,11.09579,12.27917,11.43771,12.30846,11.7985,12.33583,11.85288,12.51142,11.75037,13.41208,12.83696,13.47458,13.12717,13.4745,13.86954,13.73946,13.315,13.67375,13.55346,13.0375,12.71408,12.88204,12.5755,12.87812,12.64388,12.91146,12.82488,,12.66117,12.90167,12.74759,12.83192,12.60671,12.90063,12.94667,12.68617,1056.552
