Lakeview Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA*,"TMEIC 2.7MW Inverter 1.1.1, Active Power P","TMEIC 2.7MW Inverter 1.2.1, Active Power P","TMEIC 2.7MW Inverter 1.3.1, Active Power P","TMEIC 2.7MW Inverter 1.4.1, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2023-05-01 00:00:00,0,0,0,0,0,-13.74967
2023-05-01 01:00:00,0.04344317,0,0,0,0,-13.799
2023-05-01 02:00:00,0,0,0,0,0,-13.74783
2023-05-01 03:00:00,0.04901675,0,0,0,0,-13.806
2023-05-01 04:00:00,0.02133355,0,0,0,0,-13.59061
2023-05-01 05:00:00,0.2627552,0,0,0,0,-13.51233
2023-05-01 06:00:00,89.08488,95.45167,96.42833,96.49752,89.97083,385.6166
2023-05-01 07:00:00,107.9351,218.4225,221.1317,221.1425,211.8141,853.8837
2023-05-01 08:00:00,183.8569,360.6858,365.64,366.965,353.0325,1435.45
2023-05-01 09:00:00,268.3168,644.2725,653.8433,656.3676,633.08,2587.141
2023-05-01 10:00:00,232.47,705.4558,709.8141,707.45,674.7,2775.561
2023-05-01 11:00:00,276.303,881.6934,887.2527,891.6191,852.125,3516.762
2023-05-01 12:00:00,364.4895,1136.756,1143.089,1153.095,1102.862,4518.281
2023-05-01 13:00:00,119.2704,396.8033,400.4392,398.5917,380.9767,1575.95
2023-05-01 14:00:00,83.21979,282.5817,287.8525,289.3642,278.5117,1125.629
2023-05-01 15:00:00,74.5745,240.6433,244.955,243.4267,234.4308,954.3166
2023-05-01 16:00:00,37.38612,98.74001,98.99415,99.08002,93.39415,379.4405
2023-05-01 17:00:00,32.93822,75.13082,76.27749,76.47167,72.84415,312.8758
2023-05-01 18:00:00,12.06221,14.25833,14.66917,14.72083,14.14167,107.0952
2023-05-01 19:00:00,2.015097,0,0,0,0,-11.11934
2023-05-01 20:00:00,0.2038056,0,0,0,0,-13.773
2023-05-01 21:00:00,0,0,0,0,0,-13.76267
2023-05-01 22:00:00,0,0,0,0,0,-13.637
2023-05-01 23:00:00,0.01907307,0,0,0,0,-13.7345
2023-05-02 00:00:00,0.05188855,0,0,0,0,-13.75367
2023-05-02 01:00:00,0.0969439,0,0,0,0,-13.67533
2023-05-02 02:00:00,0.04915625,0,0,0,0,-13.54183
2023-05-02 03:00:00,0.094434,0,0,0,0,-13.65833
2023-05-02 04:00:00,0,0,0,0,0,-13.44983
2023-05-02 05:00:00,0.2082037,0,0,0,0,-13.51637
