Schell Solar Farm,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"SMA Kodiak SC-1850 - A1, AC Real Power","SMA Kodiak SC-1850 - B1, AC Real Power","SMA Kodiak SC-1850 - C1, AC Real Power",Production meter active power
,W/m²,kW,kW,kW,kW
2023-02-01 00:00:00,0,0,0,0,-7.262978
2023-02-01 01:00:00,0,0,0,0,-7.269704
2023-02-01 02:00:00,0,0,0,0,-7.236
2023-02-01 03:00:00,0,0,0,0,-7.215503
2023-02-01 04:00:00,0,0,0,0,-7.240152
2023-02-01 05:00:00,0,0,0,0,-7.213229
2023-02-01 06:00:00,0,0,0,0,-7.165895
2023-02-01 07:00:00,2.179157,2.5,2.5,2,0.4117365
2023-02-01 08:00:00,27.79911,53.25,58.5,52.25,157.9191
2023-02-01 09:00:00,130.4138,236.25,258.5,234.25,733.3392
2023-02-01 10:00:00,109.7768,211.5,230.25,204,635.3367
2023-02-01 11:00:00,160.4907,314,340,298.5,938.7473
2023-02-01 12:00:00,75.94399,149.75,165,150.25,451.7864
2023-02-01 13:00:00,100.2777,186.25,205,186.5,574.618
2023-02-01 14:00:00,202.0051,366.5,399.5,357.5,1110.361
2023-02-01 15:00:00,150.0753,281.25,306.75,264.25,850.1796
2023-02-01 16:00:00,72.8048,118.75,131,119.25,373.5384
2023-02-01 17:00:00,6.152919,8.5,9.25,8.25,20.75099
2023-02-01 18:00:00,0,0,0,0,-7.160677
2023-02-01 19:00:00,0,0,0,0,-7.136343
2023-02-01 20:00:00,0,0,0,0,-7.167325
2023-02-01 21:00:00,0,0,0,0,-7.138505
2023-02-01 22:00:00,0,0,0,0,-7.175556
2023-02-01 23:00:00,0,0,0,0,-7.201155
2023-02-02 00:00:00,0,0,0,0,-7.110003
2023-02-02 01:00:00,0,0,0,0,-7.133113
2023-02-02 02:00:00,0,0,0,0,-7.139759
2023-02-02 03:00:00,0,0,0,0,-7.126093
2023-02-02 04:00:00,0,0,0,0,-7.171272
2023-02-02 05:00:00,0,0,0,0,-7.129882
2023-02-02 06:00:00,0,0,0,0,-7.120453
2023-02-02 07:00:00,6.427859,8.75,9,9,21.49676
2023-02-02 08:00:00,25.29093,49.25,54.25,49,147.6032
2023-02-02 09:00:00,43.29058,90,99,89.25,273.7332
2023-02-02 10:00:00,71.42023,139.5,152.75,137.75,425.1788
2023-02-02 11:00:00,168.1898,307,336.5,309,943.8188
2023-02-02 12:00:00,231.8918,437.75,477.75,432.5,1342.464
2023-02-02 13:00:00,301.5572,538.25,585.5,531.5,1638.476
2023-02-02 14:00:00,181.8535,332.75,364.5,327.25,1016.367
2023-02-02 15:00:00,87.17809,164.75,179.75,160.5,504.0288
2023-02-02 16:00:00,27.34085,54,59,52.75,163.195
2023-02-02 17:00:00,3.26297,5,5.75,4.75,10.32379
2023-02-02 18:00:00,0,0,0,0,-7.218233
2023-02-02 19:00:00,0,0,0,0,-7.194016
