Timestamp,POA Sensor,Weather station ambient temperature,Max wind speed - NO Data VAISALA_1,Production meter L-N voltage,Production meter active power,"INVERTER 1, AC Active Power (Total)","INVERTER 2, AC Active Power (Total)","INVERTER 3, AC Active Power (Total)","INVERTER 4, AC Active Power (Total)","INVERTER 5, AC Active Power (Total)"
10/1/2023 12:00:00 AM,-0.431567,42.38794,,7.42866,-14.9358,0,0,0,0,0
10/1/2023 12:15:00 AM,-0.589985,41.87795,,7.431317,-14.9724,0,0,0,0,0
10/1/2023 12:30:00 AM,-0.4035055,41.48076,,7.43584,-14.9845,0,0,0,0,0
10/1/2023 12:45:00 AM,-0.4563195,40.61222,,7.440253,-14.9993,0,0,0,0,0
10/1/2023 1:00:00 AM,-0.280152,40.00133,,7.444374,-15.0087,0,0,0,0,0
10/1/2023 1:15:00 AM,-0.576245,39.56518,,7.448817,-15.0373,0,0,0,0,0
10/1/2023 1:30:00 AM,-0.4597005,39.5544,,7.450453,-15.0423,0,0,0,0,0
10/1/2023 1:45:00 AM,-0.4014765,39.34014,,7.453903,-15.0577,0,0,0,0,0
10/1/2023 2:00:00 AM,-0.4335705,38.61574,,7.460823,-15.0987,0,0,0,0,0
10/1/2023 2:15:00 AM,-0.515315,38.67472,,7.46071,-15.0988,0,0,0,0,0
10/1/2023 2:30:00 AM,-0.577525,38.609,,7.456923,-15.0944,0,0,0,0,0
10/1/2023 2:45:00 AM,-0.55997,37.70163,,7.459297,-15.0852,0,0,0,0,0
10/1/2023 3:00:00 AM,-0.527245,37.4436,,7.46345,-15.1107,0,0,0,0,0
10/1/2023 3:15:00 AM,-0.482425,37.68412,,7.459126,-15.1014,0,0,0,0,0
10/1/2023 3:30:00 AM,-0.3398873,37.51755,,7.459423,-15.0989,0,0,0,0,0
10/1/2023 3:45:00 AM,-0.421802,37.41324,,7.45854,-15.0912,0,0,0,0,0
10/1/2023 4:00:00 AM,-0.71056,36.90222,,7.45421,-15.07,0,0,0,0,0
10/1/2023 4:15:00 AM,-0.2911091,36.25362,,7.450803,-15.0596,0,0,0,0,0
10/1/2023 4:30:00 AM,-0.3751545,36.44884,,7.445414,-15.0238,0,0,0,0,0
10/1/2023 4:45:00 AM,-0.65729,37.08954,,7.44024,-15.0011,0,0,0,0,0
10/1/2023 5:00:00 AM,-0.74347,37.33893,,7.42547,-14.9332,0,0,0,0,0
10/1/2023 5:15:00 AM,-0.60092,36.52118,,7.42096,-14.9095,0,0,0,0,0
10/1/2023 5:30:00 AM,-0.507395,35.81265,,7.40882,-14.8521,0,0,0,0,0
10/1/2023 5:45:00 AM,-0.2527425,35.95992,,7.408914,-14.8488,0,0,0,0,0
10/1/2023 6:00:00 AM,-0.127699,35.3926,,7.398903,-14.8128,0,0,0,0,0
10/1/2023 6:15:00 AM,-0.4611255,34.96629,,7.39394,-14.7845,0,0,0,0,0
10/1/2023 6:30:00 AM,-0.57499,34.43272,,7.43372,-15.0058,0,0,0,0,0
10/1/2023 6:45:00 AM,-0.2364425,35.03698,,7.45151,-15.0999,0,0,0,0,-0.0333333
10/1/2023 7:00:00 AM,2.26885,35.97721,,7.44604,0.101959,2.9,3.16667,2.93333,2.7,2.96667
10/1/2023 7:15:00 AM,10.11098,35.00668,,7.44518,107.408,24.5667,25.8667,24.5333,24.2667,25.4667
10/1/2023 7:30:00 AM,21.70455,34.81678,,7.444743,325.443,87.9667,76.2333,73.2667,58.4667,54
10/1/2023 7:45:00 AM,36.15105,36.76835,,7.451856,701.25,172.6,154.3,146.467,129.4,127.667
10/1/2023 8:00:00 AM,44.6849,38.92525,,7.47946,1347.53,303.167,275.4,284.633,283.367,247.2
10/1/2023 8:15:00 AM,56.10175,41.96918,,7.477563,2033.23,446.167,422.3,430.5,413.033,362.733
10/1/2023 8:30:00 AM,149.7518,43.06796,,7.46737,2722.64,654.5,585.167,598.3,479.7,460.733
10/1/2023 8:45:00 AM,185.1866,44.55133,,7.47608,3212.29,597.267,669.9,696.367,571.4,691.7
10/1/2023 9:00:00 AM,207.4601,45.62954,,7.462567,3576.84,770.7,670.967,828.067,621.9,770.3
10/1/2023 9:15:00 AM,196.8416,47.4881,,7.454167,4481.28,851.367,668.067,824.1,1125.9,1062.8
10/1/2023 9:30:00 AM,312.0362,48.67228,,7.45709,4954.85,1295.87,1159.6,851.3,750.9,968.7
10/1/2023 9:45:00 AM,344.0464,50.44836,,7.449023,6375.14,1315.73,1320.3,1339.67,1288.87,1227.83
10/1/2023 10:00:00 AM,401.0987,53.20735,,7.44902,7376.69,1596.07,1480.87,1494.2,1510.27,1399.7
10/1/2023 10:15:00 AM,434.5239,54.11357,,7.456336,7661.65,1630.1,1532.2,1538.73,1564.43,1483.53
10/1/2023 10:30:00 AM,426.736,55.63189,,7.448803,7657.59,1627.63,1534.7,1538.97,1557.47,1486.43
10/1/2023 10:45:00 AM,423.7878,56.86585,,7.44875,7666.38,1631.1,1537.4,1536.87,1552.63,1493.53
10/1/2023 11:00:00 AM,422.6395,57.67421,,7.453187,7657.82,1624.1,1541,1534.77,1546.4,1495.07
10/1/2023 11:15:00 AM,431.1193,59.29511,,7.449597,7656.62,1616.43,1538.77,1539.47,1542.97,1504.03
10/1/2023 11:30:00 AM,454.1885,59.77575,,7.445797,7660.01,1618.37,1534.87,1536.37,1542.63,1513
10/1/2023 11:45:00 AM,480.4745,61.29003,,7.4471,7656.67,1615.33,1535.2,1532.7,1539.17,1521.57
10/1/2023 12:00:00 PM,506.208,61.65075,,7.469013,7641.13,1608.77,1532.33,1526.63,1535.73,1528.63
10/1/2023 12:15:00 PM,532.6445,61.55561,,7.466,7649.88,1612.1,1534.7,1524.6,1532.53,1537.7
10/1/2023 12:30:00 PM,558.268,62.36279,,7.460537,7642.48,1610.27,1530.6,1523.53,1528.63,1539.77
10/1/2023 12:45:00 PM,586.9285,63.77457,,7.452443,7656.11,1604.1,1534.47,1528.23,1530.9,1545.23
10/1/2023 1:00:00 PM,615.8495,64.80025,,7.465177,7635.81,1596.07,1525.23,1524.47,1526.8,1545.9
10/1/2023 1:15:00 PM,643.2505,64.69333,,7.46804,7622.27,1597.73,1518.73,1521.1,1524.47,1545
10/1/2023 1:30:00 PM,668.026,65.2658,,7.474257,7635.95,1604.67,1526.13,1524.73,1526.27,1545.37
10/1/2023 1:45:00 PM,692.8225,65.40926,,7.481257,7641.46,1605.2,1529.7,1532.13,1524.5,1540.4
10/1/2023 2:00:00 PM,717.8245,66.36378,,7.478927,7631.36,1602,1526.97,1532.53,1523.83,1536.43
10/1/2023 2:15:00 PM,740.757,66.11749,,7.48062,7627.44,1605.9,1526.33,1530.9,1521.5,1532.87
10/1/2023 2:30:00 PM,763.467,67.83784,,7.480836,7651.13,1611.63,1520.37,1536.17,1530.03,1543
10/1/2023 2:45:00 PM,780.532,67.57036,,7.48135,7659.72,1614.97,1519.03,1543.17,1532.5,1535.3
10/1/2023 3:00:00 PM,795.772,68.03371,,7.459687,7626.6,1607.77,1510.57,1539.3,1527.87,1529.1
10/1/2023 3:15:00 PM,808.821,68.53854,,7.48824,7598.08,1602.63,1506.77,1534.87,1521.87,1518.73
10/1/2023 3:30:00 PM,822.254,69.02616,,7.46517,7591.09,1600.93,1502.67,1535.27,1526.57,1513.8
10/1/2023 3:45:00 PM,807.867,70.0903,,7.46533,7215.01,1535.93,1439.87,1449.8,1443.7,1395.5
10/1/2023 4:00:00 PM,779.663,70.19389,,7.47709,6522.23,1395.27,1320.87,1328.7,1308.2,1213.47
10/1/2023 4:15:00 PM,707.077,71.29837,,7.46482,5570.97,1180.2,1105.07,1110.2,1105.87,1055
10/1/2023 4:30:00 PM,647.785,71.09248,,7.473383,4980.27,1047.5,1001.33,1002.93,998.133,947.233
