Bani Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - WS (Standard),Production meter L-N voltage,Production meter active power,"SMA SHP-125 INV - 1, AC Power","SMA SHP-125 INV - 2, AC Power","SMA SHP-125 INV - 3, AC Power","SMA SHP-125 INV - 4, AC Power","SMA SHP-125 INV - 5, AC Power","SMA SHP-125 INV - 6, AC Power","SMA SHP-125 INV - 7, AC Power","SMA SHP-125 INV - 8, AC Power","SMA SHP-125 INV - 9, AC Power","SMA SHP-125 INV - 10, AC Power","SMA SHP-125 INV - 11, AC Power","SMA SHP-125 INV - 12, AC Power","SMA SHP-125 INV - 13, AC Power","SMA SHP-125 INV - 14, AC Power","SMA SHP-125 INV - 15, AC Power","SMA SHP-125 INV - 16, AC Power"
10/1/2023 12:00:00 AM,-1.40967,55.18095,59.9541,1,13.66047,-2.78467,,,,,,,,,,,,,,,,
10/1/2023 12:15:00 AM,-1.34367,55.5563,59.9256,1,13.6618,-2.787,,,,,,,,,,,,,,,,
10/1/2023 12:30:00 AM,-1.04733,55.53985,60.3883,0,13.66787,-2.78533,,,,,,,,,,,,,,,,
10/1/2023 12:45:00 AM,-1.64333,55.53895,60.418,0,13.67323,-2.78767,,,,,,,,,,,,,,,,
10/1/2023 1:00:00 AM,-1.995,55.49405,60.5723,0,13.6757,-2.78833,,,,,,,,,,,,,,,,
10/1/2023 1:15:00 AM,-1.81,54.62065,59.8399,0,13.69067,-2.79233,,,,,,,,,,,,,,,,
10/1/2023 1:30:00 AM,-1.40467,54.5181,59.6422,0,13.7068,-2.80133,,,,,,,,,,,,,,,,
10/1/2023 1:45:00 AM,-1.51733,55.06835,59.8959,0,13.7059,-2.79967,,,,,,,,,,,,,,,,
10/1/2023 2:00:00 AM,-1.93367,54.8294,59.7336,0,13.69243,-2.79733,,,,,,,,,,,,,,,,
10/1/2023 2:15:00 AM,-1.62767,55.2881,59.881,0,13.70103,-2.79833,,,,,,,,,,,,,,,,
10/1/2023 2:30:00 AM,-1.968,54.9402,60.0593,0,13.7002,-2.8,,,,,,,,,,,,,,,,
10/1/2023 2:45:00 AM,-1.707,54.2325,59.8627,0,13.70157,-2.8,,,,,,,,,,,,,,,,
10/1/2023 3:00:00 AM,-1.808,53.41955,58.8116,0,13.71543,-2.807,,,,,,,,,,,,,,,,
10/1/2023 3:15:00 AM,-1.91767,52.9022,58.31,0,13.70943,-2.80133,,,,,,,,,,,,,,,,
10/1/2023 3:30:00 AM,-2.05567,52.04805,57.8849,0,13.708,-2.80333,,,,,,,,,,,,,,,,
10/1/2023 3:45:00 AM,-1.676,51.35225,57.4953,0,13.71243,-2.809,,,,,,,,,,,,,,,,
10/1/2023 4:00:00 AM,-1.30767,51.2314,57.2862,0,13.676,-2.797,,,,,,,,,,,,,,,,
10/1/2023 4:15:00 AM,-1.91867,51.20575,57.1377,0,13.6712,-2.795,,,,,,,,,,,,,,,,
10/1/2023 4:30:00 AM,-1.36033,51.1261,56.7126,0,13.68653,-2.799,,,,,,,,,,,,,,,,
10/1/2023 4:45:00 AM,-1.184,52.01415,56.956,0,13.68047,-2.79667,,,,,,,,,,,,,,,,
10/1/2023 5:00:00 AM,-1.27467,53.3142,57.7421,1,13.67557,-2.79333,,,,,,,,,,,,,,,,
10/1/2023 5:15:00 AM,-1.57933,54.32495,58.2631,2,13.68257,-2.797,,,,,,,,,,,,,,,,
10/1/2023 5:30:00 AM,-1.64567,54.6655,58.5259,2,13.67467,-2.79267,,,,,,,,,,,,,,,,
10/1/2023 5:45:00 AM,-1.66367,54.59505,58.615,1,13.6669,-2.79,,,,,,,,,,,,,,,,
10/1/2023 6:00:00 AM,-1.79067,54.38995,58.5888,1,13.669,-2.79167,,,,,,,,,,,,,,,,
10/1/2023 6:15:00 AM,-1.689,54.3222,58.4756,1,13.65877,-2.788,,,,,,,,,,,,,,,,
10/1/2023 6:30:00 AM,-1.682,54.22795,58.4985,1,13.64833,-2.78233,,,,,,,,,,,,,,,,
10/1/2023 6:45:00 AM,-1.669,54.13455,58.4836,1,13.652,-2.773,,,,,,,,,,,,,,,,
10/1/2023 7:00:00 AM,0.596,54.0814,58.3271,1,13.65353,0.319667,0.1752,0.1688,0.1707,0.280053,0.19228,0.1705,0.178367,0.129067,0.164967,0.194913,0.204261,0.20888,0.17564,0.215435,0.20816,0.228304
10/1/2023 7:15:00 AM,13.203,54.57765,58.4094,2,13.64767,22.043,1.39193,1.3689,1.5618,2.08257,1.24903,1.2505,1.37767,1.20977,1.2761,1.5067,1.29607,2.3795,1.5101,1.9106,1.51713,1.2752
10/1/2023 7:30:00 AM,48.8473,55.71475,58.7933,2,13.65743,98.306,7.06943,6.52363,7.2106,8.30603,4.59433,4.9329,6.83453,5.55613,5.504,6.67477,4.0201,8.98123,5.06243,7.04527,7.01897,4.83727
10/1/2023 7:45:00 AM,87.8657,58.7332,59.5565,2,13.64187,277.56,19.3353,18.7918,19.0386,17.5564,15.613,18.0841,19.4494,19.1499,16.1663,18.8268,13.2188,16.8108,13.9497,15.8993,19.749,17.0087
10/1/2023 8:00:00 AM,222.767,63.37125,60.6214,3,13.61243,528.712,35.264,37.1192,35.0608,30.2856,32.8961,37.152,35.847,37.3426,30.0682,34.159,30.3406,27.1421,28.1851,28.7523,36.1373,32.6356
10/1/2023 8:15:00 AM,363.268,68.3618,61.9696,3,13.602,819.676,56.7878,57.1443,52.6307,44.4114,53.1424,57.3351,56.9758,57.0076,47.49,51.8525,51.3651,39.8663,43.346,43.7066,54.6797,51.4004
