Timestamp,PVMet 200 (POA Sensor),Max wind speed - PVMet 200,Production meter L-N voltage,Production meter active power,"SMA Inverter - A, Total AC Active Power","SMA Inverter - B, Total AC Active Power","SMA Inverter - C, Total AC Active Power","SMA Inverter - D, Total AC Active Power"
10/1/2023 12:00:00 AM,0,0,0.08952968,-1.185089,0,0,0,0
10/1/2023 12:15:00 AM,0,0,0.08944607,-1.18143,0,0,0,0
10/1/2023 12:30:00 AM,0,1.115965,0.07956811,-1.586655,0,0,0,0
10/1/2023 12:45:00 AM,0,0.3753021,0.07967682,-1.590033,0,0,0,0
10/1/2023 1:00:00 AM,0,0,0.07974106,-1.565116,0,0,0,0
10/1/2023 1:15:00 AM,0,0,0.08959206,-1.891667,0,0,0,0
10/1/2023 1:30:00 AM,0,0,0.0896761,-1.911578,0,0,0,0
10/1/2023 1:45:00 AM,0,0,0.07953151,-1.613311,0,0,0,0
10/1/2023 2:00:00 AM,0,0.73821,0.07923982,-1.6002,0,0,0,0
10/1/2023 2:15:00 AM,0,2.236867,0.08915868,-1.961478,0,0,0,0
10/1/2023 2:30:00 AM,0.8443704,2.2369,0.08925251,-1.998339,0,0,0,0
10/1/2023 2:45:00 AM,7.407407E-05,2.2369,0.08908382,-1.991733,0,0,0,0
10/1/2023 3:00:00 AM,0,1.496229,0.08907848,-1.723163,0,0,0,0
10/1/2023 3:15:00 AM,0,8.284815E-06,0.07916333,-1.678333,0,0,0,0
10/1/2023 3:30:00 AM,0,0.7258824,0.07932066,-1.676667,0,0,0,0
10/1/2023 3:45:00 AM,0,2.236768,0.07924545,-1.69,0,0,0,0
10/1/2023 4:00:00 AM,0,1.491267,0.07925759,-1.693311,0,0,0,0
10/1/2023 4:15:00 AM,0.8360926,1.862849,0.07930347,-1.695006,0,0,0,0
10/1/2023 4:30:00 AM,1.851852E-05,1.490016,0.07940282,-1.696672,0,0,0,0
10/1/2023 4:45:00 AM,0,1.496229,0.07929017,-1.728333,0,0,0,0
10/1/2023 5:00:00 AM,0,8.284815E-06,0.07925854,-1.719989,0,0,0,0
10/1/2023 5:15:00 AM,0,0,0.07932772,-1.718333,0,0,0,0
10/1/2023 5:30:00 AM,0,1.113479,0.07931118,-1.715,0,0,0,0
10/1/2023 5:45:00 AM,0,1.496229,0.07921945,-1.716672,0,0,0,0
10/1/2023 6:00:00 AM,0,1.860363,0.07917686,-1.72,0,0,0,0
10/1/2023 6:15:00 AM,0,0.7567848,0.07922612,-1.725,0,0,0,0
10/1/2023 6:30:00 AM,0,1.111027,0.0790769,-1.723333,0,0,0,0
10/1/2023 6:45:00 AM,0,1.860388,0.08892714,-1.323245,0,0,0,0
10/1/2023 7:00:00 AM,1.953423,2.215774,0.08898651,-1.298499,0.027725,0,0,0
10/1/2023 7:15:00 AM,12.74772,2.614654,0.0889908,2.261668,1.295193,0.9614906,0.8852212,0.7366074
10/1/2023 7:30:00 AM,17.51272,0.7518386,0.08893946,25.70631,10.35038,10.02539,4.420563,3.732311
10/1/2023 7:45:00 AM,23.18381,1.501217,0.08909126,73.70607,38.25439,35.1826,16.22564,17.89747
10/1/2023 8:00:00 AM,83.8062,1.114722,0.08931715,144.7449,65.79909,63.71894,42.32078,43.70064
10/1/2023 8:15:00 AM,233.719,1.490024,0.08922829,210.661,100.5951,92.9003,78.42991,74.02446
10/1/2023 8:30:00 AM,280.6,2.607239,0.07933826,210.5627,130.4847,119.9648,114.8739,103.2109
10/1/2023 8:45:00 AM,328.6509,2.236892,0.0796182,275.9774,165.5531,155.056,154.6126,135.9285
10/1/2023 9:00:00 AM,386.3743,1.122178,0.08958906,403.9458,201.3747,187.8151,195.7239,169.3231
10/1/2023 9:15:00 AM,444.9999,3.350346,0.08966443,472.6085,234.6978,218.9771,230.5909,202.3604
10/1/2023 9:30:00 AM,502.6305,3.349178,0.08975217,533.8991,265.0372,246.0999,261.6676,229.5984
10/1/2023 9:45:00 AM,548.7024,3.349161,0.08986588,590.6248,295.494,273.1265,290.7383,255.5413
10/1/2023 10:00:00 AM,597.7337,4.084861,0.08989534,644.8802,321.6046,298.4911,315.4549,275.5054
10/1/2023 10:15:00 AM,643.3899,3.730594,0.09018471,697.2118,352.0214,325.7995,343.4703,299.892
10/1/2023 10:30:00 AM,551.1358,5.209517,0.09006097,539.7873,335.1655,312.0853,338.2407,297.8179
10/1/2023 10:45:00 AM,820.4808,4.481215,0.09024873,757.9037,362.5268,316.8368,348.0539,301.9677
10/1/2023 11:00:00 AM,449.8046,5.211994,0.09000608,561.0461,289.3734,274.5786,267.7737,202.5213
10/1/2023 11:15:00 AM,632.4477,5.229293,0.08047244,555.1691,342.8423,338.4438,325.0389,282.6627
10/1/2023 11:30:00 AM,679.1329,5.962655,0.08057801,593.0882,306.6501,289.8934,287.6888,246.8376
10/1/2023 11:45:00 AM,735.7216,4.105954,0.08048232,743.1395,468.5155,437.1139,444.9447,392.9899
10/1/2023 12:00:00 PM,481.3208,4.109583,0.08009618,449.9788,277.7723,256.0172,215.3461,192.6362
10/1/2023 12:15:00 PM,938.6469,5.217039,0.08031353,785.9196,429.0035,404.6326,403.0743,370.8697
10/1/2023 12:30:00 PM,679.8322,3.745368,0.08024557,582.9164,372.0346,353.1045,359.5723,328.919
