Timestamp,POA Sensor,Production meter L-N voltage,Production meter active power,"AE 1000NX - 1, AC Power","AE 1000NX - 2, AC Power"
10/1/2023 12:00:00 AM,0,13.56424,-5.071026,0,0
10/1/2023 12:15:00 AM,0,13.59061,-5.110455,0,0
10/1/2023 12:30:00 AM,0,13.5945,-5.102132,0,0
10/1/2023 12:45:00 AM,0,13.58759,-5.084466,0,0
10/1/2023 1:00:00 AM,0,13.59132,-5.083267,0,0
10/1/2023 1:15:00 AM,0,13.57517,-5.038605,0,0
10/1/2023 1:30:00 AM,0,13.58667,-5.044056,0,0
10/1/2023 1:45:00 AM,0,13.60346,-5.074508,0,0
10/1/2023 2:00:00 AM,0,13.58525,-5.027725,0,0
10/1/2023 2:15:00 AM,0,13.60063,-5.048114,0,0
10/1/2023 2:30:00 AM,0,13.59379,-5.034602,0,0
10/1/2023 2:45:00 AM,0,13.60093,-5.025455,0,0
10/1/2023 3:00:00 AM,0,13.61544,-5.024858,0,0
10/1/2023 3:15:00 AM,0,13.61386,-5.039719,0,0
10/1/2023 3:30:00 AM,0,13.6137,-5.030956,0,0
10/1/2023 3:45:00 AM,0,13.6129,-5.049418,0,0
10/1/2023 4:00:00 AM,0,13.63542,-5.065548,0,0
10/1/2023 4:15:00 AM,0,13.63305,-5.071207,0,0
10/1/2023 4:30:00 AM,0,13.57236,-4.989957,0,0
10/1/2023 4:45:00 AM,0,13.57049,-4.986543,0,0
10/1/2023 5:00:00 AM,0,13.56668,-4.96773,0,0
10/1/2023 5:15:00 AM,0,13.56641,-4.968455,0,0
10/1/2023 5:30:00 AM,0,13.55859,-4.96027,0,0
10/1/2023 5:45:00 AM,0,13.55061,-4.945008,0,0
10/1/2023 6:00:00 AM,0,13.53729,-4.922303,0,0
10/1/2023 6:15:00 AM,0,13.54626,-4.931753,0,0
10/1/2023 6:30:00 AM,0,13.53887,-5.851592,0,0
10/1/2023 6:45:00 AM,0,13.52149,-7.407261,0,0
10/1/2023 7:00:00 AM,1.031111,13.51153,-6.222896,0,1.211003
10/1/2023 7:15:00 AM,11.47536,13.57947,7.087049,0,14.54359
10/1/2023 7:30:00 AM,43.29899,13.57254,32.48788,0,39.32848
10/1/2023 7:45:00 AM,81.49832,13.6227,70.70927,0,77.22626
10/1/2023 8:00:00 AM,135.4778,13.62466,119.4281,0,125.3115
10/1/2023 8:15:00 AM,189.2795,13.63416,170.1561,0,178.6224
10/1/2023 8:30:00 AM,246.1147,13.62863,229.4317,0,237.866
10/1/2023 8:45:00 AM,302.5895,13.60475,292.7922,0,298.3599
10/1/2023 9:00:00 AM,374.7416,13.57863,355.5209,0,358.3092
10/1/2023 9:15:00 AM,449.1339,13.55635,411.708,0,414.3776
10/1/2023 9:30:00 AM,508.6382,13.53707,472.0904,0,475.0932
10/1/2023 9:45:00 AM,573.5392,13.50357,507.3221,0,526.032
10/1/2023 10:00:00 AM,637.5331,13.52548,555.1501,0,567.614
10/1/2023 10:15:00 AM,679.3671,13.51589,607.0455,0,617.5896
10/1/2023 10:30:00 AM,714.3474,13.52436,630.0887,0,579.7963
10/1/2023 10:45:00 AM,758.1885,13.51338,564.7449,0,578.7318
10/1/2023 11:00:00 AM,804.1219,13.51171,717.6633,0,720.3478
10/1/2023 11:15:00 AM,844.7549,13.53962,749.8875,0,751.9048
10/1/2023 11:30:00 AM,895.2971,13.5413,731.5955,0,750.5864
10/1/2023 11:45:00 AM,923.4983,13.53302,818.1454,0,818.0714
10/1/2023 12:00:00 PM,799.0939,13.54853,672.7879,0,667.8872
10/1/2023 12:15:00 PM,927.0974,13.58876,817.6511,0,826.274
10/1/2023 12:30:00 PM,1038.661,13.68464,733.054,0,742.2529
10/1/2023 12:45:00 PM,993.6007,13.67417,872.2276,0,893.5864
10/1/2023 1:00:00 PM,1021.718,13.65524,612.4084,0,719.557
10/1/2023 1:15:00 PM,472.1126,13.65452,446.0373,0,445.5504
10/1/2023 1:30:00 PM,957.2044,13.65941,791.7539,0,775.6206
10/1/2023 1:45:00 PM,499.1543,13.62929,567.4435,0,568.7772
10/1/2023 2:00:00 PM,745.7339,13.60711,647.5539,0,648.3762
10/1/2023 2:15:00 PM,920.3096,13.64614,779.4637,0,773.2704
10/1/2023 2:30:00 PM,881.1414,13.69482,723.8142,0,732.0265
10/1/2023 2:45:00 PM,762.6763,13.68494,661.2465,0,658.8615
10/1/2023 3:00:00 PM,727.3187,13.67836,584.5508,0,609.3738
10/1/2023 3:15:00 PM,739.1915,13.69028,672.875,0,678.2484
10/1/2023 3:30:00 PM,700.9545,13.67592,627.2097,0,635.3636
10/1/2023 3:45:00 PM,611.8661,13.66426,461.0865,0,472.9419
10/1/2023 4:00:00 PM,409.4474,13.66578,308.6872,0,315.2857
10/1/2023 4:15:00 PM,178.5261,13.66721,133.4759,0,140.7816
10/1/2023 4:30:00 PM,164.7391,13.6664,201.8573,0,208.3056
10/1/2023 4:45:00 PM,429.0137,13.65424,386.9577,0,391.3249
10/1/2023 5:00:00 PM,420.7145,13.64537,349.2247,0,354.5284
10/1/2023 5:15:00 PM,360.3506,13.64885,291.0804,0,296.7361
10/1/2023 5:30:00 PM,297.4911,13.62297,232.384,0,238.5002
10/1/2023 5:45:00 PM,199.7969,13.6191,142.5337,0,151.1862
10/1/2023 6:00:00 PM,106.2691,13.60547,69.40324,0,79.38094
10/1/2023 6:15:00 PM,70.23522,13.63372,33.27987,0,40.11909
10/1/2023 6:30:00 PM,36.4054,13.58319,10.60712,0,18.26133
10/1/2023 6:45:00 PM,9.878584,13.59954,-3.479984,0,4.104799
10/1/2023 7:00:00 PM,1.335249,13.60199,-7.391723,0,0.1668028
10/1/2023 7:15:00 PM,0.2144444,13.63508,-7.100041,0,0
10/1/2023 7:30:00 PM,0,13.65262,-5.184115,0,0
10/1/2023 7:45:00 PM,0,13.67817,-5.202577,0,0
10/1/2023 8:00:00 PM,0,13.6154,-5.114982,0,0
10/1/2023 8:15:00 PM,0,13.56801,-5.057898,0,0
10/1/2023 8:30:00 PM,0,13.5892,-5.089972,0,0
10/1/2023 8:45:00 PM,0,13.62079,-5.128571,0,0
10/1/2023 9:00:00 PM,0,13.62584,-5.141397,0,0
10/1/2023 9:15:00 PM,0,13.63467,-5.143755,0,0
10/1/2023 9:30:00 PM,0,13.63186,-5.145254,0,0
10/1/2023 9:45:00 PM,0,13.66532,-5.195689,0,0
10/1/2023 10:00:00 PM,0,13.67917,-5.211826,0,0
10/1/2023 10:15:00 PM,0,13.70655,-5.250963,0,0
10/1/2023 10:30:00 PM,0,13.68686,-5.224892,0,0
10/1/2023 10:45:00 PM,0,13.68383,-5.220971,0,0
10/1/2023 11:00:00 PM,0,13.71138,-5.273446,0,0
10/1/2023 11:15:00 PM,0,13.71677,-5.272168,0,0
10/1/2023 11:30:00 PM,0,13.5864,-5.100127,0,0
10/1/2023 11:45:00 PM,0,13.56609,-5.082534,0,0
10/2/2023 12:00:00 AM,0,13.54877,-5.063323,0,0
10/2/2023 12:15:00 AM,0,13.56911,-5.0869,0,0
10/2/2023 12:30:00 AM,0,13.58268,-5.094589,0,0
10/2/2023 12:45:00 AM,0,13.59337,-5.112899,0,0
10/2/2023 1:00:00 AM,0,13.59284,-5.10881,0,0
10/2/2023 1:15:00 AM,0,13.60265,-5.119947,0,0
10/2/2023 1:30:00 AM,0,13.56699,-5.064903,0,0
10/2/2023 1:45:00 AM,0,13.58825,-5.089046,0,0
10/2/2023 2:00:00 AM,0,13.58821,-5.092114,0,0
10/2/2023 2:15:00 AM,0,13.60007,-5.100654,0,0
10/2/2023 2:30:00 AM,0,13.61409,-5.10544,0,0
10/2/2023 2:45:00 AM,0,13.60464,-5.070042,0,0
10/2/2023 3:00:00 AM,0,13.61878,-5.069258,0,0
10/2/2023 3:15:00 AM,0,13.62066,-5.083436,0,0
10/2/2023 3:30:00 AM,0,13.61792,-5.092884,0,0
10/2/2023 3:45:00 AM,0,13.62296,-5.109785,0,0
10/2/2023 4:00:00 AM,0,13.61272,-5.10602,0,0
10/2/2023 4:15:00 AM,0,13.60098,-5.087109,0,0
10/2/2023 4:30:00 AM,0,13.59671,-5.078718,0,0
10/2/2023 4:45:00 AM,0,13.5882,-5.072306,0,0
10/2/2023 5:00:00 AM,0,13.55864,-5.03542,0,0
10/2/2023 5:15:00 AM,0,13.51677,-4.989377,0,0
10/2/2023 5:30:00 AM,0,13.49557,-4.962284,0,0
10/2/2023 5:45:00 AM,0,13.53627,-5.003665,0,0
10/2/2023 6:00:00 AM,0,13.53927,-5.025873,0,0
10/2/2023 6:15:00 AM,0,13.51273,-4.995614,0,0
10/2/2023 6:30:00 AM,0,13.49032,-5.772025,0,0
10/2/2023 6:45:00 AM,0.003313726,13.55106,-7.522267,0,0
10/2/2023 7:00:00 AM,0.1999085,13.52273,-6.980843,0,0.5213793
10/2/2023 7:15:00 AM,6.916353,13.51324,5.89609,0,13.32107
10/2/2023 7:30:00 AM,42.32534,13.58339,32.81294,0,39.78633
10/2/2023 7:45:00 AM,83.69627,13.59081,76.58761,0,83.06568
10/2/2023 8:00:00 AM,139.5971,13.58218,130.4157,0,136.1584
10/2/2023 8:15:00 AM,196.166,13.57404,186.5455,0,191.7883
10/2/2023 8:30:00 AM,258.1321,13.57447,244.2934,0,249.1559
10/2/2023 8:45:00 AM,318.5583,13.56098,302.2779,0,306.7653
10/2/2023 9:00:00 AM,383.8202,13.56046,361.8227,0,365.8224
10/2/2023 9:15:00 AM,446.4963,13.51147,416.8476,0,420.4415
10/2/2023 9:30:00 AM,508.2968,13.53033,470.22,0,473.8278
10/2/2023 9:45:00 AM,572.5108,13.69158,519.5715,0,522.9088
10/2/2023 10:00:00 AM,625.4182,13.68416,561.7323,0,564.9388
10/2/2023 10:15:00 AM,675.0192,13.65053,605.0602,0,607.5712
10/2/2023 10:30:00 AM,708.5931,13.62533,644.1162,0,647.1891
10/2/2023 10:45:00 AM,751.6159,13.67357,679.4667,0,681.8655
10/2/2023 11:00:00 AM,790.3138,13.64946,706.3641,0,709.0956
10/2/2023 11:15:00 AM,830.0121,13.63742,730.425,0,733.0388
10/2/2023 11:30:00 AM,872.8371,13.61698,749.5844,0,752.3212
10/2/2023 11:45:00 AM,892.467,13.60816,771.2735,0,773.6039
10/2/2023 12:00:00 PM,921.0074,13.61268,783.5991,0,785.7457
10/2/2023 12:15:00 PM,934.6819,13.62847,790.9725,0,793.5484
10/2/2023 12:30:00 PM,940.5231,13.62399,807.4092,0,810.7345
10/2/2023 12:45:00 PM,950.1438,13.61368,809.4143,0,812.0854
10/2/2023 1:00:00 PM,963.3882,13.58433,810.0922,0,811.865
10/2/2023 1:15:00 PM,910.8508,13.57932,805.7148,0,808.5093
10/2/2023 1:30:00 PM,905.4924,13.58529,797.6024,0,800.0577
10/2/2023 1:45:00 PM,930.6068,13.64295,780.006,0,782.691
10/2/2023 2:00:00 PM,917.4135,13.63932,760.8005,0,763.3203
10/2/2023 2:15:00 PM,898.5502,13.64132,750.244,0,752.8136
10/2/2023 2:30:00 PM,855.2501,13.64985,725.5092,0,728.4668
10/2/2023 2:45:00 PM,827.2858,13.66525,703.4181,0,706.7771
10/2/2023 3:00:00 PM,798.658,13.65643,675.7244,0,679.3098
10/2/2023 3:15:00 PM,761.311,13.67605,642.8733,0,646.8469
10/2/2023 3:30:00 PM,711.3404,13.68163,611.1534,0,614.5121
10/2/2023 3:45:00 PM,667.5731,13.69557,571.282,0,575.1721
