Brush Creek Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1 (Standard without POA),Production meter L-L voltage,Production meter active power,"Inverter - 1 CPS SCH125KTL, Active Power","Inverter - 2 CPS SCH125KTL, Active Power","Inverter - 3 CPS SCH125KTL, Active Power","Inverter - 4 CPS SCH125KTL, Active Power","Inverter - 5 CPS SCH125KTL, Active Power","Inverter - 6 CPS SCH125KTL, Active Power","Inverter - 7 CPS SCH125KTL, Active Power","Inverter - 8 CPS SCH125KTL, Active Power","Inverter - 9 CPS SCH125KTL, Active Power","Inverter - 10 CPS SCH125KTL, Active Power","Inverter - 11 CPS SCH125KTL, Active Power","Inverter - 12 CPS SCH125KTL, Active Power","Inverter - 13 CPS SCH100KTL, Active Power","Inverter - 14 CPS SCH100KTL, Active Power","Inverter - 15 CPS SCH125KTL, Active Power","Inverter - 16 CPS SCH125KTL, Active Power","Inverter - 17 CPS SCH125KTL, Active Power","Inverter - 18 CPS SCH125KTL, Active Power"
10/1/2023 12:00:00 AM,-1.902046,38.7935,44.18622,0,12.60695,-2.51413,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
10/1/2023 12:15:00 AM,-1.681098,38.51736,43.64632,0,12.61972,-2.543855,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
10/1/2023 12:30:00 AM,-1.594238,38.26294,43.27522,0,12.63338,-2.564872,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
10/1/2023 12:45:00 AM,-1.640537,38.01051,43.04005,0,12.6416,-2.578591,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
10/1/2023 1:00:00 AM,-1.64332,37.79746,42.84118,0,12.65147,-2.603072,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
10/1/2023 1:15:00 AM,-1.449385,37.79784,42.75426,0,12.6606,-2.590211,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
10/1/2023 1:30:00 AM,-1.428985,37.8462,42.66254,0,12.66297,-2.620469,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
10/1/2023 1:45:00 AM,-1.735424,37.4235,42.17075,0,12.6693,-2.609987,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
10/1/2023 2:00:00 AM,-1.760631,36.98155,41.74497,0,12.67329,-2.674111,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
10/1/2023 2:15:00 AM,-1.42093,36.62548,41.41426,0,12.67819,-2.631363,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
