Adams Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station (Ambient Temp),Production meter L-N voltage,Production meter active power,"CPS SCH 125 | INV-01, AC Power Output","CPS SCH 125 | INV-02, AC Power Output","CPS SCH 125 | INV-03, AC Power Output","CPS SCH 125 | INV-04, AC Power Output","CPS SCH 125 | INV-05, AC Power Output","CPS SCH 125 | INV-06, AC Power Output","CPS SCH 125 | INV-07, AC Power Output","CPS SCH 125 | INV-08, AC Power Output","CPS SCH 125 | INV-09, AC Power Output","CPS SCH 125 | INV-10, AC Power Output","CPS SCH 125 | INV-11, AC Power Output","CPS SCH 125 | INV-12, AC Power Output","CPS SCH 125 | INV-13, AC Power Output","CPS SCH 125 | INV-14, AC Power Output","CPS SCH 125 | INV-15, AC Power Output","CPS SCH 125 | INV-16, AC Power Output"
10/1/2023 12:00:00 AM,-0.0733333,60.10375,64.8478,2,7.493057,-3.94417,,,,,,,,,,,,,,,,
10/1/2023 12:15:00 AM,-0.761667,62.1202,65.9675,2,7.496943,-3.94833,,,,,,,,,,,,,,,,
10/1/2023 12:30:00 AM,-1.50083,62.64435,66.4103,1,7.4975,-3.91417,,,,,,,,,,,,,,,,
10/1/2023 12:45:00 AM,-3.68917,62.01955,66.6816,1,7.49528,-3.54417,,,,,,,,,,,,,,,,
10/1/2023 1:00:00 AM,-4.44333,61.4381,66.6159,1,7.495,-3.94667,,,,,,,,,,,,,,,,
10/1/2023 1:15:00 AM,-3.90583,61.23445,66.4645,1,7.504723,-3.96333,,,,,,,,,,,,,,,,
10/1/2023 1:30:00 AM,-3.97333,60.6165,65.919,0,7.50361,-3.96417,,,,,,,,,,,,,,,,
10/1/2023 1:45:00 AM,-2.18167,60.2274,65.4648,0,7.49389,-3.675,,,,,,,,,,,,,,,,
10/1/2023 2:00:00 AM,-1.495,60.7744,65.3562,0,7.50139,-3.96333,,,,,,,,,,,,,,,,
10/1/2023 2:15:00 AM,-0.666667,61.3649,65.4705,0,7.501943,-3.9625,,,,,,,,,,,,,,,,
10/1/2023 2:30:00 AM,-1.79,61.8272,66.0075,2,7.501667,-3.95333,,,,,,,,,,,,,,,,
10/1/2023 2:45:00 AM,-2.50833,61.49995,66.0532,1,7.493057,-3.6325,,,,,,,,,,,,,,,,
10/1/2023 3:00:00 AM,-2.60833,60.9369,65.8304,1,7.5,-3.94,,,,,,,,,,,,,,,,
10/1/2023 3:15:00 AM,-2.13167,60.5455,65.5219,1,7.49611,-3.9525,,,,,,,,,,,,,,,,
10/1/2023 3:30:00 AM,-1.01583,61.2756,65.7247,1,7.50083,-3.96,,,,,,,,,,,,,,,,
10/1/2023 3:45:00 AM,-0.575833,61.92565,65.7819,0,7.501947,-3.95917,,,,,,,,,,,,,,,,
10/1/2023 4:00:00 AM,0.1525,63.038,66.0561,1,7.505557,-3.96417,,,,,,,,,,,,,,,,
10/1/2023 4:15:00 AM,-0.109167,63.791,66.496,1,7.510833,-3.615,,,,,,,,,,,,,,,,
10/1/2023 4:30:00 AM,-1.71667,62.8,66.4931,0,7.504723,-3.93417,,,,,,,,,,,,,,,,
10/1/2023 4:45:00 AM,-2.59167,61.08565,66.0618,0,7.495277,-3.95333,,,,,,,,,,,,,,,,
10/1/2023 5:00:00 AM,-2.585,59.9985,65.5362,1,7.493057,-3.8275,,,,,,,,,,,,,,,,
10/1/2023 5:15:00 AM,-2.56083,59.16305,65.1192,0,7.49389,-3.66833,,,,,,,,,,,,,,,,
10/1/2023 5:30:00 AM,-2.22,58.2727,64.445,0,7.497223,-3.9525,,,,,,,,,,,,,,,,
10/1/2023 5:45:00 AM,-1.94167,57.3549,63.8766,0,7.494723,-3.95417,,,,,,,,,,,,,,,,
10/1/2023 6:00:00 AM,-1.13333,57.64095,63.5024,1,7.490557,-3.85833,,,,,,,,,,,,,,,,
10/1/2023 6:15:00 AM,-1.27833,58.6824,63.391,0,7.49028,-3.74167,,,,,,,,,,,,,,,,
10/1/2023 6:30:00 AM,-2.60333,57.1924,62.8169,0,7.48722,-3.93667,,,,,,,,,,,,,,,,
10/1/2023 6:45:00 AM,-0.85,55.9862,62.3084,0,7.483887,-3.935,,,,,,,,,,,,,,,,
10/1/2023 7:00:00 AM,-0.371667,56.21735,62.0885,0,7.485833,-3.86583,,,,,,,0,0,0,0,0,0,0,0,0,0
10/1/2023 7:15:00 AM,6.63333,56.79415,61.9571,0,7.48639,7.61667,,,,,,,0.633333,0.858333,0.758333,0.766667,0.908333,0.791667,0.775,0.6,0.875,0.816667
10/1/2023 7:30:00 AM,25.3567,57.934,61.9856,0,7.48528,57.7283,,,,,,,3.51667,4.15,4.13333,4.06667,4.1,4.06667,4.125,3.775,3.95833,3.91667
10/1/2023 7:45:00 AM,32.1767,58.8449,62.3027,0,7.4775,78.7658,,,,,,,5.61667,6.55833,7.25833,6.50833,5.34167,5.25,5.075,4.8,4.95833,4.8
10/1/2023 8:00:00 AM,58.1625,58.85635,62.6084,0,7.470003,137.439,,,,,,,8.95,10.65,11.3917,11.3917,9.55833,8.99167,7.89167,7.33333,6.53333,6.06667
10/1/2023 8:15:00 AM,211.641,63.09525,63.5138,0,7.47611,439.887,,,,,,,27.6667,29.7,32.95,33.4667,32.5333,34.1583,25.95,24.2167,15.5667,9.74167
10/1/2023 8:30:00 AM,333.594,71.32355,65.5391,0,7.470003,726.22,,,,,,,47.475,51.425,52.9167,55.5833,54.0917,55.825,53.0917,48.6583,35.8667,19.5
10/1/2023 8:45:00 AM,446.177,78.12595,67.3586,0,7.46222,1023.27,,,,,,,64.175,72.1333,71.8417,75.6583,73.925,76.0583,76.075,69.2833,57.1167,43.6667
10/1/2023 9:00:00 AM,583.218,87.00195,68.9868,2,7.459443,1344.57,,,,,,,83.2083,93.8333,91.6667,97.0083,95.6083,95.975,96.7167,89.325,78.2083,69.1333
10/1/2023 9:15:00 AM,700.503,94.1248,70.6435,2,7.44639,1593.37,,,,,,,97.7,111.1,109.467,114.167,113.058,113.217,113.4,105.767,99.2083,88.5417
10/1/2023 9:30:00 AM,779.951,104.64,72.7144,1,7.441667,1754.25,,,,,,,106.817,122.467,122.808,124.717,123.533,123,123.125,115.083,112.6,98.1917
10/1/2023 9:45:00 AM,791.598,109.6175,74.2112,2,7.43222,1771.19,,,,,,,107.8,124.008,124.217,125.233,124.717,123.792,123.717,117.042,114.308,101.958
10/1/2023 10:00:00 AM,806.83,112.282,75.9765,2,7.42639,1793.53,,,,,,,109.3,125.458,125.292,125.275,125.267,124.817,124.95,119.325,116.717,106.408
10/1/2023 10:15:00 AM,792.692,113.051,76.9962,2,7.406667,1760.25,,,,,,,107.758,124.508,120.833,122.167,122.892,122.933,123,117.717,116.975,108.1
