Penny Hill Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1 (Standard),Production meter L-N voltage,Production meter L-L voltage,Production meter active power,"Schneider XC 680kW Inverter - 1A, Line kW","Schneider XC 680kW Inverter - 1B, Line kW","Schneider XC 680kW Inverter - 1C, Line kW"
,W/m²,°F,°F,mph,V,V,kW,kW,kW,kW
10/1/2023 1:15:00 PM,960.1911,119.5238,81.55116,4,7545.667,13070.33,1982.197,670.08,646.3433,644.9767
10/1/2023 1:30:00 PM,957.5225,123.5275,82.744,5,7557.667,13089.67,1978.762,663.9767,676.12,673.0133
10/1/2023 1:45:00 PM,816.3492,121.9244,83.38385,5,7554.667,13083.67,1630.936,571.8933,528.3233,559.8666
10/1/2023 2:00:00 PM,824.4443,113.7668,82.53263,5,7552.333,13079.67,1633.059,536.7833,518.8167,521.9267
10/1/2023 2:15:00 PM,740.025,114.9258,82.72343,5,7556,13087,1646.904,540.12,530.8967,549.1334
10/1/2023 2:30:00 PM,758.6168,116.2066,83.43412,4,7562.333,13099,1586.428,528.4067,508.92,499.8433
10/1/2023 2:45:00 PM,560.2449,108.4681,82.75429,4,7557.667,13092,1390.56,519.5267,473.1433,431.9833
10/1/2023 3:00:00 PM,699.4611,108.9566,82.81599,4,7554,13082.67,1651.098,565.3233,524.97,527.92
10/1/2023 3:15:00 PM,774.2731,113.0696,83.24103,6,7551.667,13079,1671.95,608.8533,583.0767,568.1567
10/1/2023 3:30:00 PM,519.4141,105.8873,82.85598,4,7548,13073.67,1150.583,400.5867,399.3467,385.45
10/1/2023 3:45:00 PM,432.9489,99.58999,82.38066,4,7542.667,13065.33,981.8447,347.1467,340.9367,298.16
10/1/2023 4:00:00 PM,598.496,106.0008,82.60004,3,7548,13073,1439.927,485.5133,474.11,471.4633
10/1/2023 4:15:00 PM,443.0898,105.5458,83.09821,4,7545,13067.33,1041.968,358.35,375.6467,358.89
10/1/2023 4:30:00 PM,480.5403,98.91451,81.98305,4,7546.667,13071,1144.819,391.0033,385.2033,379.44
10/1/2023 4:45:00 PM,342.5696,98.2524,82.37267,3,7554.333,13086,806.345,281.64,255.8967,260.1433
10/1/2023 5:00:00 PM,225.4145,90.00047,81.07127,2,7581.333,13130.67,576.2297,197.0367,182.6133,182.8033
10/1/2023 5:15:00 PM,262.0644,90.16496,80.68736,3,7564,13102.67,615.0013,207.52,203.5267,203.7467
10/1/2023 5:30:00 PM,138.6824,85.82984,79.99725,2,7571,13114,397.684,138.06,130.7067,130.92
10/1/2023 5:45:00 PM,67.69552,78.47717,78.82496,2,7573.333,13117,252.28,88.08334,82.08334,83.87
10/1/2023 6:00:00 PM,44.03322,74.86764,77.60012,1,7577.333,13124,144.2983,50.57,47.92333,48.34667
10/1/2023 6:15:00 PM,18.68076,71.11115,76.25873,0,7581.667,13132.33,63.456,22.58333,22.10333,21.84333
10/1/2023 6:30:00 PM,2.757636,67.11002,74.20552,0,7585,13138,21.80233,8.39,8.493333,8.346666
10/1/2023 6:45:00 PM,0,63.81944,72.24371,0,7586.333,13142,-0.701,0.8333333,0.98,0.8633333
10/1/2023 7:00:00 PM,0,62.47264,70.42701,0,7591.667,13148.33,-5.976,-0.7733333,-0.69,-0.7833334
10/1/2023 7:15:00 PM,0,61.49575,68.81483,0,7589.333,13147.33,-4.335,0,0,0
10/1/2023 7:30:00 PM,0,60.50798,67.37633,0,7598,13159,-3.989667,0,0,0
10/1/2023 7:45:00 PM,0,59.45927,66.10464,0,7609,13179,-4.005333,0,0,0
10/1/2023 8:00:00 PM,0,58.58089,65.01576,0,7617,13192.33,-4.07,0,0,0
10/1/2023 8:15:00 PM,0,57.84278,63.96802,0,7615.667,13191,-4.151333,0,0,0
10/1/2023 8:30:00 PM,0,57.09467,63.08823,0,7615,13190.33,-4.254667,0,0,0
10/1/2023 8:45:00 PM,0,56.74231,62.46895,0,7612,13184.33,-4.035,0,0,0
10/1/2023 9:00:00 PM,0,56.51186,62.07019,0,7617,13191.33,-4.074667,0,0,0
10/1/2023 9:15:00 PM,0,55.89399,61.51719,0,7620.667,13199.67,-4.122667,0,0,0
10/1/2023 9:30:00 PM,0,55.15839,60.88534,0,7624.333,13204.33,-4.475667,0,0,0
10/1/2023 9:45:00 PM,0,55.00142,60.52771,0,7617,13194.67,-4.054667,0,0,0
