Timestamp,POA Sensor,Production meter L-N voltage,Production meter active power,"Eaton Power Xpert 1670 1, Real power","Eaton Power Xpert 1670 2, Real power","Eaton Power Xpert 1670 3, Real power"
10/1/2023 8:30:00 PM,0,,,0,0,0
10/1/2023 8:45:00 PM,0,,,0,0,0
10/1/2023 9:00:00 PM,0,,,0,0,0
10/1/2023 9:15:00 PM,0,,,0,0,0
10/1/2023 9:30:00 PM,0,,,0,0,0
10/1/2023 9:45:00 PM,0,,,0,0,0
10/1/2023 10:00:00 PM,0,,,0,0,0
10/1/2023 10:15:00 PM,0,,,0,0,0
10/1/2023 10:30:00 PM,0,,,0,0,0
10/1/2023 10:45:00 PM,0,,,0,0,0
10/1/2023 11:00:00 PM,0,,,0,0,0
10/1/2023 11:15:00 PM,0,,,0,0,0
10/1/2023 11:30:00 PM,0,,,0,0,0
10/1/2023 11:45:00 PM,0,,,0,0,0
10/2/2023 12:00:00 AM,0,,,0,0,0
10/2/2023 12:15:00 AM,0,,,0,0,0
10/2/2023 12:30:00 AM,0,,,0,0,0
10/2/2023 12:45:00 AM,0,,,0,0,0
10/2/2023 1:00:00 AM,0,,,0,0,0
10/2/2023 1:15:00 AM,0,,,0,0,0
10/2/2023 1:30:00 AM,0,,,0,0,0
10/2/2023 1:45:00 AM,0,,,0,0,0
10/2/2023 2:00:00 AM,0,,,0,0,0
10/2/2023 2:15:00 AM,0,,,0,0,0
10/2/2023 2:30:00 AM,0,,,0,0,0
10/2/2023 2:45:00 AM,0,,,0,0,0
10/2/2023 3:00:00 AM,0,,,0,0,0
10/2/2023 3:15:00 AM,0,,,0,0,0
10/2/2023 3:30:00 AM,0,,,0,0,0
10/2/2023 3:45:00 AM,0,,,0,0,0
10/2/2023 4:00:00 AM,0,,,0,0,0
10/2/2023 4:15:00 AM,0.03255555,,,0,0,0
10/2/2023 4:30:00 AM,0.1761965,,,0,0,0
10/2/2023 4:45:00 AM,0.003136795,,,0,0,0
10/2/2023 5:00:00 AM,0,,,0,0,0
10/2/2023 5:15:00 AM,0,,,0,0,0
10/2/2023 5:30:00 AM,0,,,0,0,0
10/2/2023 5:45:00 AM,0,,,0,0,0
10/2/2023 6:00:00 AM,0,,,0,0,0
10/2/2023 6:15:00 AM,0,,,0,0,0
10/2/2023 6:30:00 AM,0,,,0,0,0
10/2/2023 6:45:00 AM,0,,,0,0,0
10/2/2023 7:00:00 AM,0.2824706,,,0,0,0
10/2/2023 7:15:00 AM,4.180641,,,0.3162245,0.19044,1.995338
10/2/2023 7:30:00 AM,32.05016,,,30.97454,25.83676,51.82364
10/2/2023 7:45:00 AM,70.36806,,,106.2115,43.82704,142.0163
10/2/2023 8:00:00 AM,119.8383,,,210.476,134.8465,247.3979
10/2/2023 8:15:00 AM,176.0316,,,317.0301,249.4159,358.5468
10/2/2023 8:30:00 AM,232.0965,,,429.4391,366.35,466.3727
10/2/2023 8:45:00 AM,289.5916,,,542.6912,491.1691,583.9921
10/2/2023 9:00:00 AM,345.798,,,645.9596,618.1508,696.5253
10/2/2023 9:15:00 AM,403.3833,,,746.4437,736.9628,802.7447
10/2/2023 9:30:00 AM,456.1859,,,825.5921,841.9625,885.2561
10/2/2023 9:45:00 AM,509.3505,,,903.4739,938.9281,974.2813
10/2/2023 10:00:00 AM,560.7008,,,977.6343,1033.711,1059.216
10/2/2023 10:15:00 AM,608.7963,,,1041.537,1112.901,1133.425
10/2/2023 10:30:00 AM,652.0142,,,1098.229,1184.088,1195.659
10/2/2023 10:45:00 AM,693.3762,,,1150.843,1247.131,1255.044
10/2/2023 11:00:00 AM,730.3657,,,1198.663,1299.442,1302.656
10/2/2023 11:15:00 AM,763.9545,,,1244.456,1346.131,1350.11
10/2/2023 11:30:00 AM,795.1661,,,1269.092,1380.411,1386.919
10/2/2023 11:45:00 AM,820.9948,,,1303.477,1424.586,1421.123
10/2/2023 12:00:00 PM,842.2712,,,1323.658,1439.603,1439.502
10/2/2023 12:15:00 PM,862.5461,,,1343.446,1456.349,1456.485
10/2/2023 12:30:00 PM,873.3956,,,1350.318,1465.955,1465.585
10/2/2023 12:45:00 PM,880.6608,,,1352.267,1474.303,1470.688
10/2/2023 1:00:00 PM,881.2264,,,1342.233,1467.721,1463.623
10/2/2023 1:15:00 PM,879.3486,,,1339.389,1469.79,1462.476
10/2/2023 1:30:00 PM,870.0427,,,1322.247,1451.804,1444.735
10/2/2023 1:45:00 PM,857.1848,,,1300.784,1427.721,1422.411
10/2/2023 2:00:00 PM,839.731,,,1275.756,1400.101,1391.927
10/2/2023 2:15:00 PM,817.6412,,,1254.874,1383.174,1369.3
10/2/2023 2:30:00 PM,790.0726,,,1212.047,1337.261,1327.399
10/2/2023 2:45:00 PM,759.7988,,,1160.659,1283.767,1272.424
10/2/2023 3:00:00 PM,724.4597,,,1122.767,1240.212,1225.583
10/2/2023 3:15:00 PM,684.5759,,,1066.637,1179.981,1165.432
10/2/2023 3:30:00 PM,641.5582,,,1009.935,1110.831,1097.562
10/2/2023 3:45:00 PM,596.682,,,950.0023,1045.506,1031.943
10/2/2023 4:00:00 PM,546.8811,,,874.8633,964.535,948.8102
10/2/2023 4:15:00 PM,494.3123,,,794.1264,870.738,856.4872
10/2/2023 4:30:00 PM,439.9673,,,705.7064,776.022,755.7431
10/2/2023 4:45:00 PM,384.2494,,,610.0538,675.8707,657.9053
10/2/2023 5:00:00 PM,328.287,,,508.1513,569.5251,555.0204
10/2/2023 5:15:00 PM,269.946,,,399.4854,458.5477,441.4862
10/2/2023 5:30:00 PM,213.8153,,,298.9959,349.8451,322.7124
10/2/2023 5:45:00 PM,159.4236,,,200.0049,242.8737,210.8893
10/2/2023 6:00:00 PM,109.5486,,,109.8548,143.0823,115.48
10/2/2023 6:15:00 PM,73.35538,,,38.43689,41.90472,48.55648
10/2/2023 6:30:00 PM,31.33439,,,1.940278,8.229803,6.136409
10/2/2023 6:45:00 PM,7.20401,,,0,0,0
10/2/2023 7:00:00 PM,2.328679,,,0,0,0
10/2/2023 7:15:00 PM,0.04007111,,,0,0,0
10/2/2023 7:30:00 PM,0,,,0,0,0
10/2/2023 7:45:00 PM,0,,,0,0,0
10/2/2023 8:00:00 PM,0,,,0,0,0
10/2/2023 8:15:00 PM,0.001119403,,,0,0,0
10/2/2023 8:30:00 PM,0.07492482,,,0,0,0
10/2/2023 8:45:00 PM,0.001733554,,,0,0,0
10/2/2023 9:00:00 PM,0,,,0,0,0
10/2/2023 9:15:00 PM,0,,,0,0,0
10/2/2023 9:30:00 PM,0,,,0,0,0
10/2/2023 9:45:00 PM,0,,,0,0,0
10/2/2023 10:00:00 PM,0,,,0,0,0
10/2/2023 10:15:00 PM,0,,,0,0,0
10/2/2023 10:30:00 PM,0,,,0,0,0
10/2/2023 10:45:00 PM,0,,,0,0,0
10/2/2023 11:00:00 PM,0,,,0,0,0
10/2/2023 11:15:00 PM,0,,,0,0,0
10/2/2023 11:30:00 PM,0,,,0,0,0
10/2/2023 11:45:00 PM,0,,,0,0,0
10/3/2023 12:00:00 AM,0,,,0,0,0
10/3/2023 12:15:00 AM,0,,,0,0,0
10/3/2023 12:30:00 AM,0,,,0,0,0
10/3/2023 12:45:00 AM,0,,,0,0,0
10/3/2023 1:00:00 AM,0,,,0,0,0
10/3/2023 1:15:00 AM,0,,,0,0,0
10/3/2023 1:30:00 AM,0,,,0,0,0
10/3/2023 1:45:00 AM,0,,,0,0,0
10/3/2023 2:00:00 AM,0,,,0,0,0
10/3/2023 2:15:00 AM,0,,,0,0,0
10/3/2023 2:30:00 AM,0,,,0,0,0
10/3/2023 2:45:00 AM,0,,,0,0,0
10/3/2023 3:00:00 AM,0,,,0,0,0
10/3/2023 3:15:00 AM,0,,,0,0,0
10/3/2023 3:30:00 AM,0,,,0,0,0
10/3/2023 3:45:00 AM,0,,,0,0,0
10/3/2023 4:00:00 AM,0,,,0,0,0
10/3/2023 4:15:00 AM,0,,,0,0,0
10/3/2023 4:30:00 AM,0,,,0,0,0
10/3/2023 4:45:00 AM,0,,,0,0,0
10/3/2023 5:00:00 AM,0,,,0,0,0
10/3/2023 5:15:00 AM,0,,,0,0,0
10/3/2023 5:30:00 AM,0,,,0,0,0
10/3/2023 5:45:00 AM,0,,,0,0,0
10/3/2023 6:00:00 AM,0,,,0,0,0
10/3/2023 6:15:00 AM,0,,,0,0,0
10/3/2023 6:30:00 AM,0,,,0,0,0
10/3/2023 6:45:00 AM,0,,,0,0,0
10/3/2023 7:00:00 AM,0.2493333,,,0,0,0
10/3/2023 7:15:00 AM,1.05096,,,10.28913,0,0
10/3/2023 7:30:00 AM,31.55556,,,38.81637,23.15591,30.05725
10/3/2023 7:45:00 AM,46.61962,,,75.14394,47.74275,89.50723
10/3/2023 8:00:00 AM,108.4932,,,188.6796,136.2122,220.0727
10/3/2023 8:15:00 AM,164.258,,,293.7927,239.0758,326.2101
10/3/2023 8:30:00 AM,202.7016,,,368.6791,317.628,402.0002
10/3/2023 8:45:00 AM,260.9286,,,488.3059,452.7517,524.9589
10/3/2023 9:00:00 AM,312.3908,,,589.4659,569.4896,629.395
10/3/2023 9:15:00 AM,369.8761,,,690.0262,683.53,741.9855
10/3/2023 9:30:00 AM,426.1006,,,776.4966,793.7722,833.0743
10/3/2023 9:45:00 AM,476.5603,,,841.8847,878.2294,902.3425
10/3/2023 10:00:00 AM,526.8818,,,915.3976,968.3535,986.9988
10/3/2023 10:15:00 AM,576.8779,,,983.8812,1045.86,1064.443
10/3/2023 10:30:00 AM,623.2165,,,1039.334,1120.754,1132.155
10/3/2023 10:45:00 AM,664.6138,,,1095.968,1189.347,1192.073
10/3/2023 11:00:00 AM,703.1614,,,1137.43,1237.514,1244.17
10/3/2023 11:15:00 AM,733.4695,,,1178.553,1277.605,1280.974
10/3/2023 11:30:00 AM,767.1738,,,1220.375,1321.14,1322.86
10/3/2023 11:45:00 AM,791.8731,,,1244.096,1347.422,1349.424
10/3/2023 12:00:00 PM,775.3663,,,1189.415,1109.81,1342.445
10/3/2023 12:15:00 PM,671.7723,,,1218.448,1241.631,1439.344
10/3/2023 12:30:00 PM,597.4872,,,1133.655,1144.248,1128.663
10/3/2023 12:45:00 PM,843.181,,,1382.234,1510.768,1498.68
10/3/2023 1:00:00 PM,949.9321,,,1386.227,1398.328,1334.524
10/3/2023 1:15:00 PM,788.3312,,,1330.465,1292.2,945.0735
10/3/2023 1:30:00 PM,757.8506,,,889.6111,1032.894,1215.87
10/3/2023 1:45:00 PM,593.8964,,,1183.104,1170.619,1211.331
10/3/2023 2:00:00 PM,681.9055,,,947.4639,1185.493,1169.664
10/3/2023 2:15:00 PM,482.8612,,,765.4229,748.0846,841.2328
10/3/2023 2:30:00 PM,554.8038,,,724.1456,789.6464,809.6109
10/3/2023 2:45:00 PM,298.6607,,,754.071,792.8964,658.5531
10/3/2023 3:00:00 PM,807.8876,,,930.5676,1129.46,1214.553
10/3/2023 3:15:00 PM,565.1887,,,806.2447,725.5176,746.165
10/3/2023 3:30:00 PM,651.9379,,,1039.547,1138.69,1113.705
10/3/2023 3:45:00 PM,379.1394,,,899.1027,768.0894,818.2639
10/3/2023 4:00:00 PM,487.2485,,,848.1818,928.8549,859.8452
10/3/2023 4:15:00 PM,474.5522,,,757.1439,829.7924,816.0952
10/3/2023 4:30:00 PM,428.1154,,,693.6861,757.9124,741.719
10/3/2023 4:45:00 PM,422.1772,,,676.9449,740.0235,717.5759
10/3/2023 5:00:00 PM,260.2576,,,366.0017,372.5622,375.0634
10/3/2023 5:15:00 PM,91.31391,,,298.2471,278.7533,222.0547
10/3/2023 5:30:00 PM,195.2309,,,269.1524,320.1928,298.4836
10/3/2023 5:45:00 PM,139.2547,,,179.3182,212.5729,188.3557
10/3/2023 6:00:00 PM,95.21985,,,88.0279,116.7756,85.62514
10/3/2023 6:15:00 PM,52.96296,,,19.84632,46.08123,15.4174
10/3/2023 6:30:00 PM,21.60368,,,0,6.22674,5.21786
10/3/2023 6:45:00 PM,5.842278,,,0,0,0
10/3/2023 7:00:00 PM,2.577111,,,0,0,0
10/3/2023 7:15:00 PM,0.357,,,0,0,0
10/3/2023 7:30:00 PM,0,,,0,0,0
10/3/2023 7:45:00 PM,0,,,0,0,0
10/3/2023 8:00:00 PM,0,,,0,0,0
10/3/2023 8:15:00 PM,0,,,0,0,0
10/3/2023 8:30:00 PM,0,,,0,0,0
10/3/2023 8:45:00 PM,0,,,0,0,0
10/3/2023 9:00:00 PM,0,,,0,0,0
10/3/2023 9:15:00 PM,0,,,0,0,0
10/3/2023 9:30:00 PM,0,,,0,0,0
10/3/2023 9:45:00 PM,0,,,0,0,0
10/3/2023 10:00:00 PM,0,,,0,0,0
10/3/2023 10:15:00 PM,0,,,0,0,0
10/3/2023 10:30:00 PM,0,,,0,0,0
10/3/2023 10:45:00 PM,0,,,0,0,0
10/3/2023 11:00:00 PM,0,,,0,0,0
10/3/2023 11:15:00 PM,0,,,0,0,0
10/3/2023 11:30:00 PM,0,,,0,0,0
10/3/2023 11:45:00 PM,0,,,0,0,0
10/4/2023 12:00:00 AM,0,,,0,0,0
10/4/2023 12:15:00 AM,0,,,0,0,0
10/4/2023 12:30:00 AM,0,,,0,0,0
10/4/2023 12:45:00 AM,0,,,0,0,0
10/4/2023 1:00:00 AM,0,,,0,0,0
10/4/2023 1:15:00 AM,0,,,0,0,0
10/4/2023 1:30:00 AM,0,,,0,0,0
10/4/2023 1:45:00 AM,0,,,0,0,0
10/4/2023 2:00:00 AM,0,,,0,0,0
10/4/2023 2:15:00 AM,0,,,0,0,0
10/4/2023 2:30:00 AM,0,,,0,0,0
10/4/2023 2:45:00 AM,0,,,0,0,0
10/4/2023 3:00:00 AM,0,,,0,0,0
10/4/2023 3:15:00 AM,0,,,0,0,0
10/4/2023 3:30:00 AM,0,,,0,0,0
10/4/2023 3:45:00 AM,0,,,0,0,0
10/4/2023 4:00:00 AM,0,,,0,0,0
10/4/2023 4:15:00 AM,0,,,0,0,0
10/4/2023 4:30:00 AM,0,,,0,0,0
10/4/2023 4:45:00 AM,0,,,0,0,0
10/4/2023 5:00:00 AM,0,,,0,0,0
10/4/2023 5:15:00 AM,0,,,0,0,0
10/4/2023 5:30:00 AM,0,,,0,0,0
10/4/2023 5:45:00 AM,0,,,0,0,0
10/4/2023 6:00:00 AM,0,,,0,0,0
10/4/2023 6:15:00 AM,0,,,0,0,0
10/4/2023 6:30:00 AM,0,,,0,0,0
10/4/2023 6:45:00 AM,0,,,0,0,0
10/4/2023 7:00:00 AM,0,,,0,0,0
10/4/2023 7:15:00 AM,3.128889,,,0,0,3.79948
10/4/2023 7:30:00 AM,18.88871,,,29.06355,30.85526,47.505
10/4/2023 7:45:00 AM,62.47279,,,89.36159,71.31741,129.3761
10/4/2023 8:00:00 AM,114.6561,,,193.4774,145.4409,237.0021
10/4/2023 8:15:00 AM,161.642,,,294.2057,227.3661,329.1958
10/4/2023 8:30:00 AM,202.881,,,375.7404,310.61,413.5222
10/4/2023 8:45:00 AM,306.2552,,,563.7451,529.9794,615.416
10/4/2023 9:00:00 AM,,,,,,
10/4/2023 9:15:00 AM,415.8997,,,767.6274,760.1307,825.2625
10/4/2023 9:30:00 AM,456.1088,,,827.6707,839.2083,889.4996
10/4/2023 9:45:00 AM,509.646,,,896.7733,935.4921,970.4058
10/4/2023 10:00:00 AM,561.8575,,,971.1918,1022.774,1052.165
10/4/2023 10:15:00 AM,609.2994,,,1038.954,1099.781,1121.501
10/4/2023 10:30:00 AM,654.1461,,,1098.569,1175.406,1192.19
10/4/2023 10:45:00 AM,693.1602,,,1143.442,1230.378,1245.33
10/4/2023 11:00:00 AM,729.8215,,,1197.01,1255.093,1272.712
10/4/2023 11:15:00 AM,800.3118,,,1142.553,1339.427,1364.732
10/4/2023 11:30:00 AM,816.8228,,,1212.579,1461.849,1467.872
10/4/2023 11:45:00 AM,870.1569,,,1213.11,1498.655,1520.849
10/4/2023 12:00:00 PM,811.6107,,,994.3954,1171.917,1280.938
10/4/2023 12:15:00 PM,885.7466,,,1124.348,1445.333,1410.983
10/4/2023 12:30:00 PM,893.3373,,,1197.078,1258.287,1363.055
10/4/2023 12:45:00 PM,823.655,,,987.2795,1124.242,1134.522
10/4/2023 1:00:00 PM,828.3354,,,1359.668,1368.849,1368.195
10/4/2023 1:15:00 PM,716.1194,,,1251.792,1375.116,1358.241
10/4/2023 1:30:00 PM,821.1721,,,1250.591,1384.051,1377.056
10/4/2023 1:45:00 PM,875.1822,,,1347.328,1462.198,1456.979
10/4/2023 2:00:00 PM,851.6876,,,1214.928,1400.167,1405.718
10/4/2023 2:15:00 PM,815.8087,,,1266.821,1392.066,1376.401
10/4/2023 2:30:00 PM,792.9794,,,1229.793,1349.261,1338.815
10/4/2023 2:45:00 PM,766.5721,,,1199.813,1309.527,1298.683
10/4/2023 3:00:00 PM,726.6423,,,1143.695,1245.597,1237.062
10/4/2023 3:15:00 PM,685.1259,,,1084.658,1181.255,1170.959
10/4/2023 3:30:00 PM,646.0003,,,1031.528,1124.645,1116.77
10/4/2023 3:45:00 PM,602.0222,,,963.7646,1049.338,1044.347
10/4/2023 4:00:00 PM,552.0516,,,888.4727,966.2327,959.7507
10/4/2023 4:15:00 PM,503.509,,,812.6335,883.1486,875.7153
10/4/2023 4:30:00 PM,450.2447,,,725.4467,789.9522,782.9045
10/4/2023 4:45:00 PM,391.5798,,,625.1838,685.8683,676.3448
10/4/2023 5:00:00 PM,331.6815,,,517.0744,576.6723,561.0314
10/4/2023 5:15:00 PM,270.0963,,,396.7285,453.3759,439.55
10/4/2023 5:30:00 PM,211.9336,,,297.0775,345.1962,320.1409
10/4/2023 5:45:00 PM,156.4266,,,196.5402,235.2068,204.1927
10/4/2023 6:00:00 PM,108.1739,,,95.99973,135.9429,104.6999
