Mariposa Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station (Standard w/ CMP-6),Production meter L-N voltage,Production meter active power,"TMEIC - 1, Active Power P","TMEIC - 2, Active Power P","TMEIC - 3, Active Power P"
10/1/2023 12:00:00 AM,0,55.82309,61.33805,0,7.27518,-9.599999,0,0,0
10/1/2023 12:15:00 AM,0,55.34074,60.95448,0,7.280186,-9.599999,0,0,0
10/1/2023 12:30:00 AM,0,54.99763,60.32713,0,7.29016,-9.599999,0,0,0
10/1/2023 12:45:00 AM,0,54.80361,59.93197,0,7.299389,-9.599999,0,0,0
10/1/2023 1:00:00 AM,0,54.68287,59.67573,0,7.302301,-9.599999,0,0,0
10/1/2023 1:15:00 AM,0,54.82212,59.67221,0,7.302082,-9.599999,0,0,0
10/1/2023 1:30:00 AM,0,56.34991,60.11113,0,7.302399,-9.599999,0,0,0
10/1/2023 1:45:00 AM,0,56.26655,60.42662,0,7.298104,-9.599999,0,0,0
10/1/2023 2:00:00 AM,0,55.34668,60.29956,0,7.281715,-9.599999,0,0,0
10/1/2023 2:15:00 AM,0,54.9191,60.0634,0,7.287935,-9.599999,0,0,0
10/1/2023 2:30:00 AM,0,54.69707,59.80176,0,7.291915,-9.599999,0,0,0
10/1/2023 2:45:00 AM,0,54.46903,59.48856,0,7.29709,-9.599999,0,0,0
10/1/2023 3:00:00 AM,0,55.28977,59.51612,0,7.301181,-9.599999,0,0,0
10/1/2023 3:15:00 AM,0,56.62952,59.68744,0,7.301635,-9.599999,0,0,0
10/1/2023 3:30:00 AM,0,58.02859,60.29816,0,7.302069,-9.599999,0,0,0
10/1/2023 3:45:00 AM,0,58.84201,60.95764,0,7.301999,-9.599999,0,0,0
10/1/2023 4:00:00 AM,0,59.32198,61.67142,0,7.293307,-9.599999,0,0,0
10/1/2023 4:15:00 AM,0,59.71652,62.06563,0,7.295646,-9.599999,0,0,0
10/1/2023 4:30:00 AM,0,60.01991,62.48821,0,7.296,-9.599999,0,0,0
10/1/2023 4:45:00 AM,0,60.21517,63.00057,0,7.293951,-9.599999,0,0,0
10/1/2023 5:00:00 AM,0,59.3736,63.21271,0,7.29414,-9.599999,0,0,0
10/1/2023 5:15:00 AM,0,57.24096,62.79924,0,7.292529,-9.599999,0,0,0
10/1/2023 5:30:00 AM,0,55.64036,61.97457,0,7.293659,-9.599999,0,0,0
10/1/2023 5:45:00 AM,0,54.88788,61.18205,0,7.295281,-9.599999,0,0,0
10/1/2023 6:00:00 AM,0,54.1412,60.27524,0,7.290851,-9.599999,0,0,0
10/1/2023 6:15:00 AM,0,53.5285,59.47998,0,7.286675,-9.599999,0,0,0
10/1/2023 6:30:00 AM,0,53.31746,59.10001,0,7.281679,-9.599999,0,0,0
10/1/2023 6:45:00 AM,0,52.98637,58.76144,0,7.281343,-9.599999,0,0,0
10/1/2023 7:00:00 AM,0.04775294,52.71568,58.42754,0,7.285001,-9.599999,0,0,0
10/1/2023 7:15:00 AM,7.469624,52.5271,57.87175,0,7.292833,0.6422861,0,1.119569,0.9954211
