Briarwood Monthly
Start date:,9/1/2023 12:00:00 AM
End date:,9/30/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station (Standard),Production meter L-N voltage,Production meter active power,"SunGrow SG125HV Inverter - 1, Line kW","SunGrow SG125HV Inverter - 2, Line kW","SunGrow SG125HV Inverter - 3, Line kW","SunGrow SG125HV Inverter - 4, Line kW","SunGrow SG125HV Inverter - 5, Line kW","SunGrow SG125HV Inverter - 6, Line kW","SunGrow SG125HV Inverter - 7, Line kW","SunGrow SG125HV Inverter - 8, Line kW","SunGrow SG125HV Inverter - 9, Line kW","SunGrow SG125HV Inverter - 10, Line kW","SunGrow SG125HV Inverter - 11, Line kW","SunGrow SG125HV Inverter - 12, Line kW","SunGrow SG125HV Inverter - 13, Line kW","SunGrow SG125HV Inverter - 14, Line kW","SunGrow SG125HV Inverter - 15, Line kW","SunGrow SG125HV Inverter - 16, Line kW"
9/1/2023 2:30:00 AM,-0.2013413,10.92591,67.16832,0,7.602777,-2.824574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 2:45:00 AM,0.1065001,10.73696,66.69168,0,7.609583,-2.831653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 3:00:00 AM,-0.1333948,10.40709,66.12434,0,7.593911,-2.817325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 3:15:00 AM,0.06728488,10.58255,65.82009,0,7.568997,-2.795615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 3:30:00 AM,-0.09744952,10.62928,65.75599,0,7.574946,-2.800229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 3:45:00 AM,0.1055445,10.69813,65.8278,0,7.578441,-2.805421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 4:00:00 AM,0.3703726,11.13216,66.00278,1,7.579536,-2.807368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 4:15:00 AM,-0.1014897,10.92453,66.08081,0,7.58387,-2.811033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 4:30:00 AM,-0.3704239,10.42295,65.7211,0,7.584198,-2.811342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 4:45:00 AM,-0.1241178,9.77498,64.95697,0,7.580548,-2.809635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 5:00:00 AM,-0.0772216,9.318235,64.243,0,7.57269,-2.802192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 5:15:00 AM,-0.05395982,9.159725,63.76254,0,7.574632,-2.804899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 5:30:00 AM,0.2522574,9.099745,63.40189,0,7.566133,-2.797346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 5:45:00 AM,0.08163691,9.20242,63.27907,0,7.558449,-2.789202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 6:00:00 AM,-0.009704927,8.775455,62.80222,0,7.54126,-2.774381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 6:15:00 AM,0.1655802,8.774635,62.45496,0,7.529469,-2.7648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 6:30:00 AM,0.06906163,8.88527,62.3976,0,7.55083,-2.78191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 6:45:00 AM,1.354348,8.559425,62.07381,0,7.569958,-2.764944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 7:00:00 AM,8.172618,8.61914,61.97828,0,7.544169,-2.119643,0,0,0,0,0.6534133,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 7:15:00 AM,18.37447,9.655295,62.6194,2,7.537946,0.3491934,0,0,0,0,3.127443,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 7:30:00 AM,28.41999,10.70096,63.36301,0,7.542479,9.960532,0,0,0,0,12.68587,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 7:45:00 AM,132.8539,13.66862,64.19146,0,7.527117,24.40604,0,0,0,0,27.05574,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 8:00:00 AM,297.5223,16.66817,66.49097,1,7.519242,136.526,5.451826,5.401482,6.854921,5.928609,44.35097,5.980559,5.58195,0,6.77233,11.85953,0,11.02981,12.61908,11.59884,0,5.32962
9/1/2023 8:15:00 AM,417.912,20.89058,69.20171,1,7.526071,781.1324,56.17401,52.06557,65.9361,56.75761,63.71148,57.32275,54.18206,0,65.56306,68.12394,0,60.99352,67.98011,67.15199,0,52.45934
9/1/2023 8:30:00 AM,546.0842,26.17233,71.24758,1,7.557445,1125.033,76.3962,68.49647,85.82687,74.82287,83.35975,75.55547,71.53559,0,85.69059,88.28677,44.97434,86.78996,88.08239,92.30145,44.82896,68.66758
9/1/2023 8:45:00 AM,677.108,29.86426,72.61275,2,7.568415,1459.598,92.65359,82.37337,103.8228,91.18016,101.8494,91.54359,86.1705,0,102.865,106.3199,104.4504,106.3657,105.8326,110.9448,103.1951,82.47655
9/1/2023 9:00:00 AM,810.8889,35.5413,74.19281,2,7.563594,1654.902,105.3729,92.54733,117.763,103.6533,115.8438,103.5618,97.41535,0,116.5281,119.7895,119.1709,119.947,119.089,124.1173,116.3571,93.57777
9/1/2023 9:15:00 AM,874.9022,41.0316,75.99399,1,7.549456,1714.408,109.7219,95.8247,122.188,107.648,119.7521,107.308,100.8849,0,121.1317,123.5055,123.5305,123.9623,122.7176,125.991,120.406,97.29813
9/1/2023 9:30:00 AM,902.3771,42.97995,77.1093,2,7.546236,1747.205,111.8585,97.73277,124.7292,109.9567,122.6566,109.7672,103.0925,0,123.79,125.7686,125.8463,125.9079,125.5868,125.991,123.3975,99.56078
