Brightwood Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Max wind speed - Luft WS601,Production meter AC voltage,Production meter L-L voltage,Production meter active power,"Sungrow SG3600 Inverter - 1, Total AC Power","Sungrow SG3600U Inverter - 2, Total AC Power","Sungrow SG3600U Inverter - 3, Total AC Power"
10/1/2023 12:00:00 AM,-1.64267,42.108,3.59667,7.38546,12.79083,-18.7892,0,0,0
10/1/2023 12:15:00 AM,-1.639,40.942,2.2,7.39365,12.80497,-18.8152,0,0,0
10/1/2023 12:30:00 AM,-1.68333,41.178,2.71333,7.39667,12.8102,-18.8736,0,0,0
10/1/2023 12:45:00 AM,-1.75833,40.648,2.61,7.4003,12.81657,-18.9374,0,0,0
10/1/2023 1:00:00 AM,-1.814,41.864,4.14333,7.39955,12.81533,-18.8496,0,0,0
10/1/2023 1:15:00 AM,-1.77733,41.892,3.95,7.40061,12.81703,-18.95,0,0,0
10/1/2023 1:30:00 AM,-1.73467,41.724,4.83667,7.40141,12.8184,-19.2034,0,0,0
10/1/2023 1:45:00 AM,-1.756,41.598,4.98667,7.40251,12.8204,-19.149,0,0,0
10/1/2023 2:00:00 AM,-1.67867,40.986,3.54,7.40509,12.8248,-19.1303,0,0,0
10/1/2023 2:15:00 AM,-1.84667,40.67,3.70667,7.40746,12.82893,-19.0227,0,0,0
10/1/2023 2:30:00 AM,-1.73567,40.462,3.93,7.40863,12.83097,-19.2173,0,0,0
10/1/2023 2:45:00 AM,-1.70633,39.398,2.45,7.41191,12.83663,-19.0178,0,0,0
10/1/2023 3:00:00 AM,-1.75633,40.114,4.19333,7.41382,12.83997,-19.1441,0,0,0
10/1/2023 3:15:00 AM,-1.75233,40.094,3.73333,7.40933,12.8323,-19.1544,0,0,0
10/1/2023 3:30:00 AM,-1.76833,40.084,4.45333,7.41024,12.83367,-19.0797,0,0,0
10/1/2023 3:45:00 AM,-1.798,40.19,4.30333,7.4095,12.83243,-19.0431,0,0,0
10/1/2023 4:00:00 AM,-1.76133,39.958,4.46333,7.40304,12.8213,-19.2368,0,0,0
10/1/2023 4:15:00 AM,-1.70567,39.85,4.85,7.4003,12.8166,-18.9432,0,0,0
10/1/2023 4:30:00 AM,-1.69467,39.79,4.34667,7.39699,12.81077,-19.003,0,0,0
10/1/2023 4:45:00 AM,-1.71033,39.296,3.88,7.39177,12.8017,-18.8244,0,0,0
10/1/2023 5:00:00 AM,-1.82967,39.8,5.43333,7.3779,12.77763,-19.0048,0,0,0
10/1/2023 5:15:00 AM,-1.722,39.612,4.98333,7.37514,12.77293,-18.7731,0,0,0
10/1/2023 5:30:00 AM,-1.75333,39.596,5.4,7.36896,12.76203,-18.5709,0,0,0
10/1/2023 5:45:00 AM,-1.68967,39.332,5.32333,7.36357,12.75277,-18.7017,0,0,0
10/1/2023 6:00:00 AM,-1.73733,38.688,4.12667,7.36588,12.75683,-18.6572,0,0,0
10/1/2023 6:15:00 AM,-1.646,37.66,3.67667,7.36683,12.75823,-18.6463,0,0,0
10/1/2023 6:30:00 AM,-1.70267,36.844,2.89667,7.36477,12.7545,-18.6508,0,0,0
10/1/2023 6:45:00 AM,-1.05333,36.814,2.64,7.36208,12.75003,-18.1039,0,0.00983333,0
10/1/2023 7:00:00 AM,2.81567,38.04,3.51,7.36548,12.75567,24.5968,14.1317,14.0222,14.2803
10/1/2023 7:15:00 AM,10.393,38.666,4.19667,7.3838,12.7873,116.655,45.6442,44.2996,45.3211
10/1/2023 7:30:00 AM,20.1057,38.884,4.89333,7.37594,12.77373,367.296,156.409,89.5859,150.564
10/1/2023 7:45:00 AM,80.466,39.598,4.62667,7.40807,12.8292,1134.6,458,245.717,451.84
10/1/2023 8:00:00 AM,216.946,43.118,3.45667,7.41051,12.83347,2307.91,856.539,618.471,849.361
10/1/2023 8:15:00 AM,308.571,48.476,2.09667,7.36345,12.752,3679.82,1297.16,1091.07,1304.35
10/1/2023 8:30:00 AM,353.29,52.762,3.25667,7.37377,12.76953,5132.81,1756.56,1625.61,1788.94
10/1/2023 8:45:00 AM,453.227,61.49,1.97333,7.3552,12.73723,6495.94,2180.9,2140.49,2233.56
10/1/2023 9:00:00 AM,557.919,67.128,3.19,7.32093,12.6784,7715.96,2571.76,2595.75,2623.28
10/1/2023 9:15:00 AM,684.548,73.976,2.69667,7.29691,12.63677,8725.88,2904.59,2942.87,2958.59
10/1/2023 9:30:00 AM,752.318,80.214,2.91,7.26282,12.57753,9492.58,3165.31,3206.77,3218.54
10/1/2023 9:45:00 AM,765.285,87.684,2.32333,7.26563,12.5826,9539.42,3170.58,3217.76,3247.72
10/1/2023 10:00:00 AM,763.367,90.732,2.38,7.27978,12.60683,9460.81,3146.27,3194.46,3218.38
10/1/2023 10:15:00 AM,757.846,91.088,2.80667,7.30444,12.6497,9392.08,3126.22,3173.32,3186.71
10/1/2023 10:30:00 AM,747.724,91.534,2.70333,7.30519,12.65117,9299.56,3087.81,3133.96,3168.03
10/1/2023 10:45:00 AM,736.033,87.914,4.03333,7.30845,12.65697,9241.13,3070.51,3115.09,3147.77
10/1/2023 11:00:00 AM,726.547,87.206,4.41,7.3085,12.65703,9168.5,3039.56,3089.87,3132.8
10/1/2023 11:15:00 AM,716.877,85.54,4.99333,7.31251,12.66413,9073.54,3001.91,3050.48,3108.21
10/1/2023 11:30:00 AM,704.737,85.132,5.06,7.31162,12.6626,8964.02,2963.04,3009.86,3077.09
10/1/2023 11:45:00 AM,695.071,83.982,5.93,7.32215,12.6809,8883.74,2937.82,2984.84,3044.36
10/1/2023 12:00:00 PM,686.201,82.422,6.00667,7.32966,12.69383,8820.51,2919.54,2963.88,3021.09
10/1/2023 12:15:00 PM,678.997,81.792,6.84333,7.33218,12.6982,8756.33,2902.93,2942.64,2993.02
10/1/2023 12:30:00 PM,674.763,81.95,7.03,7.3327,12.69927,8737.28,2895.35,2933.1,2986.22
10/1/2023 12:45:00 PM,673.548,82.42,8.21,7.32965,12.69417,8711.66,2885.59,2929.95,2973.74
10/1/2023 1:00:00 PM,675.459,87.834,6.06333,7.33477,12.70297,8679.53,2877.65,2920.45,2961.93
10/1/2023 1:15:00 PM,685.062,90.988,5.62333,7.31501,12.66877,8713.46,2890.65,2933.42,2974.05
10/1/2023 1:30:00 PM,691.682,93.692,5.94333,7.3053,12.6519,8775.79,2913.04,2956.93,2993.62
10/1/2023 1:45:00 PM,702.749,92.31,6.85667,7.29636,12.63643,8878.34,2949.45,2994.06,3023.54
10/1/2023 2:00:00 PM,706.056,92.536,7.76667,7.27939,12.60713,8881.68,2949.28,2994.85,3028.96
10/1/2023 2:15:00 PM,718.229,92.576,7.23667,7.28016,12.60863,8980.85,2987.63,3041.88,3036.06
10/1/2023 2:30:00 PM,735.204,94.814,6.38,7.25903,12.57177,9156.31,3047.31,3100.21,3103.77
10/1/2023 2:45:00 PM,738.96,95.844,6.02,7.25119,12.5582,9165.19,3045.08,3104.65,3102.67
10/1/2023 3:00:00 PM,746.158,95.316,5.66,7.2395,12.53787,9203.46,3060.4,3123.76,3109.42
10/1/2023 3:15:00 PM,752.736,95.714,5.48,7.23949,12.538,9267.6,3085.96,3147.08,3130.83
10/1/2023 3:30:00 PM,759.068,96.464,5.90333,7.23951,12.5381,9302.45,3099.84,3160.04,3134.72
10/1/2023 3:45:00 PM,755.676,96.446,5.79667,7.24073,12.54,9228.74,3075.61,3125.47,3113.77
10/1/2023 4:00:00 PM,736.889,94.928,5.57,7.23836,12.53597,9044.71,3016.55,3071.82,3045.83
10/1/2023 4:15:00 PM,732.84,95.098,5.48333,7.23318,12.52697,8971.25,3014.63,3060.36,2987.45
10/1/2023 4:30:00 PM,671.417,94.518,4.81667,7.23858,12.53613,8320.06,2792.14,2835.18,2772
10/1/2023 4:45:00 PM,578.568,91.17,5.18667,7.24288,12.5435,7283.92,2443.69,2477.92,2434.16
10/1/2023 5:00:00 PM,491.733,87.458,4.61,7.26459,12.58107,6270.46,2102.1,2117.9,2108.25
10/1/2023 5:15:00 PM,389.843,82.592,4.18667,7.2816,12.6104,4992.39,1664.01,1671.81,1687.02
10/1/2023 5:30:00 PM,302.221,77.504,2.63,7.29148,12.62733,3749.95,1257.75,1253.96,1271.64
10/1/2023 5:45:00 PM,211.655,71.048,2.20667,7.32092,12.67857,2514.21,841.81,845.438,862.929
10/1/2023 6:00:00 PM,130.62,64.056,2.02667,7.32784,12.69043,1446.49,486.468,479.822,497.632
10/1/2023 6:15:00 PM,52.0473,56.642,1.39,7.34528,12.7206,511.398,179.462,170.669,181.542
10/1/2023 6:30:00 PM,6.97,49.848,1.43333,7.35592,12.73903,54.6473,25.7076,25.3353,26.1022
10/1/2023 6:45:00 PM,-0.0323333,45.752,0.476667,7.36367,12.7525,-13.4709,3.4063,3.70767,3.24803
10/1/2023 7:00:00 PM,-1.5,43.836,0.993333,7.35941,12.74513,-18.4221,0,0,0
10/1/2023 7:15:00 PM,-1.59133,43.538,1.43667,7.36269,12.7506,-18.6104,0,0,0
10/1/2023 7:30:00 PM,-1.40133,42.284,1.46,7.3733,12.76903,-18.8476,0,0,0
10/1/2023 7:45:00 PM,-1.49567,41.904,1.47667,7.37338,12.76917,-18.8354,0,0,0
10/1/2023 8:00:00 PM,-1.491,42.768,1.98333,7.38129,12.7829,-18.7382,0,0,0
10/1/2023 8:15:00 PM,-2.20533,44.358,2.61,7.38336,12.78647,-18.8431,0,0,0
10/1/2023 8:30:00 PM,-2.45833,46.43,4.83667,7.38722,12.79333,-18.8308,0,0,0
10/1/2023 8:45:00 PM,-1.927,46.654,3.7,7.37971,12.78023,-18.7129,0,0,0
10/1/2023 9:00:00 PM,-1.68467,45.926,2.96667,7.38443,12.78857,-18.8747,0,0,0
10/1/2023 9:15:00 PM,-1.7,45.62,2.88,7.39242,12.80213,-19.0243,0,0,0
10/1/2023 9:30:00 PM,-1.58333,46.02,4.12333,7.40051,12.81637,-19.0852,0,0,0
