Faison,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Timestamp,POA,"AE 1000NX - 1, AC Power","AE 1000NX - 2, AC Power",Production meter active power
,W/m²,kW,kW,kW
2023-03-04 19:00:00,0,0,0,-5.046171
2023-03-04 20:00:00,0,0,0,-5.097296
2023-03-04 21:00:00,0,0,0,-5.042555
2023-03-04 22:00:00,0,0,0,-5.065176
2023-03-04 23:00:00,0,0,0,-5.104544
2023-03-05 00:00:00,0,0,0,-5.040071
2023-03-05 01:00:00,0,0,0,-5.031516
2023-03-05 02:00:00,0,0,0,-5.036672
2023-03-05 03:00:00,0,0,0,-5.006823
2023-03-05 04:00:00,0,0,0,-4.997551
2023-03-05 05:00:00,0,0,0,-4.925243
2023-03-05 06:00:00,5.737763,4.910192,5.852202,1.510642
2023-03-05 07:00:00,164.551,146.3878,154.9129,294.7785
2023-03-05 08:00:00,416.2347,393.9637,412.5501,802.3323
2023-03-05 09:00:00,654.0179,610.2443,637.4956,1243.992
2023-03-05 10:00:00,843.1051,752.0818,784.5969,1531.863
2023-03-05 11:00:00,962.1719,836.8512,870.8394,1701.694
2023-03-05 12:00:00,1008.549,848.3839,882.1288,1723.481
2023-03-05 13:00:00,965.1656,805.4024,838.4386,1637.212
2023-03-05 14:00:00,837.3886,716.0093,742.3158,1452.054
2023-03-05 15:00:00,646.0494,553.4191,574.396,1121.594
2023-03-05 16:00:00,399.2005,338.4915,349.9935,681.5361
2023-03-05 17:00:00,143.9651,99.21104,101.1208,190.9106
2023-03-05 18:00:00,4.377173,1.289636,1.527952,-5.663882
2023-03-05 19:00:00,0,0,0,-4.981673
2023-03-05 20:00:00,0,0,0,-4.966665
2023-03-05 21:00:00,0,0,0,-5.021662
2023-03-05 22:00:00,0,0,0,-5.072072
2023-03-05 23:00:00,0,0,0,-5.091111
2023-03-06 00:00:00,0,0,0,-5.092434
2023-03-06 01:00:00,0,0,0,-5.078722
2023-03-06 02:00:00,0,0,0,-5.060772
2023-03-06 03:00:00,0,0,0,-5.032517
2023-03-06 04:00:00,0,0,0,-4.964095
2023-03-06 05:00:00,0,0,0,-4.911295
2023-03-06 06:00:00,8.040782,6.94846,7.489539,5.741171
2023-03-06 07:00:00,154.0614,139.1983,147.1522,281.1505
2023-03-06 08:00:00,407.758,382.9171,402.0794,779.5439
2023-03-06 09:00:00,647.7407,579.5829,606.0549,1181.626
2023-03-06 10:00:00,829.2201,717.4112,750.0311,1462.606
2023-03-06 11:00:00,956.0553,791.3303,824.5576,1609.824
2023-03-06 12:00:00,980.0097,811.9131,844.8288,1652.798
2023-03-06 13:00:00,859.937,708.5551,739.553,1448.784
2023-03-06 14:00:00,569.7177,482.8116,502.391,978.2484
2023-03-06 15:00:00,332.0437,280.6155,295.5996,569.8708
2023-03-06 16:00:00,296.5544,257.9377,268.0892,522.1481
2023-03-06 17:00:00,100.9121,74.81984,78.40545,144.5238
2023-03-06 18:00:00,5.45505,1.437038,1.290696,-5.528975
2023-03-06 19:00:00,0,0,0,-5.01324
2023-03-06 20:00:00,0,0,0,-5.071152
2023-03-06 21:00:00,0,0,0,-5.033809
2023-03-06 22:00:00,0,0,0,-5.071792
2023-03-06 23:00:00,0,0,0,-5.047395
2023-03-07 00:00:00,0,0,0,-5.078062
2023-03-07 01:00:00,0,0,0,-5.076936
2023-03-07 02:00:00,0,0,0,-5.054365
2023-03-07 03:00:00,0,0,0,-5.065728
2023-03-07 04:00:00,0,0,0,-5.054602
2023-03-07 05:00:00,0,0,0,-4.954663
2023-03-07 06:00:00,5.334516,4.872243,5.118643,1.106485
2023-03-07 07:00:00,133.0927,117.2925,124.3165,233.9392
2023-03-07 08:00:00,373.2745,341.106,357.2129,693.5463
2023-03-07 09:00:00,617.0128,555.7692,580.4184,1132.308
2023-03-07 10:00:00,802.5944,710.1486,738.8682,1444.425
2023-03-07 11:00:00,932.6825,797.2263,828.5892,1620.832
2023-03-07 12:00:00,947.8311,817.8491,846.88,1651.163
2023-03-07 13:00:00,889.5456,788.3317,819.2358,1601.619
2023-03-07 14:00:00,808.3197,687.8641,708.2321,1403.392
2023-03-07 15:00:00,629.9507,546.1314,566.1652,1106.125
2023-03-07 16:00:00,389.0214,329.5274,340.6714,663.3224
2023-03-07 17:00:00,144.3777,98.46529,100.0849,189.7139
2023-03-07 18:00:00,5.679643,1.430895,1.520195,-5.507383
2023-03-07 19:00:00,0,0,0,-4.95188
2023-03-07 20:00:00,0,0,0,-5.035694
2023-03-07 21:00:00,0,0,0,-5.032513
2023-03-07 22:00:00,0,0,0,-5.02632
2023-03-07 23:00:00,0,0,0,-5.058576
2023-03-08 00:00:00,0,0,0,-5.044532
2023-03-08 01:00:00,0,0,0,-5.027439
2023-03-08 02:00:00,0,0,0,-4.995347
2023-03-08 03:00:00,0,0,0,-4.960813
2023-03-08 04:00:00,0,0,0,-4.936608
2023-03-08 05:00:00,0,0,0,-4.924595
2023-03-08 06:00:00,7.82474,6.638902,7.384317,5.271471
2023-03-08 07:00:00,171.0758,152.9008,161.1257,307.6737
2023-03-08 08:00:00,428.187,416.8326,437.1876,850.459
2023-03-08 09:00:00,667.0427,640.9777,669.9105,1307.769
2023-03-08 10:00:00,850.5255,790.8835,823.961,1609.586
2023-03-08 11:00:00,975.4001,876.3883,912.3176,1777.112
2023-03-08 12:00:00,1007.985,896.3408,931.5347,1821.283
2023-03-08 13:00:00,966.3406,853.3182,886.4373,1733.485
2023-03-08 14:00:00,839.756,748.5169,777.0078,1519.458
2023-03-08 15:00:00,589.9647,555.5743,573.8685,1122.1
2023-03-08 16:00:00,310.5011,281.7642,288.986,561.6049
2023-03-08 17:00:00,79.71436,62.62748,64.99807,118.6768
2023-03-08 18:00:00,3.135503,1.113998,1.085204,-5.928372
2023-03-08 19:00:00,0,0,0,-4.930413
2023-03-08 20:00:00,0,0,0,-4.968202
2023-03-08 21:00:00,0,0,0,-4.990108
2023-03-08 22:00:00,0,0,0,-5.017356
2023-03-08 23:00:00,0,0,0,-4.999847
2023-03-09 00:00:00,0,0,0,-5.019778
2023-03-09 01:00:00,0,0,0,-4.987951
2023-03-09 02:00:00,0,0,0,-4.996239
2023-03-09 03:00:00,0,0,0,-4.964061
2023-03-09 04:00:00,0,0,0,-4.909867
2023-03-09 05:00:00,0,0,0,-4.956131
2023-03-09 06:00:00,10.13913,9.955809,10.98221,11.52583
2023-03-09 07:00:00,185.1868,169.4498,178.987,342.6363
2023-03-09 08:00:00,431.7192,409.0697,429.6537,835.0426
2023-03-09 09:00:00,663.192,624.7959,652.9794,1273.384
2023-03-09 10:00:00,853.8216,768.0668,803.0881,1568.029
2023-03-09 11:00:00,969.0703,849.9631,882.6957,1728.113
2023-03-09 12:00:00,1012.216,868.6887,903.3661,1765.508
2023-03-09 13:00:00,800.9532,703.556,728.8162,1414.933
2023-03-09 14:00:00,760.4854,667.2144,689.5329,1354.709
2023-03-09 15:00:00,499.9969,430.1654,447.3652,874.0574
2023-03-09 16:00:00,297.7309,267.0089,272.4243,534.4516
2023-03-09 17:00:00,69.53547,52.28635,53.95002,96.66515
2023-03-09 18:00:00,2.854374,1.202326,1.134235,-5.858573
2023-03-09 19:00:00,0,0,0,-4.899424
2023-03-09 20:00:00,0,0,0,-4.941461
2023-03-09 21:00:00,0,0,0,-4.940877
2023-03-09 22:00:00,0,0,0,-4.968054
2023-03-09 23:00:00,0,0,0,-4.981827
2023-03-10 00:00:00,0,0,0,-4.993668
2023-03-10 01:00:00,0,0,0,-4.977288
2023-03-10 02:00:00,0,0,0,-4.986485
2023-03-10 03:00:00,0,0,0,-4.984262
2023-03-10 04:00:00,0,0,0,-4.990397
2023-03-10 05:00:00,0,0,0,-4.94248
2023-03-10 06:00:00,0.4153332,0.7239405,0.7269962,-6.867654
2023-03-10 07:00:00,18.55974,18.21663,19.46412,28.08183
2023-03-10 08:00:00,56.34273,53.74494,55.90922,100.6339
2023-03-10 09:00:00,60.92221,55.153,57.88987,103.9711
2023-03-10 10:00:00,59.91817,55.57587,58.62848,105.2407
2023-03-10 11:00:00,78.5439,80.99068,85.69119,158.4456
2023-03-10 12:00:00,135.2189,129.3214,135.6479,258.1537
2023-03-10 13:00:00,86.6382,76.84041,80.2994,148.7501
2023-03-10 14:00:00,64.86335,59.43903,61.90356,112.2512
2023-03-10 15:00:00,51.14333,45.56493,48.29361,84.96934
2023-03-10 16:00:00,31.20742,27.12314,28.38791,46.10393
2023-03-10 17:00:00,13.17524,11.08208,11.58007,13.28258
2023-03-10 18:00:00,1.711222,0.6281282,0.6141667,-7.457491
2023-03-10 19:00:00,0,0,0,-4.968844
2023-03-10 20:00:00,0,0,0,-4.918984
2023-03-10 21:00:00,0,0,0,-4.952683
2023-03-10 22:00:00,0,0,0,-4.995925
2023-03-10 23:00:00,0,0,0,-4.993062
2023-03-11 00:00:00,0,0,0,-4.978332
2023-03-11 01:00:00,0,0,0,-4.945208
2023-03-11 02:00:00,0,0,0,-4.941877
2023-03-11 03:00:00,0,0,0,-4.92634
2023-03-11 04:00:00,0,0,0,-4.913166
2023-03-11 05:00:00,0,0,0,-4.940369
2023-03-11 06:00:00,8.542693,7.737482,8.367804,6.84913
2023-03-11 07:00:00,179.5994,156.2987,165.4567,315.4462
2023-03-11 08:00:00,382.7321,394.0556,412.4758,797.9881
2023-03-11 09:00:00,630.1185,563.51,585.1824,1189.135
2023-03-11 10:00:00,861.0528,801.6116,836.0915,1629.295
2023-03-11 11:00:00,969.2626,882.9955,918.9557,1796.38
2023-03-11 12:00:00,1011.982,911.7744,941.7197,1849.046
2023-03-11 13:00:00,911.8401,802.5743,827.4804,1613.551
2023-03-11 14:00:00,775.7057,691.0639,718.7407,1408.621
2023-03-11 15:00:00,659.6736,595.2552,616.3239,1209.481
2023-03-11 16:00:00,387.8907,342.8422,354.7624,689.5671
2023-03-11 17:00:00,58.83103,43.56466,45.092,79.53461
2023-03-11 18:00:00,2.022174,0.6904982,0.810866,-6.852616
2023-03-11 19:00:00,0,0,0,-4.910716
2023-03-11 20:00:00,0,0,0,-4.989195
2023-03-11 21:00:00,0,0,0,-4.999591
2023-03-11 22:00:00,0,0,0,-4.976313
2023-03-11 23:00:00,0,0,0,-4.976154
2023-03-12 00:00:00,0,0,0,-4.976042
2023-03-12 01:00:00,0,0,0,-4.960965
2023-03-12 03:00:00,0,0,0,-4.982652
2023-03-12 04:00:00,0,0,0,-5.016181
2023-03-12 05:00:00,0,0,0,-4.991626
2023-03-12 06:00:00,0,0,0,-5.004662
2023-03-12 07:00:00,1.185055,1.773889,1.83518,-6.040562
2023-03-12 08:00:00,13.61355,11.71902,12.59689,13.66167
2023-03-12 09:00:00,25.07781,25.33661,26.2023,42.24321
2023-03-12 10:00:00,64.45198,60.59831,63.1276,115.2746
2023-03-12 11:00:00,67.07471,69.32146,72.92007,133.4481
2023-03-12 12:00:00,185.1226,183.0076,191.3759,368.1014
2023-03-12 13:00:00,110.7569,108.2177,113.5559,214.0758
2023-03-12 14:00:00,97.38165,96.85323,101.2175,190.0958
2023-03-12 15:00:00,58.14941,51.88147,55.25452,98.3007
2023-03-12 16:00:00,39.04548,34.7786,36.69529,62.12207
2023-03-12 17:00:00,20.09234,17.72724,18.47609,26.67857
2023-03-12 18:00:00,4.071625,4.045139,4.314462,-1.296251
2023-03-12 19:00:00,0.07868055,0,0,-7.672516
2023-03-12 20:00:00,0,0,0,-4.964673
2023-03-12 21:00:00,0,0,0,-4.978148
2023-03-12 22:00:00,0,0,0,-5.0099
2023-03-12 23:00:00,0,0,0,-4.933958
2023-03-13 00:00:00,0,0,0,-4.942712
2023-03-13 01:00:00,0,0,0,-4.958363
2023-03-13 02:00:00,0,0,0,-4.960416
2023-03-13 03:00:00,0,0,0,-4.954175
2023-03-13 04:00:00,0,0,0,-4.90596
2023-03-13 05:00:00,0,0,0,-4.917395
2023-03-13 06:00:00,0,0,0,-5.057719
2023-03-13 07:00:00,1.834962,2.778086,2.961359,-3.478668
2023-03-13 08:00:00,36.55721,39.7548,41.20918,71.50867
2023-03-13 09:00:00,103.906,103.9408,108.5397,204.7442
2023-03-13 10:00:00,167.7966,163.8414,169.7245,326.9108
2023-03-13 11:00:00,279.2245,255.1886,264.2864,514.7135
2023-03-13 12:00:00,276.1598,267.3351,276.8289,534.6533
2023-03-13 13:00:00,371.3223,336.3091,343.3717,673.1731
2023-03-13 14:00:00,866.2551,704.186,696.561,1361.057
2023-03-13 15:00:00,771.5305,598.5463,627.9266,1193.096
2023-03-13 16:00:00,429.8851,354.5948,392.766,747.9211
2023-03-13 17:00:00,293.6997,241.0544,241.6468,482.996
2023-03-13 18:00:00,108.6272,63.17053,68.70077,124.4067
2023-03-13 19:00:00,2.962959,1.850473,1.886501,-5.251715
2023-03-13 20:00:00,0,0,0,-5.055627
2023-03-13 21:00:00,0,0,0,-5.064088
2023-03-13 22:00:00,0,0,0,-5.052719
2023-03-13 23:00:00,0,0,0,-5.005946
2023-03-14 00:00:00,0,0,0,-5.016335
2023-03-14 01:00:00,0,0,0,-4.995043
2023-03-14 02:00:00,0,0,0,-4.979669
2023-03-14 03:00:00,0,0,0,-4.981306
2023-03-14 04:00:00,0,0,0,-4.949869
2023-03-14 05:00:00,0,0,0,-5.042909
2023-03-14 06:00:00,0,0,0,-5.19878
2023-03-14 07:00:00,14.84886,12.34452,13.08485,16.02459
2023-03-14 08:00:00,192.5787,172.703,182.0341,348.9865
2023-03-14 09:00:00,449.7848,439.9754,461.1063,897.7266
2023-03-14 10:00:00,687.7156,665.9094,694.5195,1358.524
2023-03-14 11:00:00,875.8366,817.9849,853.3487,1667.228
2023-03-14 12:00:00,991.9856,902.8105,940.9401,1837.688
2023-03-14 13:00:00,990.0283,914.2728,950.6456,1867.934
2023-03-14 14:00:00,988.1487,852.6611,886.2659,1718.897
2023-03-14 15:00:00,789.9295,799.8497,834.0895,1621.439
2023-03-14 16:00:00,619.7682,590.1097,622.8362,1215.13
2023-03-14 17:00:00,408.8301,304.5164,317.8894,615.6063
2023-03-14 18:00:00,164.2055,118.3566,119.7133,230.499
2023-03-14 19:00:00,8.665223,3.240418,3.242639,-2.668743
2023-03-14 20:00:00,0,0,0,-4.933994
2023-03-14 21:00:00,0,0,0,-4.94047
2023-03-14 22:00:00,0,0,0,-4.941695
2023-03-14 23:00:00,0,0,0,-4.958445
2023-03-15 00:00:00,0,0,0,-4.934294
2023-03-15 01:00:00,0,0,0,-4.91796
2023-03-15 02:00:00,0,0,0,-4.888574
2023-03-15 03:00:00,0,0,0,-5.082324
2023-03-15 04:00:00,0,0,0,-5.084809
2023-03-15 05:00:00,0,0,0,-5.031039
2023-03-15 06:00:00,0,0,0,-4.660571
2023-03-15 07:00:00,15.15768,12.79568,13.75626,17.97464
2023-03-15 08:00:00,195.722,178.3062,188.3428,361.6745
2023-03-15 09:00:00,454.8549,450.4101,471.5518,919.3373
2023-03-15 10:00:00,698.4794,674.1094,702.974,1374.002
2023-03-15 11:00:00,882.0928,826.2513,860.4333,1682.661
2023-03-15 12:00:00,1004.512,911.3063,947.5148,1853.124
2023-03-15 13:00:00,1040.922,931.7941,967.8599,1893.543
2023-03-15 14:00:00,998.7787,888.7103,922.3488,1804.671
2023-03-15 15:00:00,870.0405,781.7715,810.4073,1586.627
2023-03-15 16:00:00,673.014,610.7703,633.2787,1238.578
2023-03-15 17:00:00,425.8248,377.3133,390.2256,761.3361
2023-03-15 18:00:00,160.2742,118.0482,120.51,230.3554
2023-03-15 19:00:00,9.002907,3.407214,3.457631,-1.974671
2023-03-15 20:00:00,0,0,0,-4.891512
2023-03-15 21:00:00,0,0,0,-4.888295
2023-03-15 22:00:00,0,0,0,-4.908347
2023-03-15 23:00:00,0,0,0,-4.916012
2023-03-16 00:00:00,0,0,0,-4.910678
2023-03-16 01:00:00,0,0,0,-4.911275
2023-03-16 02:00:00,0,0,0,-4.948847
2023-03-16 03:00:00,0,0,0,-5.109884
2023-03-16 04:00:00,0,0,0,-5.050125
2023-03-16 05:00:00,0,0,0,-5.001716
2023-03-16 06:00:00,0,0,0,-4.91907
2023-03-16 07:00:00,19.89625,17.37493,18.9908,27.88826
2023-03-16 08:00:00,214.6452,192.5494,203.356,391.1892
2023-03-16 09:00:00,457.47,436.9478,458.3141,891.7377
2023-03-16 10:00:00,691.7797,635.9041,665.326,1297.661
2023-03-16 11:00:00,881.3183,771.2305,805.3778,1572.027
2023-03-16 12:00:00,983.2922,840.8475,875.4203,1708.96
2023-03-16 13:00:00,1029.736,863.2538,899.3871,1756.32
2023-03-16 14:00:00,980.879,825.1261,858.592,1676.574
2023-03-16 15:00:00,847.4603,725.4898,752.5228,1470.605
2023-03-16 16:00:00,666.7869,563.8047,586.1147,1142.318
2023-03-16 17:00:00,415.3005,345.7467,357.7876,694.5465
2023-03-16 18:00:00,144.8287,105.558,109.1852,205.7209
2023-03-16 19:00:00,6.525083,3.091019,3.317162,-2.285792
2023-03-16 20:00:00,0,0,0,-4.908363
2023-03-16 21:00:00,0,0,0,-4.962769
2023-03-16 22:00:00,0,0,0,-5.027464
2023-03-16 23:00:00,0,0,0,-5.052048
2023-03-17 00:00:00,0,0,0,-4.98977
2023-03-17 01:00:00,0,0,0,-4.959796
