Schell Solar Farm,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"SMA Kodiak SC-1850 - A1, AC Real Power","SMA Kodiak SC-1850 - B1, AC Real Power","SMA Kodiak SC-1850 - C1, AC Real Power",Production meter active power
,W/m²,kW,kW,kW,kW
2023-03-01 00:00:00,0,0,0,0,-7.330542
2023-03-01 01:00:00,0,0,0,0,-7.295387
2023-03-01 02:00:00,0,0,0,0,-7.298716
2023-03-01 03:00:00,0,0,0,0,-7.296088
2023-03-01 04:00:00,0,0,0,0,-7.302807
2023-03-01 05:00:00,0,0,0,0,-7.241645
2023-03-01 06:00:00,3.960763,7.25,7.75,7,14.77363
2023-03-01 07:00:00,98.004,176.75,193.25,179.75,539.3928
2023-03-01 08:00:00,184.6218,361,432.5,416.25,1184.892
2023-03-01 09:00:00,296.8022,566.75,608.75,536.5,1626.746
2023-03-01 10:00:00,398.0646,791,868,762.25,2299.88
2023-03-01 11:00:00,442.6725,732.25,784.5,822.5,2434.066
2023-03-01 12:00:00,256.67,459.75,502,471.25,1424.249
2023-03-01 13:00:00,494.3198,939.25,1038.5,947.5,2796.435
2023-03-01 14:00:00,585.5229,1034.25,1098.75,1084.75,3280.173
2023-03-01 15:00:00,399.5598,738,798.75,783.25,2328.806
2023-03-01 16:00:00,279.1812,536,586,535.5,1647.251
2023-03-01 17:00:00,32.68301,60.75,66.75,61.25,186.0469
2023-03-01 18:00:00,0,0,0,0,-6.922936
2023-03-01 19:00:00,0,0,0,0,-7.268436
2023-03-01 20:00:00,0,0,0,0,-7.292151
2023-03-01 21:00:00,0,0,0,0,-7.301534
2023-03-01 22:00:00,0,0,0,0,-7.297023
2023-03-01 23:00:00,0,0,0,0,-7.288156
2023-03-02 00:00:00,0,0,0,0,-7.306175
2023-03-02 01:00:00,0,0,0,0,-7.285912
2023-03-02 02:00:00,0.01325721,0,0,0,-7.303046
2023-03-02 03:00:00,0.0414965,0,0,0,-7.414288
2023-03-02 04:00:00,0,0,0,0,-7.688251
2023-03-02 05:00:00,0,0,0,0,-7.607311
2023-03-02 06:00:00,0.06953195,0,0,0,-7.421566
2023-03-02 07:00:00,10.62414,16,17.5,15.75,42.81137
2023-03-02 08:00:00,115.7064,204.75,224.25,210.25,631.1082
2023-03-02 09:00:00,276.3756,494.75,534.5,494.75,1516.195
2023-03-02 10:00:00,313.4434,623,676.75,589.25,1793.276
2023-03-02 11:00:00,290.9699,531.75,582.5,539.5,1648.575
2023-03-02 12:00:00,218.8127,404.75,443.25,417.5,1255.952
2023-03-02 13:00:00,171.667,336.75,369,344.5,1042.998
2023-03-02 14:00:00,169.4218,327,358.5,334.25,1011.114
2023-03-02 15:00:00,105.7411,209.25,229.25,213.25,648.1824
2023-03-02 16:00:00,44.80317,91.75,101,93.5,282.6787
2023-03-02 17:00:00,11.07253,22.75,24.75,22.5,66.57497
2023-03-02 18:00:00,0,0,0,0,-7.222488
