Nitro,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Timestamp,POA,"AE 1000NX A, AC Power","AE 1000NX B, AC Power","AE 1000NX C, AC Power","AE 1000NX D, AC Power","AE 1000NX E, AC Power",Production meter active power
,W/m²,kW,kW,kW,kW,kW,kW
2023-03-04 03:00:00,0,0,0,0,0,0,
2023-03-04 04:00:00,0,0,0,0,0,0,
2023-03-04 05:00:00,0,0,0,0,0,0,
2023-03-04 06:00:00,2.29775,3.589219,2.982749,3.163359,2.904199,3.162065,
2023-03-04 07:00:00,156.8099,155.7428,142.8799,159.173,140.8762,145.5718,
2023-03-04 08:00:00,405.3649,465.118,449.5863,468.5576,449.1866,436.641,
2023-03-04 09:00:00,636.4385,732.157,724.0891,731.6187,709.5338,686.3861,
2023-03-04 10:00:00,823.2007,924.4081,912.9689,921.3757,898.0646,867.7543,
2023-03-04 11:00:00,951.8419,999.6127,997.2496,999.2373,993.9579,972.4244,
2023-03-04 12:00:00,991.7678,999.4296,999.379,999.4287,999.611,999.6463,
2023-03-04 13:00:00,942.1775,999.0911,995.3726,998.6795,992.8123,971.9722,
2023-03-04 14:00:00,813.7935,914.1467,894.5145,906.3808,885.7387,855.0992,
2023-03-04 15:00:00,620.2552,717.0877,703.9835,708.1694,696.2554,663.7794,
2023-03-04 16:00:00,379.7906,422.2083,432.0604,420.3474,428.3377,384.2157,
2023-03-04 17:00:00,135.5558,103.6075,127.9104,111.6685,127.7059,108.7291,
2023-03-04 18:00:00,2.738319,1.194694,1.317249,1.238944,1.264504,1.061336,
2023-03-04 19:00:00,0,0,0,0,0,0,
2023-03-04 20:00:00,0,0,0,0,0,0,
2023-03-04 21:00:00,0,0,0,0,0,0,
2023-03-04 22:00:00,0,0,0,0,0,0,
2023-03-04 23:00:00,0,0,0,0,0,0,
2023-03-05 00:00:00,0,0,0,0,0,0,
2023-03-05 01:00:00,0,0,0,0,0,0,
2023-03-05 02:00:00,0,0,0,0,0,0,
2023-03-05 03:00:00,0,0,0,0,0,0,
2023-03-05 04:00:00,0,0,0,0,0,0,
2023-03-05 05:00:00,0,0,0,0,0,0,
2023-03-05 06:00:00,2.47752,5.487697,4.524085,5.650412,4.227707,4.957001,
2023-03-05 07:00:00,169.2678,181.8083,166.0399,187.851,163.1731,169.0219,
2023-03-05 08:00:00,417.4231,488.77,471.1025,491.5428,470.1906,457.707,
2023-03-05 09:00:00,651.2436,743.8047,732.4814,745.1257,720.467,700.1547,
2023-03-05 10:00:00,837.2959,920.4874,903.2606,918.8528,887.6081,861.9239,
2023-03-05 11:00:00,953.1084,997.7995,990.6082,997.4329,981.2869,952.4864,
2023-03-05 12:00:00,989.2289,999.3751,999.282,999.2939,998.8441,976.3735,
