Siler 421 Farm,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Timestamp,POA*,"SMA SC-800CP-US - A1, Pac","SMA SC-800CP-US - A2, Pac","SMA SC-800CP-US - B1, Pac","SMA SC-800CP-US - B2, Pac","SMA SC-800CP-US - C1, Pac","SMA SC-800CP-US - C2, Pac"
,W/m²,kW,kW,kW,kW,kW,kW
2022-09-01 00:00:00,0,0,0,0,0,0,0
2022-09-01 01:00:00,0,0,0,0,0,0,0
2022-09-01 02:00:00,0,0,0,0,0,0,0
2022-09-01 03:00:00,0,0,0,0,0,0,0
2022-09-01 04:00:00,0,0,0,0,0,0,0
2022-09-01 05:00:00,0,0,0,0,0,0,0
2022-09-01 06:00:00,1.038951,0,0,0,0,0,0
2022-09-01 07:00:00,46.81055,31.85002,29.56899,37.62952,32.82211,38.54597,37.76675
2022-09-01 08:00:00,243.9563,205.1922,198.0992,234.2964,215.3748,254.1991,256.3473
2022-09-01 09:00:00,481.8589,458.9548,461.251,484.6523,472.1007,518.1538,518.6848
2022-09-01 10:00:00,664.287,624.7363,629.9541,646.9999,635.4658,695.4804,690.8575
2022-09-01 11:00:00,815.8799,748.6093,749.9066,772.5016,766.0691,804.6016,802.0757
2022-09-01 12:00:00,948.3895,826.5256,826.1149,830.3144,830.0925,832.7532,832.8602
2022-09-01 13:00:00,1005.973,581.4281,831.9819,656.7077,645.2504,832.9114,832.9631
2022-09-01 14:00:00,975.1218,551.0024,826.0894,626.8887,636.5773,832.9782,832.9409
2022-09-01 15:00:00,855.371,554.0228,757.9198,626.5514,604.3616,808.8344,800.1335
2022-09-01 16:00:00,660.8015,558.9301,589.2486,584.2559,591.6779,641.9401,625.8583
2022-09-01 17:00:00,419.3269,378.9427,370.1321,391.2171,398.4873,410.0392,397.6205
2022-09-01 18:00:00,235.6218,177.2359,172.378,185.3274,193.9613,196.466,191.4687
2022-09-01 19:00:00,20.39906,21.87607,22.15687,22.95694,23.41975,24.08897,23.83775
2022-09-01 20:00:00,0,0,0,0,0,0,0
