Schell Solar Farm,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Timestamp,POA*,"SMA Kodiak SC-1850 - A1, AC Real Power","SMA Kodiak SC-1850 - B1, AC Real Power","SMA Kodiak SC-1850 - C1, AC Real Power"
,W/m²,kW,kW,kW
2022-09-01 00:00:00,0,0,,
2022-09-01 01:00:00,0,0,,
2022-09-01 02:00:00,0,0,,
2022-09-01 03:00:00,0,0,,
2022-09-01 04:00:00,0,0,,
2022-09-01 05:00:00,0,0,,
2022-09-01 06:00:00,2.749365,2.75,,
2022-09-01 07:00:00,85.14236,123,,
2022-09-01 08:00:00,285.0952,523.75,,
2022-09-01 09:00:00,528.6111,947,,
2022-09-01 10:00:00,696.2102,1254.25,,
2022-09-01 11:00:00,865.2955,1476,,
2022-09-01 12:00:00,937.1572,1555.75,,
2022-09-01 13:00:00,720.3079,1176.5,,
2022-09-01 14:00:00,899.1571,1468.75,,
2022-09-01 15:00:00,820.1182,1353,,
2022-09-01 16:00:00,626.265,1066.5,,
2022-09-01 17:00:00,394.6807,666.25,,
2022-09-01 18:00:00,153.2258,241,,
2022-09-01 19:00:00,12.59737,29.75,,
2022-09-01 20:00:00,0,0,,
2022-09-01 21:00:00,0,0,,
2022-09-01 22:00:00,0,0,,
2022-09-01 23:00:00,0,0,,
2022-09-02 00:00:00,0,0,,
2022-09-02 01:00:00,0,0,,
2022-09-02 02:00:00,0,0,,
2022-09-02 03:00:00,0,0,,
2022-09-02 04:00:00,0,0,,
2022-09-02 05:00:00,0,0,,
2022-09-02 06:00:00,2.424454,2.5,,
2022-09-02 07:00:00,70.84286,120.75,,
2022-09-02 08:00:00,276.1173,493.5,,
2022-09-02 09:00:00,510.8446,908.5,,
2022-09-02 10:00:00,708.8005,1225.5,,
2022-09-02 11:00:00,767.5201,1302,,
2022-09-02 12:00:00,265.0499,512.75,,
2022-09-02 13:00:00,857.2252,1413.75,,
2022-09-02 14:00:00,994.1722,49,,
2022-09-02 15:00:00,463.5308,415,,
2022-09-02 16:00:00,296.9628,521.25,,
2022-09-02 17:00:00,193.5529,336.25,,
2022-09-02 18:00:00,57.19602,98,,
2022-09-02 19:00:00,4.652339,9,,
2022-09-02 20:00:00,0,0,,
2022-09-02 21:00:00,0,0,,
2022-09-02 22:00:00,0,0,,
