Dairy Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"TMEIC 2.5MW Inverter 1.1.1, Active Power P","TMEIC 2.5MW Inverter 1.2.1, Active Power P","TMEIC 2.5MW Inverter 1.3.1, Active Power P","TMEIC 2.5MW Inverter 1.4.1, Active Power P"
,W/m²,kW,kW,kW,kW
2022-09-04 16:00:00,787.5163,2090.142,2196.608,2254.042,2211.382
2022-09-04 17:00:00,646.1232,1814.725,1904.46,1962.145,1926.45
2022-09-04 18:00:00,329.6844,902.8217,944.3551,973.0733,951.0816
2022-09-04 19:00:00,13.69405,18.95333,19.95833,21.64333,21.17333
2022-09-04 20:00:00,-0.431538,0,0,0,0
2022-09-04 21:00:00,-0.4186958,0,0,0,0
2022-09-04 22:00:00,-0.2803679,0,0,0,0
2022-09-04 23:00:00,-0.2671827,0,0,0,0
2022-09-05 00:00:00,-0.3520742,0,0,0,0
2022-09-05 01:00:00,-0.3063757,0,0,0,0
2022-09-05 02:00:00,-0.2891884,0,0,0,0
2022-09-05 03:00:00,-0.3257758,0,0,0,0
2022-09-05 04:00:00,-0.2825915,0,0,0,0
2022-09-05 05:00:00,-0.3101551,0,0,0,0
2022-09-05 06:00:00,5.2701,6.18,7.848332,8.928332,8.748332
2022-09-05 07:00:00,376.7563,1024.555,1081.248,1110.49,1087.38
2022-09-05 08:00:00,781.4405,2246.785,2323.452,2385.108,2333.763
2022-09-05 09:00:00,890.0579,2436.323,2525.376,2586.035,2534.35
2022-09-05 10:00:00,912.8688,2400.338,2495.082,2555.007,2506.543
2022-09-05 11:00:00,895.8101,2296.882,2389.458,2439.175,2388.638
2022-09-05 12:00:00,873.5931,2224.406,2309.588,2360.737,2325.378
2022-09-05 13:00:00,863.139,2220.79,2314.198,2375.098,2338.768
2022-09-05 14:00:00,878.621,2255.94,2357.368,2425.958,2388.395
2022-09-05 15:00:00,881.2944,2295.607,2398.823,2467.233,2431.302
2022-09-05 16:00:00,872.5436,2310.58,2410.832,2478.721,2436.295
2022-09-05 17:00:00,688.9501,1968.773,2050.79,2113.323,2070.968
2022-09-05 18:00:00,235.1974,618.7484,631.3516,640.2701,609.7017
2022-09-05 19:00:00,8.856028,8.176667,8.726667,11.12833,10.59667
2022-09-05 20:00:00,-0.2630705,0,0,0,0
2022-09-05 21:00:00,-0.2825575,0,0,0,0
2022-09-05 22:00:00,-0.3427464,0,0,0,0
2022-09-05 23:00:00,-0.2785598,0,0,0,0
2022-09-06 00:00:00,-0.3091289,0,0,0,0
2022-09-06 01:00:00,-0.316148,0,0,0,0
2022-09-06 02:00:00,-0.2741545,0,0,0,0
2022-09-06 03:00:00,-0.2871734,0,0,0,0
2022-09-06 04:00:00,-0.3441159,0,0,0,0
2022-09-06 05:00:00,-0.2937292,0,0,0,0
2022-09-06 06:00:00,4.49629,5.261668,6.223332,7.581667,7.421668
2022-09-06 07:00:00,336.6208,885.3766,931.7583,958.1216,937.265
2022-09-06 08:00:00,751.1292,2143.72,2219.262,2274.968,2223.895
2022-09-06 09:00:00,862.8619,2349.813,2433.057,2491.077,2441.355
2022-09-06 10:00:00,888.4974,2321.378,2415.297,2468.043,2419.775
2022-09-06 11:00:00,873.9797,2221.981,2310.778,2359.845,2308.383
2022-09-06 12:00:00,835.5601,2084.878,2144.212,2210.245,2172.537
2022-09-06 13:00:00,834.1496,2185.3,2252.69,2319.364,2277.9
2022-09-06 14:00:00,964.392,2318.625,2359.61,2410.454,2384.751
2022-09-06 15:00:00,934.6456,2287.552,2369.025,2446.89,2399.243
2022-09-06 16:00:00,852.7813,2252.328,2355.108,2416.86,2346.98
2022-09-06 17:00:00,307.7873,876.0366,901.1301,915.5367,885.2551
2022-09-06 18:00:00,276.1039,841.305,885.1199,910.5016,880.2751
2022-09-06 19:00:00,8.304278,1.771667,2.448333,5.351667,4.663332
2022-09-06 20:00:00,-0.4804122,0,0,0,0
2022-09-06 21:00:00,-0.2982627,0,0,0,0
2022-09-06 22:00:00,-0.3213116,0,0,0,0
2022-09-06 23:00:00,-0.4021809,0,0,0,0
2022-09-07 00:00:00,-0.346388,0,0,0,0
2022-09-07 01:00:00,-0.3359771,0,0,0,0
2022-09-07 02:00:00,-0.3053697,0,0,0,0
2022-09-07 03:00:00,-0.3119321,0,0,0,0
2022-09-07 04:00:00,-0.2830111,0,0,0,0
2022-09-07 05:00:00,-0.3312097,0,0,0,0
2022-09-07 06:00:00,3.39315,3.378333,4.901668,5.385,5.261668
2022-09-07 07:00:00,355.8349,609.5099,455.9233,967.8433,948.75
2022-09-07 08:00:00,292.6113,672.1401,600.7568,451.7284,590.3284
2022-09-07 09:00:00,571.0911,1414.843,1437.214,1453.445,1436.868
2022-09-07 10:00:00,816.5098,2170.402,2276.298,2342.007,2324.499
2022-09-07 11:00:00,780.8244,2084.255,2168.695,2216.142,2163.21
2022-09-07 12:00:00,410.8057,1083.977,1093.233,1115.112,1070.005
2022-09-07 13:00:00,442.9768,1238.043,1278.479,1320.29,1301.982
2022-09-07 14:00:00,267.5363,721.4917,739.4384,774.215,762.6983
2022-09-07 15:00:00,257.8883,681.5018,701.7533,721.6216,708.3084
2022-09-07 16:00:00,255.7935,636.9199,707.9701,730.7766,719.9018
2022-09-07 17:00:00,556.1561,1454.776,1534.448,1586.652,1554.728
2022-09-07 18:00:00,375.7257,1013.055,1054.058,1082.572,1042.078
2022-09-07 19:00:00,9.885661,11.29,11.545,14.00833,13.43667
2022-09-07 20:00:00,-0.5046435,0,0,0,0
2022-09-07 21:00:00,-0.3596996,0,0,0,0
2022-09-07 22:00:00,-0.3391567,0,0,0,0
2022-09-07 23:00:00,-0.3292485,0,0,0,0
2022-09-08 00:00:00,-0.3051785,0,0,0,0
2022-09-08 01:00:00,-0.296979,0,0,0,0
2022-09-08 02:00:00,-0.3136922,0,0,0,0
2022-09-08 03:00:00,-0.2813647,0,0,0,0
2022-09-08 04:00:00,-0.3399287,0,0,0,0
2022-09-08 05:00:00,-0.2962083,0,0,0,0
2022-09-08 06:00:00,3.802291,1.401667,1.861667,3.19,2.98
2022-09-08 07:00:00,171.5182,319.32,337.915,357.08,357.635
2022-09-08 08:00:00,489.6044,1219.013,1274.783,1322.067,1295.643
2022-09-08 09:00:00,680.0474,1809.476,1884.053,1936.235,1888.668
2022-09-08 10:00:00,768.1317,2007.183,2074.832,2123.917,2083.803
2022-09-08 11:00:00,819.3306,2133.365,2226.153,2271.579,2222.856
2022-09-08 12:00:00,835.5928,2171.165,2281.987,2328.792,2264.587
