Four Oaks,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Timestamp,POA,"Eaton Power Expert 1670 2, Real power","Eaton Power Expert 1670 1, Real power","Eaton Power Expert 1670 3, Real power"
,W/m²,kW,kW,kW
2022-09-01 00:00:00,0,0,0,0
2022-09-01 01:00:00,0,0,0,0
2022-09-01 02:00:00,0,0,0,0
2022-09-01 03:00:00,0,0,0,0
2022-09-01 04:00:00,0,0,0,0
2022-09-01 05:00:00,0,0,0,0
2022-09-01 06:00:00,1.059895,0,0,0
2022-09-01 07:00:00,73.09389,105.3359,106.5634,86.97255
2022-09-01 08:00:00,256.9739,458.9963,471.4153,445.6347
2022-09-01 09:00:00,458.1614,803.9714,811.438,785.5515
2022-09-01 10:00:00,727.4863,1217.24,1211.907,1197.089
2022-09-01 11:00:00,844.7486,1350.79,1338.052,1317.773
2022-09-01 12:00:00,929.4362,1468.766,1459.578,1458.386
2022-09-01 13:00:00,862.9345,1387.721,1375.941,1367.559
2022-09-01 14:00:00,844.7954,1301.015,1292.544,1286.521
2022-09-01 15:00:00,656.7824,1104.806,1107.906,1111.81
2022-09-01 16:00:00,511.4722,865.824,858.8948,875.051
2022-09-01 17:00:00,259.4764,418.7646,417.6337,423.6138
2022-09-01 18:00:00,100.3156,151.1947,151.2013,151.107
2022-09-01 19:00:00,22.29454,18.26737,18.78607,17.90411
2022-09-01 20:00:00,0.4552608,0,0,0
2022-09-01 21:00:00,0.003567218,0,0,0
2022-09-01 22:00:00,0,0,0,0
2022-09-01 23:00:00,0,0,0,0
2022-09-02 00:00:00,0.02110037,0,0,0
2022-09-02 01:00:00,0.004830188,0,0,0
2022-09-02 02:00:00,0,0,0,0
2022-09-02 03:00:00,0,0,0,0
2022-09-02 04:00:00,0,0,0,0
2022-09-02 05:00:00,0,0,0,0
2022-09-02 06:00:00,0.1565529,0,0,0
2022-09-02 07:00:00,86.62186,115.4897,112.6038,95.96316
2022-09-02 08:00:00,295.0356,520.7081,534.97,507.2715
2022-09-02 09:00:00,542.4564,937.1362,951.02,923.3732
2022-09-02 10:00:00,759.5488,1258.005,1256.767,1232.755
2022-09-02 11:00:00,926.8232,1460.838,1440.29,1432.301
2022-09-02 12:00:00,1013.2,1533.199,1404.738,1362.5
2022-09-02 13:00:00,1039.037,1502.576,1435.865,1488.138
2022-09-02 14:00:00,685.9572,977.8198,943.5015,988.2357
2022-09-02 15:00:00,562.8839,888.0534,905.1514,947.3019
2022-09-02 16:00:00,350.7453,573.1552,543.8054,570.8126
2022-09-02 17:00:00,332.5595,530.4671,520.6116,544.5959
2022-09-02 18:00:00,124.3857,156.0649,152.7516,167.2293
2022-09-02 19:00:00,14.99172,6.942462,8.7889,7.587578
2022-09-02 20:00:00,0.06662501,0,0,0
2022-09-02 21:00:00,0,0,0,0
2022-09-02 22:00:00,0.02356944,0,0,0
2022-09-02 23:00:00,0.03047222,0,0,0
2022-09-03 00:00:00,0.01686111,0,0,0
2022-09-03 01:00:00,0,0,0,0
2022-09-03 02:00:00,0,0,0,0
2022-09-03 03:00:00,0,0,0,0
2022-09-03 04:00:00,0,0,0,0
2022-09-03 05:00:00,0,0,0,0
2022-09-03 06:00:00,0.47075,0,0,0
2022-09-03 07:00:00,79.77551,105.3138,107.672,83.42747
2022-09-03 08:00:00,284.6426,504.2578,520.7259,491.3605
2022-09-03 09:00:00,497.1215,853.6462,869.3723,847.8575
2022-09-03 10:00:00,622.8745,1076.552,1129.242,1111.5
2022-09-03 11:00:00,605.4799,997.6089,1004.517,966.5861
2022-09-03 12:00:00,563.8417,986.6783,951.773,949.0563
2022-09-03 13:00:00,450.6425,634.8698,623.9505,667.0217
2022-09-03 14:00:00,494.6229,800.646,758.3237,766.0795
2022-09-03 15:00:00,323.5862,527.0303,519.3818,519.0259
2022-09-03 16:00:00,152.3583,242.7591,241.0657,241.7894
