Monroe Moore Farm,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Timestamp,POA*,"SMA 800 CP-US - A1, Pac","SMA 800 CP-US - A2, Pac","SMA 800 CP-US - B1, Pac","SMA 800 CP-US - B2, Pac","SMA 800 CP-US - C1, Pac","SMA 800 CP-US - C2, Pac"
,W/m²,kW,kW,kW,kW,kW,kW
2022-09-01 00:00:00,0,0,0,0,0,0,0
2022-09-01 01:00:00,0,0,0,0,0,0,0
2022-09-01 02:00:00,0,0,0,0,0,0,0
2022-09-01 03:00:00,0,0,0,0,0,0,0
2022-09-01 04:00:00,0,0,0,0,0,0,0
2022-09-01 05:00:00,0,0,0,0,0,0,0
2022-09-01 06:00:00,0.07656424,0,0,0,0,0,0
2022-09-01 07:00:00,46.9668,30.38323,31.64408,28.73258,28.18205,26.84986,27.00521
2022-09-01 08:00:00,229.3102,193.1144,188.7925,186.5859,175.7005,178.0911,176.7963
2022-09-01 09:00:00,440.1637,395.8946,399.9418,386.8384,364.446,374.9128,393.394
2022-09-01 10:00:00,725.447,643.9843,650.2865,632.7822,596.7516,617.2621,660.8353
2022-09-01 11:00:00,889.9097,767.6584,778.0901,756.8802,712.6595,745.6797,783.3345
2022-09-01 12:00:00,979.5325,813.861,818.4553,808.2053,775.5159,804.468,826.7731
2022-09-01 13:00:00,969.764,798.2871,797.7454,795.4104,764.3624,791.6426,819.6609
2022-09-01 14:00:00,949.2181,774.5696,794.518,784.6639,746.8464,780.061,809.6955
2022-09-01 15:00:00,839.8268,686.0792,718.9708,706.4066,669.6332,703.7235,744.4817
2022-09-01 16:00:00,679.8558,554.3973,577.3702,585.3246,554.7378,584.9197,617.5361
2022-09-01 17:00:00,444.9955,345.4647,353.8967,387.5257,370.2407,390.4862,409.9372
2022-09-01 18:00:00,198.7191,127.9067,127.1899,154.6326,154.9606,160.2243,164.7503
2022-09-01 19:00:00,29.83809,27.39058,27.41837,28.0808,28.09712,29.45861,30.46799
2022-09-01 20:00:00,0,0,0,0,0,0,0
2022-09-01 21:00:00,0,0,0,0,0,0,0
2022-09-01 22:00:00,0,0,0,0,0,0,0
2022-09-01 23:00:00,0,0,0,0,0,0,0
2022-09-02 00:00:00,0,0,0,0,0,0,0
2022-09-02 01:00:00,0,0,0,0,0,0,0
2022-09-02 02:00:00,0,0,0,0,0,0,0
2022-09-02 03:00:00,0,0,0,0,0,0,0
2022-09-02 04:00:00,0,0,0,0,0,0,0
2022-09-02 05:00:00,0,0,0,0,0,0,0
2022-09-02 06:00:00,0.2734334,0,0,0,0,0,0
2022-09-02 07:00:00,57.26449,35.47444,36.3157,32.78534,32.13104,31.50385,26.08068
2022-09-02 08:00:00,260.2954,217.5438,212.0972,208.9245,196.3358,198.7985,192.976
2022-09-02 09:00:00,502.6548,446.6617,451.1537,435.6453,410.342,422.6003,440.8424
2022-09-02 10:00:00,715.102,628.1284,637.0905,617.7003,582.2371,591.2017,642.7627
