Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Power,Meter Voltage,Inverter_1,Inverter_2,Inverter_3,Inverter_4,Day/Night
2023-08-01 00:00:00,-2.0,64.36333,0.8633333,-19.97367,12.35889,0.0,0.0,0.0,0.0,Night
2023-08-01 00:15:00,-2.0,63.99,0.74,-19.66233,12.29711,0.0,0.0,0.0,0.0,Night
2023-08-01 00:30:00,-1.5,63.51333,1.443333,-19.685,12.301,0.0,0.0,0.0,0.0,Night
2023-08-01 00:45:00,-1.5,63.48,0.8166667,-19.77967,12.32422,0.0,0.0,0.0,0.0,Night
2023-08-01 01:00:00,-1.5,63.97667,0.7933334,-19.91733,12.34722,0.0,0.0,0.0,0.0,Night
2023-08-01 01:15:00,-0.5,64.56333,2.92,-20.02067,12.36411,0.0,0.0,0.0,0.0,Night
2023-08-01 01:30:00,-1.0,62.34333,2.58,-19.58067,12.28589,0.0,0.0,0.0,0.0,Night
2023-08-01 01:45:00,-0.5,62.09,2.156667,-19.42767,12.25622,0.0,0.0,0.0,0.0,Night
2023-08-01 02:00:00,-1.0,60.52667,1.693333,-19.47067,12.26611,0.0,0.0,0.0,0.0,Night
2023-08-01 02:15:00,-1.0,59.92,2.056667,-19.54733,12.27933,0.0,0.0,0.0,0.0,Night
2023-08-01 02:30:00,-0.5,58.16333,1.923333,-19.62833,12.29144,0.0,0.0,0.0,0.0,Night
2023-08-01 02:45:00,-1.0,58.54333,1.57,-19.70467,12.307,0.0,0.0,0.0,0.0,Night
2023-08-01 03:00:00,-0.5,59.19,3.553333,-19.771,12.31633,0.0,0.0,0.0,0.0,Night
2023-08-01 03:15:00,-1.0,59.75333,3.516667,-19.81333,12.32267,0.0,0.0,0.0,0.0,Night
2023-08-01 03:30:00,-1.0,59.07,3.616667,-19.74567,12.31111,0.0,0.0,0.0,0.0,Night
2023-08-01 03:45:00,-1.0,58.10333,3.123333,-19.767,12.31767,0.0,0.0,0.0,0.0,Night
2023-08-01 04:00:00,-1.0,57.75667,1.9,-19.723,12.30867,0.0,0.0,0.0,0.0,Night
2023-08-01 04:15:00,-0.5,56.98333,2.413333,-19.72733,12.31245,0.0,0.0,0.0,0.0,Night
2023-08-01 04:30:00,-0.5,59.12,3.633333,-19.73833,12.31211,0.0,0.0,0.0,0.0,Night
2023-08-01 04:45:00,-0.5,59.08667,3.576667,-19.70067,12.30355,0.0,0.0,0.0,0.0,Night
2023-08-01 05:00:00,-0.5,58.45667,3.473333,-19.552,12.27156,0.0,0.0,0.0,0.0,Night
2023-08-01 05:15:00,-1.0,57.43,2.926667,-19.478,12.25644,0.0,0.0,0.0,0.0,Night
2023-08-01 05:30:00,-1.0,56.28,2.933333,-19.378,12.23511,0.0,0.0,0.0,0.0,Night
2023-08-01 05:45:00,1.5,55.97667,3.38,-18.41733,12.23378,0.0,0.0,0.0,0.0,Night
2023-08-01 06:00:00,6.5,56.47333,3.576667,14.571,12.23311,0.0,0.0,0.0,0.0,Night
2023-08-01 06:15:00,16.0,56.03,3.413333,119.8823,12.26156,22.78667,18.49333,23.28,22.87667,Night
2023-08-01 06:30:00,63.5,55.97667,2.916667,479.4317,12.25267,113.1767,117.19,140.7333,137.0633,Night
2023-08-01 06:45:00,163.0,57.13667,1.373333,1323.845,12.26778,322.23,299.9733,359.2267,353.5033,Night
2023-08-01 07:00:00,265.5,58.02333,1.533333,2315.289,12.27778,563.08,530.9333,622.42,612.4767,Night
2023-08-01 07:15:00,379.0,59.38,1.696667,3464.464,12.33944,841.85,796.46,924.64,914.5367,Night
2023-08-01 07:30:00,505.5,60.97667,1.746667,4659.677,12.34033,1151.727,1081.8,1248.323,1236.797,Night
2023-08-01 07:45:00,642.5,63.19333,1.503333,5862.903,12.36644,1443.213,1352.997,1548.793,1536.793,Night
2023-08-01 08:00:00,749.5,65.66666,1.29,7182.22,12.40067,1793.013,1703.127,1856.727,1882.293,Night
2023-08-01 08:15:00,802.5,65.99667,1.656667,8072.45,12.38522,2033.56,1989.0,2026.9,2091.137,Night
2023-08-01 08:30:00,843.5,68.33334,1.1,8472.653,12.36955,2139.43,2104.283,2120.05,2185.103,Night
2023-08-01 08:45:00,879.5,70.79333,1.28,8777.394,12.357,2221.887,2180.223,2198.31,2260.417,Night
2023-08-01 09:00:00,907.5,71.57667,1.816667,9012.879,12.35278,2282.087,2238.61,2260.213,2323.047,Night
2023-08-01 09:15:00,929.0,71.52333,2.013333,9202.136,12.33255,2335.107,2286.59,2309.623,2368.127,Day
2023-08-01 09:30:00,944.5,72.39667,2.14,9317.636,12.31767,2361.453,2317.933,2343.627,2398.693,Day
2023-08-01 09:45:00,956.0,73.06667,2.533333,9399.788,12.30633,2389.977,2340.93,2364.353,2414.307,Day
