Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Voltage,Meter Power,Sesqui-C - Inverter 8 - AC power [W] - P_AC,Sesqui-C - Inverter 7 - AC power [W] - P_AC,Sesqui-C - Inverter 1 - AC power [W] - P_AC,Sesqui-C - Inverter 2 - AC power [W] - P_AC,Sesqui-C - Inverter 14 - AC power [W] - P_AC,Sesqui-C - Inverter 3 - AC power [W] - P_AC,Sesqui-C - Inverter 5 - AC power [W] - P_AC,Sesqui-C - Inverter 10 - AC power [W] - P_AC,Sesqui-C - Inverter 6 - AC power [W] - P_AC,Sesqui-C - Inverter 11 - AC power [W] - P_AC,Sesqui-C - Inverter 9 - AC power [W] - P_AC,Sesqui-C - Inverter 12 - AC power [W] - P_AC,Sesqui-C - Inverter 13 - AC power [W] - P_AC,Sesqui-C - POA - Irradiance [Wh/m²] - SRAD,Day/Night
2023-10-01 00:00:00,-999.0,-999.0,-999.0,,-999.0,,,,,,,,,,,,,,,Unknown
2023-10-01 00:15:00,-999.0,4.861,0.953,12697.975,-2947.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.427,Unknown
2023-10-01 00:30:00,-999.0,4.47,0.842,12710.314,-3006.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.084,Unknown
2023-10-01 00:45:00,-999.0,4.921,0.593,12720.078,-2989.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.867,Unknown
2023-10-01 01:00:00,-999.0,4.512,0.969,12732.297,-3021.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Unknown
2023-10-01 01:15:00,-999.0,4.109,0.627,12745.998,-2979.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.694,Unknown
2023-10-01 01:30:00,-999.0,3.337,0.479,12725.545,-2971.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.757,Unknown
2023-10-01 01:45:00,-999.0,3.766,0.48,12676.523,-2909.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Unknown
2023-10-01 02:00:00,-999.0,3.071,0.575,12672.777,-2888.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.862,Unknown
2023-10-01 02:15:00,-999.0,2.27,0.61,12683.817,-2885.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.953,Unknown
2023-10-01 02:30:00,-999.0,2.462,0.542,12704.337,-2962.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Unknown
2023-10-01 02:45:00,-999.0,2.495,0.577,12705.562,-2974.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.905,Unknown
2023-10-01 03:00:00,-999.0,2.653,0.359,12704.936,-2958.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Unknown
2023-10-01 03:15:00,-999.0,2.259,0.326,12684.155,-2938.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.289,Unknown
2023-10-01 03:30:00,-999.0,1.911,0.541,12698.415,-2960.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.269,Unknown
2023-10-01 03:45:00,-999.0,2.431,0.575,12690.437,-2947.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.171,Unknown
2023-10-01 04:00:00,-999.0,2.579,0.737,12689.657,-2937.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Unknown
2023-10-01 04:15:00,-999.0,2.607,0.572,12677.724,-2969.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.977,Unknown
2023-10-01 04:30:00,-999.0,2.035,0.121,12674.458,-2923.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.513,Unknown
2023-10-01 04:45:00,-999.0,1.723,0.489,12659.835,-2883.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Unknown
2023-10-01 05:00:00,-999.0,1.829,0.619,12654.847,-2884.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.969,Unknown
2023-10-01 05:15:00,-999.0,2.033,0.605,12635.996,-2974.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.751,Unknown
2023-10-01 05:30:00,-999.0,1.917,0.259,12631.406,-2968.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.958,Unknown
2023-10-01 05:45:00,-999.0,1.797,0.72,12677.41,-2966.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Unknown
2023-10-01 06:00:00,-999.0,1.833,1.039,12682.199,-2998.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.837,Unknown
2023-10-01 06:15:00,-999.0,2.889,1.144,12690.129,-3085.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.289,Unknown
2023-10-01 06:30:00,-999.0,2.34,1.203,12688.838,-3183.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.817,Unknown
2023-10-01 06:45:00,-999.0,2.272,1.026,12671.204,-3103.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.869,Unknown
2023-10-01 07:00:00,0.0,1.483,0.468,12676.591,-3155.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.115,Night
2023-10-01 07:15:00,407.856,1.057,0.851,12713.211,2178.411,204.499,223.722,194.832,424.449,405.816,390.658,448.54,271.888,279.555,407.112,278.223,496.015,402.473,1.416,Day
2023-10-01 07:30:00,2118.334,1.129,0.778,12739.135,24369.74,1577.111,1565.611,1074.022,2273.999,2018.056,2320.931,2232.364,1652.277,1628.833,2291.721,1749.001,2241.722,2031.945,10.565,Day
2023-10-01 07:45:00,11500.165,1.871,0.509,12737.721,110269.502,5498.501,6503.668,5853.181,10737.444,5064.112,8356.908,8258.772,7580.999,9096.333,9728.278,10592.222,10507.0,5306.666,63.027,Day
2023-10-01 08:00:00,26418.031,4.719,0.173,12763.784,274317.631,20148.111,23216.501,12703.445,25908.911,7902.111,19855.889,22466.333,21162.667,25133.555,19773.111,23643.221,21770.222,10917.444,224.955,Day
2023-10-01 08:15:00,40551.473,11.41,0.209,12783.383,449158.707,34978.0,36224.833,19510.222,39528.181,10889.388,36718.327,39841.319,35634.667,37587.888,31940.667,36406.555,32490.001,25337.167,340.107,Day
2023-10-01 08:30:00,55541.191,16.953,0.288,12776.739,660644.067,52665.333,49689.333,26643.87,53269.159,19556.0,63691.557,57874.997,49254.335,52148.501,52557.166,49696.334,44110.889,43574.056,467.705,Day
2023-10-01 08:45:00,72596.149,22.132,0.808,12752.248,897760.581,75518.889,65121.334,34760.555,69634.5,36354.555,84773.089,76312.222,63724.999,68415.833,76812.943,65109.277,58122.945,62342.333,619.592,Day
2023-10-01 09:00:00,80971.109,25.19,1.055,12738.84,1039261.252,85888.943,72568.999,38480.527,84410.111,56740.055,95281.6,85501.593,73458.165,75601.332,88823.889,72440.835,66305.61,75870.055,684.323,Day
2023-10-01 09:15:00,83055.12,28.003,1.04,12745.909,1097201.037,88820.222,74359.443,39323.791,87401.035,70448.777,101164.974,92702.667,75931.056,77184.055,91605.611,73841.777,74030.555,81178.889,702.435,Day
2023-10-01 09:30:00,107082.445,30.096,1.135,12730.289,1371035.621,102599.111,89983.777,53194.321,108289.667,104045.0,120535.502,115848.302,93776.611,96674.445,110999.333,92386.778,101770.391,91074.223,724.383,Day
2023-10-01 09:45:00,148987.276,30.607,1.291,12776.022,1922486.291,140015.778,132949.611,74147.832,137103.795,150111.889,163108.556,151394.353,135896.555,144830.723,166174.056,139686.055,149205.389,117646.887,735.927,Day
2023-10-01 10:00:00,149778.445,32.573,0.522,12782.561,1940843.523,140780.445,133839.724,74377.174,137541.109,157411.777,164890.491,152122.151,136285.888,145475.835,160624.445,140312.777,155445.056,121958.055,736.776,Day
2023-10-01 10:15:00,149076.711,31.971,0.894,12792.491,1940437.973,139658.055,133103.333,73847.947,136751.094,161266.722,163901.251,151906.253,135647.055,144062.11,158140.111,139208.944,159458.334,124674.555,732.472,Day
2023-10-01 10:30:00,148333.281,31.851,0.743,12746.899,1936200.957,138857.111,132376.945,73283.747,136083.549,162707.667,162638.668,151649.613,134938.111,142429.055,155762.333,137862.611,162682.999,126645.667,726.907,Day
2023-10-01 10:45:00,146432.315,33.515,0.775,12747.231,1917436.607,136989.779,130552.167,72220.731,134548.651,162346.723,160154.696,150611.18,133317.055,140186.278,153241.056,135737.222,163411.999,128066.001,716.256,Day
2023-10-01 11:00:00,144222.788,34.589,0.872,12745.439,1895789.296,134726.0,128840.001,71001.943,133398.364,160169.555,157239.585,149516.794,131625.833,137529.389,151973.221,133547.277,162867.833,128934.499,703.561,Day
2023-10-01 11:15:00,141257.759,35.205,0.765,12752.755,1865887.804,131824.111,126529.279,69399.99,132036.78,157351.222,153767.453,147851.391,129465.666,134316.056,150207.833,130724.057,160981.445,129781.001,689.453,Day
2023-10-01 11:30:00,138138.819,34.199,1.476,12739.96,1833016.019,128733.444,124023.555,67777.827,130983.839,153520.223,149778.777,145914.838,126797.278,131036.279,148071.167,127642.223,159486.611,129953.499,672.224,Day
2023-10-01 11:45:00,135491.158,31.894,1.989,12732.988,1809588.977,126686.89,122217.777,66549.42,130814.336,151173.223,146189.33,144371.185,125120.166,127917.611,146842.999,125366.668,158190.5,130921.499,657.964,Day
2023-10-01 12:00:00,132630.111,31.933,2.396,12745.349,1785287.936,124198.777,120094.445,65357.714,131017.873,148290.222,142322.011,142897.245,122985.779,124985.278,146668.279,122989.61,157365.056,131385.889,645.588,Day
2023-10-01 12:15:00,130199.432,30.808,2.314,12745.915,1768426.915,122429.501,118866.112,64387.998,131396.283,146455.223,138447.286,141976.279,121944.499,122905.943,145921.612,121805.333,156205.389,132916.945,635.657,Day
2023-10-01 12:30:00,127226.315,33.277,1.911,12682.521,1738956.218,119907.556,116675.888,63211.689,130980.112,143595.555,133532.511,140022.177,119658.444,120097.945,145183.723,119550.667,153071.166,133169.111,626.349,Day
2023-10-01 12:45:00,125299.549,33.235,1.944,12688.115,1725774.339,118918.389,115895.945,62685.719,131931.413,142045.0,129766.035,139418.749,118777.221,118323.278,145035.999,118427.833,151787.333,134471.555,621.778,Day
2023-10-01 13:00:00,123784.807,33.671,1.551,12674.531,1718540.419,118453.612,115454.167,62432.645,133072.453,141068.443,126283.507,139167.889,118180.667,117264.334,145104.166,118051.111,151042.166,135867.889,620.351,Day
2023-10-01 13:15:00,123745.147,33.415,1.997,12691.113,1725356.77,119217.111,116152.944,62985.664,135591.043,141153.723,123674.809,140126.666,118916.889,117488.111,144649.499,118779.501,151761.835,137760.944,625.417,Day
