Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Voltage,Meter Power,"SunGrow SG2500HV Inverter - 05, Total AC Power","SunGrow SG2500HV Inverter - 06, Total AC Power","SunGrow SG2500HV Inverter - 07, Total AC Power","SunGrow SG2500HV Inverter - 08, Total AC Power",Day/Night
2023-10-01 00:00:00,0.0,36.58886,2.262263,20.37728,-36.87757,0.0,0.0,0.0,0.0,Night
2023-10-01 00:15:00,0.0,36.81552,2.498227,20.38721,-36.45687,0.0,0.0,0.0,0.0,Night
2023-10-01 00:30:00,0.0,37.2707,2.357717,20.38885,-36.99928,0.0,0.0,0.0,0.0,Night
2023-10-01 00:45:00,0.0,37.48455,2.28647,20.38278,-37.24537,0.0,0.0,0.0,0.0,Night
2023-10-01 01:00:00,0.0,37.66633,2.489365,20.38654,-37.31955,0.0,0.0,0.0,0.0,Night
2023-10-01 01:15:00,0.0,37.78134,2.435966,20.37693,-37.32275,0.0,0.0,0.0,0.0,Night
2023-10-01 01:30:00,0.03494293,37.57419,2.367018,20.38615,-37.2225,0.0,0.0,0.0,0.0,Night
2023-10-01 01:45:00,0.3935764,36.65145,2.769664,20.38467,-37.99053,0.0,0.0,0.0,0.0,Night
2023-10-01 02:00:00,0.2535572,36.05016,3.064549,20.3862,-37.59777,0.0,0.0,0.0,0.0,Night
2023-10-01 02:15:00,0.0816346,35.85455,4.133268,20.37742,-37.68209,0.0,0.0,0.0,0.0,Night
2023-10-01 02:30:00,0.0,36.2416,2.506764,20.38114,-37.8556,0.0,0.0,0.0,0.0,Night
2023-10-01 02:45:00,0.03195795,36.13479,3.21939,20.37589,-38.59822,0.0,0.0,0.0,0.0,Night
2023-10-01 03:00:00,0.02793993,35.65551,3.168111,20.38104,-38.66798,0.0,0.0,0.0,0.0,Night
2023-10-01 03:15:00,0.0,35.25314,3.19787,20.3797,-38.68782,0.0,0.0,0.0,0.0,Night
2023-10-01 03:30:00,0.06112935,34.79206,3.378372,20.37297,-38.62691,0.0,0.0,0.0,0.0,Night
2023-10-01 03:45:00,0.0,34.68201,2.308184,20.37853,-38.72965,0.0,0.0,0.0,0.0,Night
2023-10-01 04:00:00,0.0,35.21613,2.209127,20.37578,-38.44515,0.0,0.0,0.0,0.0,Night
2023-10-01 04:15:00,0.0,36.39035,2.721906,20.37942,-37.96019,0.0,0.0,0.0,0.0,Night
2023-10-01 04:30:00,0.03349848,36.71542,2.221335,20.38722,-37.22985,0.0,0.0,0.0,0.0,Night
2023-10-01 04:45:00,0.3031738,35.72429,2.660031,20.39283,-35.86678,0.0,0.0,0.0,0.0,Night
2023-10-01 05:00:00,0.0869402,35.21043,2.458516,20.40631,-37.5402,0.0,0.0,0.0,0.0,Night
2023-10-01 05:15:00,0.0,35.44659,2.225589,20.38684,-40.37595,0.0,0.0,0.0,0.0,Night
2023-10-01 05:30:00,0.0,36.38675,3.553455,20.38275,-40.31579,0.0,0.0,0.0,0.0,Night
2023-10-01 05:45:00,0.0,36.82661,4.141276,20.37624,-39.62485,0.0,0.0,0.0,0.0,Night
