Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Voltage,Meter Power,"TMEIC 2.7MW Inverter 1.1.1, Active Power P","TMEIC 2.7MW Inverter 1.2.1, Active Power P","TMEIC 2.7MW Inverter 1.3.1, Active Power P","TMEIC 2.7MW Inverter 1.4.1, Active Power P",Inverter_5,Day/Night
2023-10-01 00:00:00,0.0,5.229945,1.0,0.007380494,-14.89028,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 00:15:00,0.0,5.043405,0.0,0.007381112,-14.87277,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 00:30:00,0.0,4.95054,1.0,0.007386622,-14.92017,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 00:45:00,0.0,4.799645,1.0,0.007390403,-14.94753,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:00:00,0.0,4.721215,2.0,0.007392345,-14.96319,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:15:00,0.0,4.63537,2.0,0.007398089,-14.99793,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:30:00,0.0,4.77482,2.0,0.007395488,-14.97985,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:45:00,0.0,4.635895,2.0,0.007398633,-14.98768,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:00:00,0.0,4.586465,2.0,0.0074028,-15.00748,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:15:00,0.0,4.45033,1.0,0.007401556,-15.01142,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:30:00,0.0,4.32658,1.0,0.007400758,-15.01097,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:45:00,0.0,4.24618,1.0,0.007400737,-14.99933,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 03:00:00,0.0,4.08342,0.0,0.007409413,-15.05073,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 03:15:00,0.0,4.03669,1.0,0.007406366,-15.05491,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 03:30:00,0.0,4.01517,1.0,0.007408402,-15.05293,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 03:45:00,0.0,3.949205,1.0,0.0074073,-15.06667,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 04:00:00,0.0,3.833275,0.0,0.007403422,-15.03924,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 04:15:00,0.0,3.75815,0.0,0.007396702,-14.99852,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 04:30:00,0.0,3.697365,0.0,0.00738846,-14.93579,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 04:45:00,0.0,3.78989,0.0,0.007383986,-14.92271,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 05:00:00,0.0,3.77589,0.0,0.007368441,-14.84921,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 05:15:00,0.0,3.5684,0.0,0.007362383,-14.83823,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 05:30:00,0.0,3.81652,1.0,0.007356081,-14.79915,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 05:45:00,0.0,4.549115,1.0,0.007357443,-14.82048,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 06:00:00,0.0,5.064855,2.0,0.007394285,-15.00687,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 06:15:00,0.0,5.311975,2.0,0.007387932,-14.96907,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 06:30:00,0.0,5.876355,1.0,0.007390993,-14.97307,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 06:45:00,0.0007288873,6.242855,1.0,0.007410737,-12.61188,0.0,1.0,0.0,0.0,0.0,Night
2023-10-01 07:00:00,5.955163,6.6371,2.0,0.007404951,56.9985,15.0,13.0,12.0,14.0,13.0,Day
