Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Voltage,Meter Power,"NC1 - Owen Solar - Eaton Inverter #01 - Measured AC Power, avg, (kW)","NC1 - Owen Solar - Eaton Inverter #02 - Measured AC Power, avg, (kW)","NC1 - Owen Solar - Eaton Inverter #03 - Measured AC Power, avg, (kW)",Day/Night
2023-10-01 00:00:00,-2.667,17.1,0.0,7443.333,-10.027,0.0,0.0,0.0,Night
2023-10-01 00:15:00,-4.0,16.733,0.0,7456.667,-10.05,0.0,0.0,0.0,Night
2023-10-01 00:30:00,-3.0,16.667,0.0,7466.667,-10.093,0.0,0.0,0.0,Night
2023-10-01 00:45:00,-3.0,15.867,0.0,7476.667,-10.13,0.0,0.0,0.0,Night
2023-10-01 01:00:00,-3.0,15.4,0.0,7483.333,-10.157,0.0,0.0,0.0,Night
2023-10-01 01:15:00,-3.0,15.7,0.0,7490.0,-10.2,0.0,0.0,0.0,Night
2023-10-01 01:30:00,-0.667,15.933,0.0,7500.0,-10.22,0.0,0.0,0.0,Night
2023-10-01 01:45:00,0.0,16.667,0.0,7500.0,-10.23,0.0,0.0,0.0,Night
2023-10-01 02:00:00,0.0,17.5,0.0,7470.0,-10.123,0.0,0.0,0.0,Night
2023-10-01 02:15:00,0.0,16.967,0.0,7490.0,-10.187,0.0,0.0,0.0,Night
2023-10-01 02:30:00,0.0,17.433,0.0,7493.333,-10.217,0.0,0.0,0.0,Night
2023-10-01 02:45:00,0.0,18.433,0.0,7500.0,-10.217,0.0,0.0,0.0,Night
2023-10-01 03:00:00,-0.333,18.7,0.0,7500.0,-10.21,0.0,0.0,0.0,Night
2023-10-01 03:15:00,-0.667,18.633,0.0,7500.0,-10.217,0.0,0.0,0.0,Night
2023-10-01 03:30:00,-1.0,19.067,0.0,7503.333,-10.24,0.0,0.0,0.0,Night
2023-10-01 03:45:00,-0.667,18.2,0.0,7510.0,-10.227,0.0,0.0,0.0,Night
2023-10-01 04:00:00,-1.0,17.767,0.0,7510.0,-10.24,0.0,0.0,0.0,Night
2023-10-01 04:15:00,-1.0,18.533,0.0,7510.0,-10.253,0.0,0.0,0.0,Night
2023-10-01 04:30:00,-1.0,18.167,0.0,7463.333,-10.203,0.0,0.0,0.0,Night
2023-10-01 04:45:00,-1.0,18.333,0.0,7466.667,-10.203,0.0,0.0,0.0,Night
2023-10-01 05:00:00,-1.0,18.5,0.0,7463.333,-10.187,0.0,0.0,0.0,Night
2023-10-01 05:15:00,-1.0,18.667,0.0,7463.333,-10.207,0.0,0.0,0.0,Night
