Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Voltage,Meter Power,"SunGrow SG2500HV Inverter - 05, Total AC Power","SunGrow SG2500HV Inverter - 06, Total AC Power","SunGrow SG2500HV Inverter - 07, Total AC Power","SunGrow SG2500HV Inverter - 08, Total AC Power",Day/Night
2023-10-01 00:00:00,0.2732274,41.68426,1.594463,20.36438,-54.40337,0.0,0.0,0.0,0.0,Night
2023-10-01 00:15:00,0.02784218,41.04173,1.173627,20.37022,-54.74359,0.0,0.0,0.0,0.0,Night
2023-10-01 00:30:00,0.0,41.69281,1.064326,20.374,-55.026,0.0,0.0,0.0,0.0,Night
2023-10-01 00:45:00,0.03566682,41.09584,0.9446749,20.37136,-54.96772,0.0,0.0,0.0,0.0,Night
2023-10-01 01:00:00,0.2205267,39.88206,1.505492,20.3793,-54.9464,0.0,0.0,0.0,0.0,Night
2023-10-01 01:15:00,0.08069764,40.24031,1.448598,20.37264,-54.887,0.0,0.0,0.0,0.0,Night
2023-10-01 01:30:00,2.232808e-05,40.69553,1.311021,20.37491,-55.07825,0.0,0.0,0.0,0.0,Night
2023-10-01 01:45:00,0.0626492,40.55125,1.315457,20.37694,-55.29417,0.0,0.0,0.0,0.0,Night
2023-10-01 02:00:00,0.01333333,40.97252,1.033434,20.38015,-55.25254,0.0,0.0,0.0,0.0,Night
2023-10-01 02:15:00,0.02820847,41.07974,1.340028,20.37308,-55.21749,0.0,0.0,0.0,0.0,Night
2023-10-01 02:30:00,0.0,40.93481,1.043579,20.37954,-55.42509,0.0,0.0,0.0,0.0,Night
2023-10-01 02:45:00,0.0,40.60287,1.217766,20.38903,-55.68357,0.0,0.0,0.0,0.0,Night
2023-10-01 03:00:00,0.02569055,40.53949,2.163785,20.38674,-56.58342,0.0,0.0,0.0,0.0,Night
2023-10-01 03:15:00,0.0,40.95176,2.046036,20.39434,-57.50951,0.0,0.0,0.0,0.0,Night
2023-10-01 03:30:00,0.0,41.23737,1.869068,20.38938,-57.61085,0.0,0.0,0.0,0.0,Night
2023-10-01 03:45:00,0.0,41.52106,2.443411,20.39136,-58.01183,0.0,0.0,0.0,0.0,Night
2023-10-01 04:00:00,0.002069355,41.82922,3.876219,20.38872,-58.11142,0.0,0.0,0.0,0.0,Night
2023-10-01 04:15:00,0.002069355,42.21274,3.524523,20.37288,-58.00217,0.0,0.0,0.0,0.0,Night
2023-10-01 04:30:00,0.0,42.49543,4.400921,20.36927,-57.84231,0.0,0.0,0.0,0.0,Night
2023-10-01 04:45:00,0.0,42.87074,3.006074,20.34928,-57.58168,0.0,0.0,0.0,0.0,Night
2023-10-01 05:00:00,0.0,42.97998,3.15876,20.40061,-60.8095,0.0,0.0,0.0,0.0,Night
2023-10-01 05:15:00,0.0,43.09129,2.961805,20.40826,-61.77175,0.0,0.0,0.0,0.0,Night
2023-10-01 05:30:00,0.0001090555,43.4197,3.717067,20.40211,-61.86786,0.0,0.0,0.0,0.0,Night
2023-10-01 05:45:00,0.0,43.60657,3.666404,20.41062,-61.31321,0.0,0.0,0.0,0.0,Night
2023-10-01 06:00:00,0.0,43.59906,2.624448,20.40789,-60.77933,0.0,0.0,0.0,0.0,Night
2023-10-01 06:15:00,0.05583333,43.41321,3.116229,20.41323,-59.12291,0.0,0.0,0.0,0.0,Night
2023-10-01 06:30:00,1.553921,43.4497,3.8111,20.42127,-39.77639,0.2686667,0.3266667,0.1625833,0.0,Day
2023-10-01 06:45:00,8.582582,43.66192,3.773911,20.42518,59.04842,16.47842,16.92008,17.20025,17.63708,Day
2023-10-01 07:00:00,24.1269,43.63158,3.485799,20.42735,263.2235,67.33308,65.71108,71.50467,71.34175,Day
2023-10-01 07:15:00,32.03638,43.80518,5.263557,20.4285,355.8037,91.25433,87.24125,95.32242,94.74667,Day
2023-10-01 07:30:00,27.33069,44.17855,5.624549,20.43297,288.3045,74.43092,75.77075,77.33742,74.98917,Day
2023-10-01 07:45:00,23.90599,44.64044,4.773475,20.40182,259.8728,65.87725,67.5105,69.164,68.62009,Day
2023-10-01 08:00:00,44.35386,45.12455,4.260723,20.37055,562.361,140.3158,141.4972,150.9959,148.6647,Day
2023-10-01 08:15:00,80.1338,44.48935,3.863985,20.36823,1211.393,300.6278,295.8979,303.6879,311.8858,Day
2023-10-01 08:30:00,89.99671,44.93716,4.124957,20.36081,1303.431,323.8708,321.3702,333.1193,335.153,Day
2023-10-01 08:45:00,88.44627,46.61409,4.500388,20.33371,1199.822,289.2986,344.9256,298.1087,289.542,Day
2023-10-01 09:00:00,107.5127,47.1895,4.334939,20.36769,1558.256,373.4135,444.5772,392.4616,384.9045,Day
2023-10-01 09:15:00,135.4725,47.91506,4.379435,20.38253,1936.649,460.1892,526.5346,467.9228,483.445,Day
2023-10-01 09:30:00,210.0082,48.82318,3.831929,20.37998,3180.351,738.8335,846.053,735.1912,760.0093,Day
2023-10-01 09:45:00,278.3341,49.79836,3.897891,20.37455,3541.532,1018.752,874.8177,994.1171,914.9873,Day
2023-10-01 10:00:00,292.5599,50.35408,4.023155,20.3727,4225.191,1108.238,1012.073,1103.046,1099.819,Day
2023-10-01 10:15:00,512.8424,51.53254,4.200542,20.33816,6799.885,1725.047,1490.129,1719.57,1812.401,Day
2023-10-01 10:30:00,368.4265,52.92384,3.587956,20.35123,5076.117,1267.546,1164.06,1284.566,1338.271,Day
2023-10-01 10:45:00,515.9242,53.72049,3.045914,20.32994,6917.706,1662.688,1573.317,1818.673,1855.396,Day
2023-10-01 11:00:00,710.2419,55.11735,4.18266,20.31906,8401.623,2064.323,2204.101,2277.647,2196.887,Day
2023-10-01 11:15:00,525.3749,56.8471,4.351214,20.31493,6900.098,1789.112,1564.847,1588.232,1861.096,Day
2023-10-01 11:30:00,767.8137,57.56776,2.942126,20.31936,8213.46,2144.059,1859.691,2160.928,2320.034,Day
2023-10-01 11:45:00,757.7737,59.14257,3.124035,20.30127,8984.781,2359.869,2361.711,2299.562,2414.489,Day
2023-10-01 12:00:00,470.4424,60.11802,2.203362,20.3168,7248.251,1657.769,1559.9,1959.463,1982.707,Day
2023-10-01 12:15:00,371.1667,59.99765,2.479309,20.34168,4676.236,1141.011,1182.943,1264.654,1189.591,Day
