Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Voltage,Meter Power,"Solectria 750kW Inverter - 1, AC Power output","Solectria 750kW Inverter - 2, AC Power output","Solectria 750kW Inverter - 3, AC Power output","Solectria 750kW Inverter - 4, AC Power output",Day/Night
2023-10-01 00:00:00,0.0,61.20411,0,20024.33,-9.471666,0.0,0.0,0.0,0.0,Night
2023-10-01 00:15:00,0.0,61.3664,0,19955.67,-9.396,0.0,0.0,0.0,0.0,Night
2023-10-01 00:30:00,0.0,60.9484,0,19981.0,-9.423,0.0,0.0,0.0,0.0,Night
2023-10-01 00:45:00,0.0,61.28481,0,19967.0,-9.404667,0.0,0.0,0.0,0.0,Night
2023-10-01 01:00:00,0.0,61.26358,0,19983.0,-9.428,0.0,0.0,0.0,0.0,Night
2023-10-01 01:15:00,0.0,61.18158,0,19978.0,-9.424666,0.0,0.0,0.0,0.0,Night
2023-10-01 01:30:00,0.0,60.85897,0,19951.0,-9.387,0.0,0.0,0.0,0.0,Night
2023-10-01 01:45:00,0.0,60.63976,0,19955.67,-9.397333,0.0,0.0,0.0,0.0,Night
2023-10-01 02:00:00,0.0,61.58554,0,19998.0,-9.440333,0.0,0.0,0.0,0.0,Night
2023-10-01 02:15:00,0.0,62.20629,0,20024.67,-9.475667,0.0,0.0,0.0,0.0,Night
2023-10-01 02:30:00,0.0,61.92627,0,19998.67,-9.443334,0.0,0.0,0.0,0.0,Night
2023-10-01 02:45:00,0.0,61.19697,0,20038.67,-9.493333,0.0,0.0,0.0,0.0,Night
2023-10-01 03:00:00,0.0,60.65213,0,20014.0,-9.465,0.0,0.0,0.0,0.0,Night
2023-10-01 03:15:00,0.0,60.30441,0,19956.0,-9.394333,0.0,0.0,0.0,0.0,Night
2023-10-01 03:30:00,0.0,59.82044,0,19928.67,-9.361667,0.0,0.0,0.0,0.0,Night
2023-10-01 03:45:00,0.0,59.64822,0,19946.33,-9.39,0.0,0.0,0.0,0.0,Night
2023-10-01 04:00:00,0.0,59.74976,0,19973.67,-9.423,0.0,0.0,0.0,0.0,Night
2023-10-01 04:15:00,0.0,59.26939,0,20001.0,-9.446667,0.0,0.0,0.0,0.0,Night
2023-10-01 04:30:00,0.0,59.23548,0,19979.67,-9.421333,0.0,0.0,0.0,0.0,Night
2023-10-01 04:45:00,0.0,59.28125,0,19991.67,-9.439,0.0,0.0,0.0,0.0,Night
2023-10-01 05:00:00,0.0,60.0321,0,19997.67,-9.441,0.0,0.0,0.0,0.0,Night
2023-10-01 05:15:00,0.0,59.76331,0,20052.33,-9.506667,0.0,0.0,0.0,0.0,Night
2023-10-01 05:30:00,0.0,59.06682,0,20034.0,-9.488667,0.0,0.0,0.0,0.0,Night
2023-10-01 05:45:00,0.0,58.62711,0,20024.0,-9.469666,0.0,0.0,0.0,0.0,Night
2023-10-01 06:00:00,0.0,58.42832,0,19985.0,-9.425333,0.0,0.0,0.0,0.0,Night
2023-10-01 06:15:00,0.0,57.90068,0,19990.0,-9.431,0.0,0.0,0.0,0.0,Night
2023-10-01 06:30:00,0.0,57.8986,0,19918.33,-9.352333,0.0,0.0,0.0,0.0,Night
2023-10-01 06:45:00,1.063083,57.91717,0,19961.33,-9.418333,0.0,0.0,0.0,0.0,Day
2023-10-01 07:00:00,15.96807,57.28236,0,19979.33,-9.448667,0.0,0.0,0.0,0.0,Day
2023-10-01 07:15:00,160.6964,57.242,0,19895.33,9.107333,0.0,5.983073,5.235026,6.116537,Day
2023-10-01 07:30:00,303.2293,58.28682,0,19831.67,35.84867,0.0,13.528,15.88672,13.43685,Day
2023-10-01 07:45:00,407.3632,60.10982,1,19896.0,67.09167,0.0,25.63672,23.2819,24.62174,Day
2023-10-01 08:00:00,488.3405,61.34644,0,19912.0,98.46733,0.0,38.31055,29.93164,36.45182,Day
2023-10-01 08:15:00,557.4609,62.55158,0,19910.33,161.9237,0.0,64.73177,46.22396,57.96875,Day
2023-10-01 08:30:00,615.9153,63.98198,0,19955.67,265.5957,0.0,107.8672,64.57552,101.2279,Day
2023-10-01 08:45:00,658.7276,65.54073,0,19971.67,428.7767,0.0,153.6712,146.4857,135.5078,Day
2023-10-01 09:00:00,696.3905,67.47779,0,19978.33,1332.738,226.155,376.3099,375.6875,361.2832,Day
2023-10-01 09:15:00,725.0418,70.40839,2,19978.0,2112.229,494.7031,561.7181,509.4056,560.1472,Day
2023-10-01 09:30:00,745.5925,73.0564,2,19979.0,2221.643,509.2982,591.3301,548.4401,588.5143,Day
2023-10-01 09:45:00,762.806,75.19756,2,20008.33,2272.471,521.6523,602.4603,566.8217,598.0677,Day
2023-10-01 10:00:00,771.563,76.90382,3,20106.33,2300.421,531.3444,607.8821,574.4108,604.0117,Day
2023-10-01 10:15:00,777.7819,81.48488,3,20082.33,2317.6,536.5554,612.834,577.4974,608.3926,Day
2023-10-01 10:30:00,776.7924,85.00397,3,20086.0,2315.55,537.3724,611.2031,576.7415,607.9694,Day
2023-10-01 10:45:00,776.3091,86.87937,4,20104.0,2276.961,518.235,599.4772,569.6771,608.196,Day
2023-10-01 11:00:00,773.8453,84.91433,5,20039.0,2286.618,526.377,601.5462,567.5573,608.4421,Day
2023-10-01 11:15:00,753.2217,85.36694,4,20005.33,2258.91,524.9597,589.2429,562.6113,599.3366,Day
2023-10-01 11:30:00,739.5837,85.90877,5,20030.33,2146.618,507.2494,554.5436,535.1152,565.2982,Day
