Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Voltage,Meter Power,"SMA Inverter - A.1, Pac","SMA Inverter - A.2, Pac","SMA Inverter - B.1, Pac","SMA Inverter - B.2, Pac","SMA Inverter - C.1, Pac","SMA Inverter - C.2, Pac","SMA Inverter - D.1, Pac","SMA Inverter - D.2, Pac","SMA Inverter - E.1, Pac","SMA Inverter - E.2, Pac",Day/Night
2023-10-01 07:45:00,-999.0,-999.0,-999.0,13.61603,231.4085,40.1508,36.1991,17.27752,25.94188,1.0,,28.79309,18.05016,,30.45561,Day
2023-10-01 08:00:00,-999.0,-999.0,-999.0,13.60585,465.6069,72.30578,63.47261,46.23542,62.97479,1.0,,63.44132,42.04752,,51.68427,Day
2023-10-01 08:15:00,-999.0,-999.0,-999.0,13.59593,711.0523,102.9075,89.89251,84.11101,105.9095,1.0,,93.7756,72.15033,,72.6422,Day
2023-10-01 08:30:00,-999.0,-999.0,-999.0,13.59243,947.2191,133.1276,116.2158,123.2122,141.4372,1.0,,121.3602,100.7898,,94.22871,Day
2023-10-01 08:45:00,-999.0,-999.0,-999.0,13.58254,1199.133,167.2505,147.3166,163.5254,176.6502,1.0,,151.3572,127.6197,,117.9198,Day
2023-10-01 09:00:00,-999.0,-999.0,-999.0,13.58664,1436.262,199.9566,177.348,202.1286,210.4462,1.0,,180.9993,152.1531,,140.6119,Day
2023-10-01 09:15:00,-999.0,-999.0,-999.0,13.58532,1649.716,239.4895,206.7311,230.6303,246.2684,1.0,,214.6306,180.3427,,156.9208,Day
2023-10-01 09:30:00,-999.0,-999.0,-999.0,13.58583,1939.466,274.1064,242.7771,275.9626,283.1118,1.0,,246.4745,205.8792,,193.6378,Day
2023-10-01 09:45:00,-999.0,-999.0,-999.0,13.5921,2120.131,301.8436,268.6612,303.3019,293.7117,1.0,,266.9475,199.3049,,210.9616,Day
2023-10-01 10:00:00,-999.0,-999.0,-999.0,13.62652,2081.461,228.7646,228.6209,224.5813,247.6096,1.0,1.0,202.4827,218.9549,,226.0477,Day
2023-10-01 10:15:00,-999.0,-999.0,-999.0,13.63028,2508.474,290.6516,259.2358,350.1624,313.1951,1.0,1.0,290.9487,245.374,,250.4587,Day
2023-10-01 10:30:00,-999.0,-999.0,-999.0,13.65467,2545.923,375.1469,336.1776,380.8225,331.8336,1.0,,285.8878,205.0321,,266.7316,Day
2023-10-01 10:45:00,-999.0,-999.0,-999.0,13.64633,2718.548,355.3669,340.6444,396.2075,392.3757,1.0,,348.4017,294.3294,,256.7973,Day
2023-10-01 11:00:00,-999.0,-999.0,-999.0,13.63893,2808.507,343.0217,339.6148,338.9842,360.7054,1.0,1.0,282.0683,238.226,,213.5469,Day
2023-10-01 11:15:00,-999.0,-999.0,-999.0,13.64732,2816.755,392.1581,343.2782,420.9191,443.5271,1.0,,362.4628,295.3333,,286.2498,Day
2023-10-01 11:30:00,-999.0,-999.0,-999.0,13.63359,2994.508,406.2119,386.868,461.8687,460.0914,1.0,,388.8564,312.8674,,301.6659,Day
2023-10-01 11:45:00,-999.0,-999.0,-999.0,13.65958,2472.656,323.9246,324.6577,406.8383,388.4058,,,408.4547,310.0392,,302.7455,Day
2023-10-01 12:00:00,-999.0,-999.0,-999.0,13.6293,2852.914,408.522,367.1192,437.8043,435.7368,1.0,,419.443,330.61,,309.4046,Day
2023-10-01 12:15:00,-999.0,-999.0,-999.0,13.64684,2482.012,351.6116,317.6326,358.0673,363.4068,1.0,,315.6566,266.3745,,248.1873,Day
2023-10-01 12:30:00,-999.0,-999.0,-999.0,13.65538,2831.162,432.444,348.8032,364.8369,409.2368,1.0,,432.7133,371.963,,281.4617,Day
2023-10-01 12:45:00,-999.0,-999.0,-999.0,13.66125,2817.578,346.3836,360.1029,460.6277,440.0404,1.0,,407.972,272.2149,,204.0685,Day
2023-10-01 13:00:00,-999.0,-999.0,-999.0,13.65004,1608.845,221.4643,205.9841,266.3394,216.1771,,,259.8098,175.9566,,204.2699,Day
2023-10-01 13:15:00,-999.0,-999.0,-999.0,13.63973,2845.411,395.4086,359.7899,395.7033,404.7133,1.0,,382.8375,299.7806,,275.5636,Day
2023-10-01 13:30:00,-999.0,-999.0,-999.0,13.63604,1867.455,264.9845,243.6954,254.2629,257.9634,1.0,,229.4096,196.8514,,259.3339,Day
2023-10-01 13:45:00,-999.0,-999.0,-999.0,13.61486,1641.616,283.4132,188.2977,228.4391,213.3911,1.0,,270.6423,201.4922,,157.9145,Day
2023-10-01 14:00:00,-999.0,-999.0,-999.0,13.62308,2585.784,396.8651,354.422,383.3831,365.5104,1.0,,324.4185,283.3468,,309.0962,Day
2023-10-01 14:15:00,-999.0,-999.0,-999.0,13.70038,2583.292,342.959,313.914,404.1526,403.6185,1.0,,354.1219,317.7482,,266.5583,Day
2023-10-01 14:30:00,-999.0,-999.0,-999.0,13.70078,2330.58,329.155,277.8274,420.5295,328.7276,1.0,,307.2612,248.726,,302.6471,Day
2023-10-01 14:45:00,-999.0,-999.0,-999.0,13.67194,2481.127,386.3714,338.3852,403.2464,366.7708,1.0,,306.994,241.5264,,287.9362,Day
2023-10-01 15:00:00,-999.0,-999.0,-999.0,13.68397,2397.033,380.4618,304.8304,349.7524,347.0555,1.0,,308.4157,256.261,,271.7753,Day
2023-10-01 15:15:00,-999.0,-999.0,-999.0,13.70646,2347.992,363.3395,305.9676,338.0932,338.3524,1.0,,287.0066,237.8945,,232.6376,Day
2023-10-01 15:30:00,-999.0,-999.0,-999.0,13.7039,2550.234,366.2295,341.4271,385.8185,396.5757,1.0,,344.0664,283.7036,,265.0133,Day
2023-10-01 15:45:00,-999.0,-999.0,-999.0,13.68992,2482.385,359.3306,322.8053,361.9033,368.1786,1.0,,317.1776,263.6684,,252.6868,Day
2023-10-01 16:00:00,-999.0,-999.0,-999.0,13.66281,1993.036,277.088,266.971,271.0983,281.1185,1.0,,260.1359,219.0594,,185.4171,Day
2023-10-01 16:15:00,-999.0,-999.0,-999.0,13.66251,1202.904,181.3188,146.7459,154.3427,196.6616,1.0,,164.3639,144.1485,,120.0019,Day
2023-10-01 16:30:00,-999.0,-999.0,-999.0,13.67987,1509.286,204.9509,180.4425,257.004,231.6392,1.0,,193.7064,151.0592,,142.6273,Day
2023-10-01 16:45:00,-999.0,-999.0,-999.0,13.66805,1499.451,219.1036,187.619,196.5211,209.7464,1.0,,178.7893,145.3024,,162.0823,Day
2023-10-01 17:00:00,-999.0,-999.0,-999.0,13.67462,1422.562,203.5418,178.6051,201.1023,207.4711,1.0,,178.3579,148.8869,,141.0448,Day
2023-10-01 17:15:00,-999.0,-999.0,-999.0,13.66479,703.6705,98.72812,84.66666,101.2139,105.6804,1.0,,90.75294,76.65163,,48.94184,Day
2023-10-01 17:30:00,-999.0,-999.0,-999.0,13.65784,665.2939,96.32961,83.074,92.57877,96.62919,1.0,,81.979,67.82998,,61.3785,Day
2023-10-01 17:45:00,-999.0,-999.0,-999.0,13.65929,630.7885,91.45623,79.05132,88.06113,92.13752,1.0,,80.24556,66.18404,,63.69015,Day
2023-10-01 18:00:00,-999.0,-999.0,-999.0,13.65121,373.5502,54.73627,48.2983,50.87502,54.97717,1.0,,48.3147,40.07229,,37.99515,Day
2023-10-01 18:15:00,-999.0,-999.0,-999.0,13.63337,160.8029,29.44461,25.7255,26.83076,29.27092,0.0,0.0,24.2368,20.17752,0.0,13.01395,Day
2023-10-01 18:30:00,-999.0,-999.0,-999.0,13.6284,71.74233,13.2871,11.36861,14.19526,14.46315,,,9.015291,8.600704,,0.02367077,Day
2023-10-01 18:45:00,-999.0,-999.0,-999.0,13.65255,-1.866647,2.00643,0.1643294,3.394088,3.183313,0.0,0.0,1.519165,0.2201036,0.0,0.0,Day
2023-10-01 19:00:00,-999.0,-999.0,-999.0,13.65692,-8.77622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day
2023-10-01 19:15:00,-999.0,-999.0,-999.0,13.64153,-9.198313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 19:30:00,-999.0,-999.0,-999.0,13.63913,-8.888648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 19:45:00,-999.0,-999.0,-999.0,13.65756,-8.774099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 20:00:00,-999.0,-999.0,-999.0,13.67281,-8.643656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 20:15:00,-999.0,-999.0,-999.0,13.67576,-8.227672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 20:30:00,-999.0,-999.0,-999.0,13.67889,-7.943098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 20:45:00,-999.0,-999.0,-999.0,13.67147,-7.86283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 21:00:00,-999.0,-999.0,-999.0,13.68169,-7.86236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 21:15:00,-999.0,-999.0,-999.0,13.69052,-7.861633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 21:30:00,-999.0,-999.0,-999.0,13.69006,-7.863151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 21:45:00,-999.0,-999.0,-999.0,13.70481,-7.910622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 22:00:00,-999.0,-999.0,-999.0,13.69734,-7.88554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 22:15:00,-999.0,-999.0,-999.0,13.67142,-7.809437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 22:30:00,-999.0,-999.0,-999.0,13.63806,-7.745302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 22:45:00,-999.0,-999.0,-999.0,13.62818,-7.726208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 23:00:00,-999.0,-999.0,-999.0,13.63609,-7.753834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 23:15:00,-999.0,-999.0,-999.0,13.64472,-7.783736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 23:30:00,-999.0,-999.0,-999.0,13.65251,-7.804852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 23:45:00,-999.0,-999.0,-999.0,13.64879,-7.799319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 00:00:00,-999.0,-999.0,-999.0,13.64906,-7.79671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 00:15:00,-999.0,-999.0,-999.0,13.66177,-7.8345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 00:30:00,-999.0,-999.0,-999.0,13.66486,-7.842733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 00:45:00,-999.0,-999.0,-999.0,13.66583,-7.853003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 01:00:00,-999.0,-999.0,-999.0,13.67178,-7.869496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 01:15:00,-999.0,-999.0,-999.0,13.68347,-7.892519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 01:30:00,-999.0,-999.0,-999.0,13.69626,-7.932968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 01:45:00,-999.0,-999.0,-999.0,13.66449,-7.850719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 02:00:00,-999.0,-999.0,-999.0,13.64724,-7.80771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 02:15:00,-999.0,-999.0,-999.0,13.6603,-7.837502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 02:30:00,-999.0,-999.0,-999.0,13.67078,-7.858843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 02:45:00,-999.0,-999.0,-999.0,13.6692,-7.850888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 03:00:00,-999.0,-999.0,-999.0,13.66344,-7.841986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 03:15:00,-999.0,-999.0,-999.0,13.64904,-7.81249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 03:30:00,-999.0,-999.0,-999.0,13.65708,-7.829066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 03:45:00,-999.0,-999.0,-999.0,13.65891,-7.838516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
