Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Voltage,Meter Power,"NC1 - Minnie Solar - Eaton Inverter #01 - Measured AC Power, avg, (kW)","NC1 - Minnie Solar - Eaton Inverter #02 - Measured AC Power, avg, (kW)",Day/Night
2023-10-01 00:00:00,-3.0,12.433,0.0,7436.667,-8.017,0.0,0.0,Night
2023-10-01 00:15:00,-3.0,12.267,0.0,7456.667,-8.063,0.0,0.0,Night
2023-10-01 00:30:00,-3.0,12.133,0.0,7463.333,-8.093,0.0,0.0,Night
2023-10-01 00:45:00,-2.667,12.1,0.0,7483.333,-8.097,0.0,0.0,Night
2023-10-01 01:00:00,-2.667,11.9,0.0,7496.667,-8.1,0.0,0.0,Night
2023-10-01 01:15:00,-2.667,11.967,0.0,7463.333,-8.07,0.0,0.0,Night
2023-10-01 01:30:00,-3.0,11.833,0.0,7480.0,-8.083,0.0,0.0,Night
2023-10-01 01:45:00,-3.0,11.633,0.0,7473.333,-8.097,0.0,0.0,Night
2023-10-01 02:00:00,-3.0,11.4,0.0,7456.667,-8.003,0.0,0.0,Night
2023-10-01 02:15:00,-2.667,11.367,0.0,7463.333,-8.037,0.0,0.0,Night
2023-10-01 02:30:00,-2.333,11.333,0.0,7466.667,-8.047,0.0,0.0,Night
2023-10-01 02:45:00,-2.667,11.233,0.0,7486.667,-8.08,0.0,0.0,Night
2023-10-01 03:00:00,-2.667,11.3,0.0,7486.667,-8.08,0.0,0.0,Night
2023-10-01 03:15:00,-3.0,11.2,0.0,7486.667,-8.097,0.0,0.0,Night
2023-10-01 03:30:00,-2.667,11.1,0.0,7490.0,-8.093,0.0,0.0,Night
2023-10-01 03:45:00,-3.0,10.867,0.0,7490.0,-8.11,0.0,0.0,Night
2023-10-01 04:00:00,-2.667,10.867,0.0,7500.0,-8.127,0.0,0.0,Night
2023-10-01 04:15:00,-2.0,10.933,0.0,7500.0,-8.143,0.0,0.0,Night
2023-10-01 04:30:00,-2.667,10.767,0.0,7506.667,-8.117,0.0,0.0,Night
2023-10-01 04:45:00,-3.0,10.7,0.0,7500.0,-8.117,0.0,0.0,Night
2023-10-01 05:00:00,-2.667,10.567,0.0,7500.0,-8.08,0.0,0.0,Night
2023-10-01 05:15:00,-2.333,10.7,0.0,7493.333,-8.083,0.0,0.0,Night
2023-10-01 05:30:00,-3.0,10.533,0.0,7493.333,-8.093,0.0,0.0,Night
2023-10-01 05:45:00,-2.667,10.6,0.0,7496.667,-8.083,0.0,0.0,Night
2023-10-01 06:00:00,-2.667,10.4,0.0,7480.0,-8.063,0.0,0.0,Night
2023-10-01 06:15:00,-3.0,10.367,0.0,7470.0,-8.07,0.0,0.0,Night
2023-10-01 06:30:00,-3.0,10.267,0.0,7470.0,-8.04,0.0,0.0,Night
2023-10-01 06:45:00,-2.667,10.267,0.0,7466.667,-8.023,0.0,0.0,Night
2023-10-01 07:00:00,-0.667,10.6,0.0,7473.333,-8.037,0.0,0.0,Night
2023-10-01 07:15:00,4.0,10.367,0.0,7456.667,-8.043,0.0,0.0,Day
2023-10-01 07:30:00,13.333,10.5,0.0,7446.667,27.3,29.933,5.433,Day
2023-10-01 07:45:00,21.333,11.033,0.0,7426.667,165.783,138.067,42.667,Day
2023-10-01 08:00:00,29.0,11.5,0.0,7433.333,390.987,247.8,145.833,Day
2023-10-01 08:15:00,34.5,12.2,0.0,7433.333,637.693,364.8,283.667,Day
2023-10-01 08:30:00,38.5,13.633,0.0,7423.333,884.143,475.633,419.3,Day
2023-10-01 08:45:00,43.0,15.367,0.0,7433.333,1140.147,593.333,547.933,Day
