Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Voltage,Meter Power,Inverter active power,"Schneider XC-680 - 1, Line kW","Schneider XC-680 - 2, Line kW","Schneider XC-680 - 3, Line kW",Day/Night
2023-10-01 00:00:00,0.0,60.13343,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 00:15:00,0.0,59.95642,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 00:30:00,0.0,59.85312,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 00:45:00,0.0,59.76629,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:00:00,0.0,59.49238,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:15:00,0.0,59.3337,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:30:00,0.0,60.03565,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:45:00,0.0,60.54205,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:00:00,0.0,60.33485,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:15:00,0.0,60.05577,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:30:00,0.0,59.39883,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:45:00,0.0,59.85084,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 03:00:00,0.0,59.85995,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 03:15:00,0.0,59.79977,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 03:30:00,0.0,59.55194,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 03:45:00,0.0,59.31887,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 04:00:00,0.0,59.71866,0,-999.0,0.0,0.0,0.0,0.0,0.0,Night
