Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Power,Meter Voltage,Inverter_1,Inverter_2,Day/Night
2023-08-01 00:00:00,-1.0,21.3,0.0,-7.27,7450.0,0.0,0.0,Night
2023-08-01 00:15:00,-1.0,22.167,0.0,-7.287,7466.667,0.0,0.0,Night
2023-08-01 00:30:00,-1.333,21.967,0.0,-7.33,7476.667,0.0,0.0,Night
2023-08-01 00:45:00,-1.333,21.733,0.0,-7.27,7453.333,0.0,0.0,Night
2023-08-01 01:00:00,-2.667,23.067,0.0,-7.307,7473.333,0.0,0.0,Night
2023-08-01 01:15:00,-3.0,23.1,0.0,-7.353,7483.333,0.0,0.0,Night
2023-08-01 01:30:00,-3.333,21.6,0.0,-7.347,7463.333,0.0,0.0,Night
2023-08-01 01:45:00,-3.667,21.033,0.0,-7.367,7473.333,0.0,0.0,Night
2023-08-01 02:00:00,-3.333,21.433,0.0,-7.237,7436.667,0.0,0.0,Night
2023-08-01 02:15:00,-2.667,20.9,0.0,-7.167,7410.0,0.0,0.0,Night
2023-08-01 02:30:00,-0.333,21.367,0.0,-7.137,7393.333,0.0,0.0,Night
2023-08-01 02:45:00,-1.0,21.1,0.0,-7.13,7386.667,0.0,0.0,Night
2023-08-01 03:00:00,-2.333,21.467,0.0,-7.15,7420.0,0.0,0.0,Night
2023-08-01 03:15:00,-4.0,20.9,0.0,-7.18,7426.667,0.0,0.0,Night
2023-08-01 03:30:00,-4.0,20.6,0.0,-7.193,7436.667,0.0,0.0,Night
2023-08-01 03:45:00,-4.0,20.3,0.0,-7.207,7436.667,0.0,0.0,Night
2023-08-01 04:00:00,-3.333,20.6,0.0,-7.21,7443.333,0.0,0.0,Night
2023-08-01 04:15:00,-3.0,20.8,0.0,-7.21,7436.667,0.0,0.0,Night
2023-08-01 04:30:00,-4.0,20.167,0.0,-7.19,7433.333,0.0,0.0,Night
2023-08-01 04:45:00,-3.667,19.633,0.0,-7.17,7423.333,0.0,0.0,Night
2023-08-01 05:00:00,-2.667,19.967,0.0,-7.16,7413.333,0.0,0.0,Night
2023-08-01 05:15:00,-2.0,19.967,0.0,-7.167,7420.0,0.0,0.0,Night
2023-08-01 05:30:00,-2.333,20.033,0.0,-7.15,7406.667,0.0,0.0,Night
