
I.

Detected missing values in the 'POA Irradiance' column.
All have been filled with a placeholder value of -999.
Here are missing values during the daytime.
Kindly document this discrepancy in the 'Data Issues' spreadsheet for further review.

+-------+---------------------+----------------+-------------+------------+-------------+---------------+------------+-----------+
| Index |      Timestamp      | POA Irradiance | Temperature | Wind Speed | Meter Power | Meter Voltage | Inverter_1 | Day/Night |
+-------+---------------------+----------------+-------------+------------+-------------+---------------+------------+-----------+
|   41  | 2023-09-01 09:45:00 |     -999.0     |   62.60729  |  2.01578   |   164.698   |    7.29409    |   166.2    |    Day    |
|   42  | 2023-09-01 10:00:00 |     -999.0     |   62.68248  |  1.98252   |   205.662   |    7.28777    |   207.1    |    Day    |
|   43  | 2023-09-01 10:15:00 |     -999.0     |   62.78922  |  2.15222   |   235.909   |    7.297313   |  237.333   |    Day    |
|   44  | 2023-09-01 10:30:00 |     -999.0     |   63.23016  |  1.71111   |    447.35   |    7.31659    |  447.733   |    Day    |
|   45  | 2023-09-01 10:45:00 |     -999.0     |   64.80919  |  2.31118   |   1158.16   |    7.347797   |  1160.77   |    Day    |
|   46  | 2023-09-01 11:00:00 |     -999.0     |   65.90246  |  2.06622   |   1255.86   |    7.34385    |  1259.83   |    Day    |
|   47  | 2023-09-01 11:15:00 |     -999.0     |   66.99427  |  2.41006   |    1320.9   |    7.337394   |  1331.17   |    Day    |
|   48  | 2023-09-01 11:30:00 |     -999.0     |   67.07615  |  2.63355   |   882.714   |    7.31817    |  885.467   |    Day    |
|   49  | 2023-09-01 11:45:00 |     -999.0     |   68.10093  |  2.62022   |   1414.48   |    7.333943   |  1420.17   |    Day    |
|   50  | 2023-09-01 12:00:00 |     -999.0     |   69.50378  |  2.62339   |   1619.58   |    7.33626    |  1631.73   |    Day    |
|   51  | 2023-09-01 12:15:00 |     -999.0     |   71.50411  |  2.56979   |    1983.8   |    7.349907   |  2001.47   |    Day    |
|   52  | 2023-09-01 12:30:00 |     -999.0     |   72.38905  |  2.77623   |   2011.82   |     7.3464    |   2031.6   |    Day    |
|   53  | 2023-09-01 12:45:00 |     -999.0     |   73.06441  |  2.84183   |   1825.35   |    7.347423   |   1855.1   |    Day    |
|   54  | 2023-09-01 13:00:00 |     -999.0     |   73.00352  |   1.9975   |    1272.5   |    7.334753   |  1274.73   |    Day    |
