Site Name,WO#,Fault/Event Start,Fault End,Date When Marked Complete/Incomplete,Description
Collier,28539,"Oct 13, 2023 12:00:00 PM","Oct 13, 2023 04:00:00 PM",,Collier INV 1 offline with unspecified hardware fault
Nitro,28538,"Oct 13, 2023 02:00:00 PM",,,"UAV Follow Up @ Nitro: 4 String Anomalies, 5 Damaged Modules, 1 Failed Module"
Brightwood,28185,"Oct 13, 2023 03:00:00 PM",,,Brightwood - Pine Gate Renewables Annual Inspection
Bartow,28533,"Oct 14, 2023 08:00:00 AM","Oct 20, 2023 05:00:00 PM",,Bartow - Weekly Utility Curtailment Tracking (10/14-10/20)
Anderson,28540,"Oct 14, 2023 11:05:00 AM","Oct 16, 2023 12:00:00 PM",,INV 15 offline (Bus (sum) Over Voltage (firmware) - Protect0090)
Siler 421,28541,"Oct 14, 2023 12:50:00 PM","Oct 17, 2023 09:33:00 AM",,Cell modem is intermittently not communicating
Minnie,28548,"Oct 14, 2023 09:20:00 PM","Nov 02, 2023 08:30:00 AM",,DAS is not communicating
Cottonwood,28546,"Oct 15, 2023 01:36:00 AM","Oct 15, 2023 08:27:00 AM",,Site offline (transfer trip)
Riley Solar I,28547,"Oct 15, 2023 10:30:00 AM","Oct 16, 2023 01:53:00 PM",,INV 7 offline
Agate Bay,28567,"Oct 15, 2023 09:14:00 PM","Oct 16, 2023 09:16:00 AM",,Site offline
Aulander,28448,"Oct 16, 2023 07:26:00 AM","Oct 23, 2023 12:27:00 PM",,"Aulander - Alchemy Semi-Annual Inspection
See Files tab for a list of which 25% of equipment to inspect for each inspection.
SECTION 3"
,28549,"Oct 16, 2023 07:31:00 AM","Oct 16, 2023 10:50:00 AM","Oct 25, 2023 07:39:00 AM",Landscaping East vegetative equipment hour meter reading entry
,28556,"Oct 16, 2023 07:32:00 AM",,"Oct 18, 2023 07:20:00 AM",Landscaping South vegetative equipment hour meter reading entry
PCSP 1,28356,"Oct 16, 2023 07:40:00 AM","Oct 23, 2023 02:20:00 PM",,PCSP 1 - Carolina Solar Energy Annual Inspection
NC Solar II,28354,"Oct 16, 2023 08:00:00 AM",,"Nov 01, 2023 10:30:00 AM",NC Solar II -NESM/Radian Semi-Annual Inspection
PCSP 3,28357,"Oct 16, 2023 08:00:00 AM",,,PCSP 3 - Carolina Solar Energy Annual Inspection
County Home,28360,"Oct 16, 2023 08:00:00 AM","Oct 26, 2023 12:52:00 PM",,County Home - NESM/Exus Semi Annual Inspection
Samarcand,28564,"Oct 16, 2023 08:00:00 AM",,,Duke MOA Inspections Remediations 
Newton Grove,28565,"Oct 16, 2023 08:00:00 AM",,,Duke MOA Inspections Remediations 
Rose Acre Solar Energy Storage,27794,"Oct 16, 2023 08:13:00 AM","Oct 16, 2023 04:00:00 PM","Oct 16, 2023 04:00:00 PM",Rose Acre Solar Energy Storage - NCEMC UAV Inspection
,28555,"Oct 16, 2023 09:23:00 AM",,,CSS Campus - Routine Maintenance
,28545,"Oct 16, 2023 09:24:00 AM",,,CSS Campus monthly building inspection
,28575,"Oct 16, 2023 10:00:00 AM","Oct 31, 2023 04:00:00 PM",,Sand Castle Solar PVsyst
Walgreens - Sherwood,28570,"Oct 16, 2023 11:34:00 AM",,,Walgreens Sherwood Corrective Maintenance 
Walgreens - Hillsboro,28571,"Oct 16, 2023 11:38:00 AM","Oct 17, 2023 04:47:00 PM",,Walgreens Hillsboro Corrective Maintenance 
Minnie,28569,"Oct 16, 2023 12:00:00 PM","Nov 02, 2023 02:00:00 PM",,Site (No Comms) - PE Daily Production Confirmation (DEC call)
,28619,"Oct 16, 2023 12:00:00 PM","Oct 17, 2023 09:20:00 AM","Oct 20, 2023 01:38:00 PM",Tractor to be pulled out of hole
"Railroad Solar Farm, LLC",28572,"Oct 16, 2023 01:00:00 PM","Oct 17, 2023 12:20:00 PM","Oct 17, 2023 02:45:00 PM",INV 3A offline (ground fault)
Merrill,28573,"Oct 16, 2023 01:03:00 PM","Oct 16, 2023 01:51:00 PM",,Site offline (utility trip & reclose)
Lane,28587,"Oct 16, 2023 01:15:00 PM","Oct 20, 2023 12:00:00 PM","Oct 20, 2023 02:36:00 PM",CB 5.4 offline
Sheep,27981,"Oct 16, 2023 03:38:00 PM","Oct 04, 2023 03:42:00 PM",,Sheep - Pine Gate Renewables Annual Inspection
Drift Creek,27978,"Oct 16, 2023 03:50:00 PM","Oct 04, 2023 05:48:00 PM",,Drift Creek - Pine Gate Renewables Semi Annual Inspection
Colton,27875,"Oct 16, 2023 03:54:00 PM","Oct 09, 2023 03:00:00 PM",,Colton - Pine Gate Renewables Semi-Annual Inspection
Beaufort,27793,"Oct 16, 2023 03:59:00 PM","Oct 16, 2023 04:00:00 PM","Oct 16, 2023 04:00:00 PM",Beaufort - Capital Power UAV Inspection
Minke,27877,"Oct 16, 2023 04:12:00 PM","Oct 12, 2023 05:55:00 PM",,Minke - Pine Gate Renewables Annual Inspection
Chiloquin,28367,"Oct 16, 2023 04:34:00 PM",,,Chiloquin - NESM/Exus Annual Inspection
Brightwood,28577,"Oct 16, 2023 08:20:00 PM","Oct 17, 2023 12:51:00 PM",,Site offline
Brush Creek,28576,"Oct 17, 2023 08:36:00 AM",,,Remove and replace dead tress in veg buffer
Gauss,28583,"Oct 17, 2023 08:55:00 AM","Oct 20, 2023 10:20:00 AM","Oct 20, 2023 02:28:00 PM",INV 1 is not communicating
Bartow,28579,"Oct 17, 2023 11:47:00 AM","Oct 17, 2023 01:05:00 PM",,Site offline
Collier,28584,"Oct 17, 2023 01:20:00 PM","Oct 17, 2023 03:32:00 PM",,INV 1 offline (Internal communication error)
Gastonia Solar,28580,"Oct 17, 2023 01:23:00 PM","Oct 18, 2023 02:02:00 PM",,Escort animal control to remove aggressive dog on site. 
Gastonia Solar,28581,"Oct 17, 2023 02:21:00 PM","Oct 19, 2023 01:40:00 PM",,Inv 1.06.16 - ~8kW underperformance 
Gastonia Solar,28582,"Oct 17, 2023 02:25:00 PM",,,"Tracker repairs:

INV 1.08.21 = stuck tracker (see attached).
INV 2.12.30 = Tracker stowed flat. Return to full service.
INV 1.04.10 = Tracker stowed flat. Return to full service.
INV 1.04.11 = Tracker stuck partial East. Return to full service."
Interstate,27878,"Oct 17, 2023 03:13:00 PM","Oct 10, 2023 06:32:00 PM",,Interstate - Pine Gate Renewables Semi-Annual Inspection
Beaufort,28585,"Oct 17, 2023 03:46:00 PM","Oct 27, 2023 11:22:00 AM","Oct 27, 2023 11:32:00 AM",Mow site
Rock Garden Collector Station,28586,"Oct 17, 2023 04:00:00 PM","Oct 23, 2023 03:11:00 PM",,DMZ interface on the site firewall is currently down
Lakeview,28588,"Oct 17, 2023 05:53:00 PM","Oct 18, 2023 05:08:00 AM",,Lakeview not communicating
Dairy,28016,"Oct 17, 2023 09:54:00 PM","Oct 17, 2023 01:20:00 PM",,Dairy - Mow array and buffer
Anderson,28589,"Oct 18, 2023 07:16:00 AM",,,Monitor Inv 09 for continued fan issues. Receive RMA fans and place into Client inventory. 
Gauss,27984,"Oct 18, 2023 07:19:00 AM","Oct 20, 2023 01:50:00 PM","Oct 25, 2023 07:40:00 AM",Mow array and spot spray as needed
,28574,"Oct 18, 2023 07:22:00 AM",,"Oct 18, 2023 04:53:00 PM",EA-707 L6060 Tractor Hourly Maintenance
Davis Lane,28596,"Oct 18, 2023 07:30:00 AM","Oct 18, 2023 10:55:00 AM","Nov 02, 2023 10:32:00 AM","INV 03 - Communication fault - Intmt, Power value stalls and repeats"
Anderson,28590,"Oct 18, 2023 07:36:00 AM",,,Track Inv 15 RMA
Sarah,28326,"Oct 18, 2023 08:00:00 AM","Oct 18, 2023 01:00:00 PM","Oct 18, 2023 01:00:00 PM",Sarah - NESM/Radian UAV Inspection
Gauss,28345,"Oct 18, 2023 08:00:00 AM","Oct 18, 2023 01:00:00 PM","Oct 18, 2023 01:00:00 PM",Gauss - NESM/Exus UAV Inspection
,28618,"Oct 18, 2023 08:00:00 AM",,"Oct 20, 2023 01:38:00 PM",Repair cross bracing on bush hog 
