Brush Creek Monthly
Start date:,9/1/2023 12:00:00 AM
End date:,9/30/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1 (Standard without POA),Production meter L-L voltage,Production meter active power,"Inverter - 1 CPS SCH125KTL, Active Power","Inverter - 2 CPS SCH125KTL, Active Power","Inverter - 3 CPS SCH125KTL, Active Power","Inverter - 4 CPS SCH125KTL, Active Power","Inverter - 5 CPS SCH125KTL, Active Power","Inverter - 6 CPS SCH125KTL, Active Power","Inverter - 7 CPS SCH125KTL, Active Power","Inverter - 8 CPS SCH125KTL, Active Power","Inverter - 9 CPS SCH125KTL, Active Power","Inverter - 10 CPS SCH125KTL, Active Power","Inverter - 11 CPS SCH125KTL, Active Power","Inverter - 12 CPS SCH125KTL, Active Power","Inverter - 13 CPS SCH100KTL, Active Power","Inverter - 14 CPS SCH100KTL, Active Power","Inverter - 15 CPS SCH125KTL, Active Power","Inverter - 16 CPS SCH125KTL, Active Power","Inverter - 17 CPS SCH125KTL, Active Power","Inverter - 18 CPS SCH125KTL, Active Power"
9/1/2023 6:45:00 AM,6.460783,60.1348,61.52534,2,12.61096,7.143394,0.5755556,0.5364289,0.6236111,0.5750467,0.5843334,0.5916666,0.4715556,0.5123844,0.61274,0.08981778,0.5925155,0.6177022,0.3855556,0.3662778,0.475,0.4812778,0.5797467,0.2944444
9/1/2023 7:00:00 AM,12.64532,60.41595,61.63154,2,12.54953,21.35432,1.546313,1.403853,1.615444,1.561889,1.483889,1.600002,1.477667,1.416222,1.549158,1.184858,1.565258,1.602924,1.128833,1.078833,1.330556,1.371111,1.502247,0.989
9/1/2023 7:15:00 AM,19.05806,60.71524,61.7434,2,12.53243,34.98418,2.40613,2.165647,2.458667,2.321164,2.231538,2.380869,2.188369,2.144853,2.391389,2.021324,2.344975,2.419744,1.750667,1.655858,2.002264,2.079447,2.182176,1.590564
9/1/2023 7:30:00 AM,29.65131,61.26299,61.83974,2,12.52136,58.70147,3.890958,3.524167,3.904889,3.610062,3.47898,3.648391,3.42856,3.397829,3.909333,3.537001,3.752518,3.864884,2.809253,2.712816,3.212318,3.334667,3.373751,2.617473
9/1/2023 7:45:00 AM,50.59135,61.90055,62.05976,3,12.528,106.5213,6.496933,5.9715,6.693836,6.065723,5.990114,6.502507,5.937507,5.882026,6.516389,6.256166,6.403378,6.668018,5.014855,4.77983,5.613738,5.843184,5.875956,4.90069
9/1/2023 8:00:00 AM,105.5664,64.36243,62.64449,3,12.55221,228.4214,13.78343,12.54683,14.38797,13.30337,12.60277,14.23728,12.30675,12.39242,13.67365,13.40257,13.62407,14.39777,10.95301,10.04601,11.73847,12.12593,12.24831,10.77345
9/1/2023 8:15:00 AM,111.0919,66.5442,63.4251,3,12.56314,249.4003,14.6019,13.68707,15.40746,14.42801,13.86124,15.37728,13.72396,13.56274,14.92786,14.79259,15.04796,15.8431,12.13016,11.37426,13.30832,13.88701,13.79753,12.17991
9/1/2023 8:30:00 AM,97.02296,66.09659,63.41248,5,12.52879,216.1204,12.87761,12.28696,13.52159,12.71728,12.26659,13.04744,12.20269,11.7799,12.85991,12.81708,12.85023,13.3011,10.16139,9.815567,11.55038,12.03188,11.62145,10.12072
9/1/2023 8:45:00 AM,119.5809,66.33632,63.70408,4,12.52422,266.3789,15.95736,15.41809,16.9389,16.01963,15.3369,15.94917,14.93264,14.29614,15.88195,15.96937,15.87269,16.25217,12.48594,12.17261,14.16661,14.64007,13.78776,12.0255
9/1/2023 9:00:00 AM,58.08004,66.25035,63.72391,5,12.52297,130.992,7.49312,7.679022,8.069298,8.050485,7.740924,7.835055,7.630136,6.968738,7.672111,7.769,7.968142,8.008771,6.431611,6.449702,7.539189,7.793371,7.382951,6.380929
9/1/2023 9:15:00 AM,50.04462,64.00104,63.12047,5,12.51724,114.0831,6.643006,6.951389,7.029683,7.005038,6.76844,6.415327,6.759007,6.085191,6.821387,6.91692,6.923909,6.722118,5.28994,5.57024,6.542702,6.708704,6.047222,5.088275
