Cottonwood Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1 (Standard),Production meter L-N voltage,Production meter L-L voltage,Production meter active power,"Solectria 750kW Inverter - 1, AC Power output","Solectria 750kW Inverter - 2, AC Power output","Solectria 750kW Inverter - 3, AC Power output","Solectria 750kW Inverter - 4, AC Power output"
,W/m²,°F,°F,mph,V,V,kW,kW,kW,kW,kW
10/1/2023 12:00:00 AM,0,55.69004,61.20411,0,20024.33,34684.67,-9.471666,0,0,0,0
10/1/2023 12:15:00 AM,0,55.76056,61.3664,0,19955.67,34565,-9.396,0,0,0,0
10/1/2023 12:30:00 AM,0,55.39622,60.9484,0,19981,34607,-9.423,0,0,0,0
10/1/2023 12:45:00 AM,0,55.682,61.28481,0,19967,34584,-9.404667,0,0,0,0
10/1/2023 1:00:00 AM,0,55.54008,61.26358,0,19983,34612.67,-9.428,0,0,0,0
10/1/2023 1:15:00 AM,0,55.64295,61.18158,0,19978,34603.67,-9.424666,0,0,0,0
10/1/2023 1:30:00 AM,0,55.57966,60.85897,0,19951,34555,-9.387,0,0,0,0
10/1/2023 1:45:00 AM,0,55.78977,60.63976,0,19955.67,34565,-9.397333,0,0,0,0
10/1/2023 2:00:00 AM,0,57.50043,61.58554,0,19998,34637.33,-9.440333,0,0,0,0
10/1/2023 2:15:00 AM,0,58.1017,62.20629,0,20024.67,34684.33,-9.475667,0,0,0,0
10/1/2023 2:30:00 AM,0,57.28223,61.92627,0,19998.67,34638.33,-9.443334,0,0,0,0
10/1/2023 2:45:00 AM,0,56.12212,61.19697,0,20038.67,34708.67,-9.493333,0,0,0,0
10/1/2023 3:00:00 AM,0,55.43402,60.65213,0,20014,34664.67,-9.465,0,0,0,0
10/1/2023 3:15:00 AM,0,55.02837,60.30441,0,19956,34565.67,-9.394333,0,0,0,0
10/1/2023 3:30:00 AM,0,54.47731,59.82044,0,19928.67,34518.67,-9.361667,0,0,0,0
10/1/2023 3:45:00 AM,0,54.2317,59.64822,0,19946.33,34547,-9.39,0,0,0,0
10/1/2023 4:00:00 AM,0,54.1627,59.74976,0,19973.67,34596,-9.423,0,0,0,0
10/1/2023 4:15:00 AM,0,53.83839,59.26939,0,20001,34642,-9.446667,0,0,0,0
10/1/2023 4:30:00 AM,0,53.75752,59.23548,0,19979.67,34606.33,-9.421333,0,0,0,0
10/1/2023 4:45:00 AM,0,53.88797,59.28125,0,19991.67,34627.33,-9.439,0,0,0,0
10/1/2023 5:00:00 AM,0,54.92979,60.0321,0,19997.67,34636.67,-9.441,0,0,0,0
10/1/2023 5:15:00 AM,0,54.59188,59.76331,0,20052.33,34733,-9.506667,0,0,0,0
10/1/2023 5:30:00 AM,0,53.54554,59.06682,0,20034,34702,-9.488667,0,0,0,0
10/1/2023 5:45:00 AM,0,52.9383,58.62711,0,20024,34682,-9.469666,0,0,0,0
10/1/2023 6:00:00 AM,0,52.72324,58.42832,0,19985,34616,-9.425333,0,0,0,0
10/1/2023 6:15:00 AM,0,52.15271,57.90068,0,19990,34625,-9.431,0,0,0,0
10/1/2023 6:30:00 AM,0,52.11274,57.8986,0,19918.33,34500.33,-9.352333,0,0,0,0
10/1/2023 6:45:00 AM,1.063083,52.2508,57.91717,0,19961.33,34574.33,-9.418333,0,0,0,0
10/1/2023 7:00:00 AM,15.96807,51.85868,57.28236,0,19979.33,34605,-9.448667,0,0,0,0
10/1/2023 7:15:00 AM,160.6964,52.33921,57.242,0,19895.33,34460.67,9.107333,0,5.983073,5.235026,6.116537
10/1/2023 7:30:00 AM,303.2293,54.35005,58.28682,0,19831.67,34350.67,35.84867,0,13.528,15.88672,13.43685
10/1/2023 7:45:00 AM,407.3632,57.48192,60.10982,1,19896,34460,67.09167,0,25.63672,23.2819,24.62174
10/1/2023 8:00:00 AM,488.3405,64.06351,61.34644,0,19912,34489.33,98.46733,0,38.31055,29.93164,36.45182
10/1/2023 8:15:00 AM,557.4609,82.09518,62.55158,0,19910.33,34486.33,161.9237,0,64.73177,46.22396,57.96875
10/1/2023 8:30:00 AM,615.9153,95.64258,63.98198,0,19955.67,34565.33,265.5957,0,107.8672,64.57552,101.2279
10/1/2023 8:45:00 AM,658.7276,104.7988,65.54073,0,19971.67,34592.33,428.7767,0,153.6712,146.4857,135.5078
10/1/2023 9:00:00 AM,696.3905,109.8744,67.47779,0,19978.33,34603.67,1332.738,226.155,376.3099,375.6875,361.2832
10/1/2023 9:15:00 AM,725.0418,108.8365,70.40839,2,19978,34605.33,2112.229,494.7031,561.7181,509.4056,560.1472
10/1/2023 9:30:00 AM,745.5925,109.4634,73.0564,2,19979,34604,2221.643,509.2982,591.3301,548.4401,588.5143
10/1/2023 9:45:00 AM,762.806,111.3132,75.19756,2,20008.33,34657.67,2272.471,521.6523,602.4603,566.8217,598.0677
10/1/2023 10:00:00 AM,771.563,111.5548,76.90382,3,20106.33,34825,2300.421,531.3444,607.8821,574.4108,604.0117
10/1/2023 10:15:00 AM,777.7819,111.4895,81.48488,3,20082.33,34782.67,2317.6,536.5554,612.834,577.4974,608.3926
10/1/2023 10:30:00 AM,776.7924,112.1883,85.00397,3,20086,34789.67,2315.55,537.3724,611.2031,576.7415,607.9694
10/1/2023 10:45:00 AM,776.3091,112.0156,86.87937,4,20104,34819,2276.961,518.235,599.4772,569.6771,608.196
10/1/2023 11:00:00 AM,773.8453,109.9788,84.91433,5,20039,34708.33,2286.618,526.377,601.5462,567.5573,608.4421
10/1/2023 11:15:00 AM,753.2217,112.4218,85.36694,4,20005.33,34649.67,2258.91,524.9597,589.2429,562.6113,599.3366
10/1/2023 11:30:00 AM,739.5837,111.7283,85.90877,5,20030.33,34693.33,2146.618,507.2494,554.5436,535.1152,565.2982
10/1/2023 11:45:00 AM,715.171,111.453,86.86351,4,20059.33,34741.67,2170.54,511.946,561.4772,538.9336,574.668
10/1/2023 12:00:00 PM,691.3213,110.5956,87.33697,4,20042,34712.67,2091.322,489.3678,540.3516,517.6569,558.4147
10/1/2023 12:15:00 PM,678.7563,110.9118,88.6403,2,19970.33,34589,2041.208,488.6615,523.069,505.9349,539.2741
10/1/2023 12:30:00 PM,528.8329,108.7153,88.63927,4,19970,34588.33,1494.284,378.7995,388.9075,364.194,374.7532
10/1/2023 12:45:00 PM,435.7386,99.84148,86.83147,4,19956.33,34566.33,1260.468,331.377,318.2806,307.5273,313.64
10/1/2023 1:00:00 PM,492.9523,100.4159,87.51003,3,19955.67,34565,1354.888,326.5091,347.1862,328.9967,363.4688
10/1/2023 1:15:00 PM,598.2798,99.47398,87.86154,2,19944,34545.33,1261.009,321.5026,321.2865,305.8776,324.64
10/1/2023 1:30:00 PM,347.0135,99.04745,87.64691,3,19964.33,34580.33,1073.871,251.668,268.6413,266.0898,296.3451
10/1/2023 1:45:00 PM,392.4638,99.1883,88.32114,3,19954.33,34562,1146.998,304.4968,284.2546,282.4863,285.1465
