Drift Creek Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station (Basic w/ Wind),Production meter AC voltage,Production meter active power,"Inverter - 1 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 2 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 3 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 4 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 5 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 6 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 7 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 8 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 9 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 10 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 11 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 12 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 13 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 14 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 15 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 16 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 17 CPS SCH100KTL-DO/US-600, Active Power","Inverter - 18 CPS SCH100KTL-DO/US-600, Active Power"
10/1/2023 7:00:00 AM,2.321561,36.92432,40.16506,3,,-3.229211,0.06330889,0.1021644,0.09041333,0.02056,0.1232222,0.09970222,0.04711111,0.08668666,0.02083111,0.005555556,0.06863943,0.03066667,0.06033333,0.03367556,0.05422222,0.01093333,0.01699111,0.02766667
10/1/2023 7:15:00 AM,10.91707,36.61266,40.18625,1,,16.22407,1.293191,1.411,1.452864,1.24644,1.618889,1.378722,1.329221,1.365722,1.247567,0.7201133,1.306418,1.059556,1.298944,1.12988,1.213611,1.042956,1.062176,1.023167
10/1/2023 7:30:00 AM,41.80123,36.8348,40.12376,2,,47.05865,3.221415,3.44602,3.551222,3.33546,3.708182,3.450338,3.593519,3.468601,2.805829,2.492942,2.867748,2.127255,2.499787,2.549949,2.547276,2.191199,2.1675,2.015445
10/1/2023 7:45:00 AM,89.26598,39.28038,40.78471,2,,116.6295,7.526357,7.956699,8.169441,7.927001,8.192535,7.970793,8.839108,9.762423,6.35746,6.472112,8.007029,4.572932,4.917746,6.403552,5.780558,4.17419,3.631111,3.67483
10/1/2023 8:00:00 AM,144.3152,42.76898,42.09595,1,,232.676,14.37207,15.17794,15.55964,15.55229,15.74206,15.93044,16.61707,17.75993,13.39444,12.92439,14.11081,11.98042,9.047786,12.05375,9.635555,8.602702,6.360091,9.59304
10/1/2023 8:15:00 AM,192.8473,47.14499,43.96844,0,,385.806,22.8907,24.58233,24.89582,24.52243,24.50968,24.97261,25.45353,26.73415,23.83882,21.54653,23.1255,19.23379,16.80707,17.81332,16.65572,16.25802,14.57772,18.61087
10/1/2023 8:30:00 AM,234.2962,52.09942,46.22921,0,,556.0122,32.29456,34.44405,34.85633,34.49047,34.71503,34.61818,35.15905,36.43264,33.51067,31.35052,32.72655,27.62722,26.06806,27.37233,23.8344,25.37779,25.89458,29.24827
10/1/2023 8:45:00 AM,298.7386,57.67053,47.62947,1,,729.3064,41.37089,44.00547,44.64964,44.12435,44.30458,44.20137,44.87543,46.13622,43.24666,40.34862,41.5828,35.54711,36.91457,37.37724,33.66277,34.74311,38.53844,38.94355
10/1/2023 9:00:00 AM,378.604,63.3793,49.41947,1,,907.0613,50.856,54.05726,54.64141,54.14631,54.32522,54.18988,55.09093,56.24781,53.38061,49.89105,50.91756,43.80667,47.37659,48.17173,43.73948,46.84514,48.11489,47.59082
10/1/2023 9:15:00 AM,454.0016,66.53606,51.15289,2,,1074.635,59.87372,63.64497,64.23192,63.79108,64.06509,63.87731,64.81546,65.85691,63.25951,59.22,59.37194,51.77016,58.56345,57.41625,56.54528,54.8866,56.14522,55.50665
10/1/2023 9:30:00 AM,466.1128,68.51103,52.22414,3,,1225.235,68.29946,72.6078,73.73203,72.74316,72.9869,72.73643,73.66986,74.54507,71.65217,66.91739,68.09219,58.03872,66.66761,65.89977,65.146,62.70916,63.84578,63.25293
10/1/2023 9:45:00 AM,534.9543,74.92591,53.42894,2,,1393.321,77.06321,81.98888,83.29261,82.20512,82.62458,82.4324,83.58455,84.42333,82.06546,76.94869,77.24189,66.88462,76.66891,75.51144,74.65873,71.54823,72.54235,71.77446
10/1/2023 10:00:00 AM,698.2071,80.79256,54.65771,2,,1516.571,84.94346,90.33498,91.78123,90.46964,90.87905,90.68193,91.89526,93.31841,90.01913,83.81231,84.99014,72.00043,82.00532,81.02758,80.57104,76.50204,78.01009,76.80894
10/1/2023 10:15:00 AM,736.6364,85.07402,55.74616,2,,1627.63,90.11891,95.72328,97.32156,96.32458,96.3988,96.22694,97.96906,98.81021,96.37357,90.35761,89.98837,77.83134,89.32175,88.82482,87.94224,83.24127,84.35117,83.84953
10/1/2023 10:30:00 AM,646.1134,87.33241,56.36691,3,,1684.373,92.81139,99.31859,100.2976,98.86198,99.37681,99.85884,101.1087,99.66124,101.0546,94.87428,91.5325,82.18562,94.21262,93.03891,91.90552,87.10247,87.50494,87.16083
10/1/2023 10:45:00 AM,703.9038,88.49869,57.41412,2,,1823.032,101.1684,107.5119,109.3299,107.7938,108.266,108.0591,109.3286,109.8233,108.1685,101.4191,100.8428,87.68293,100.5741,99.69878,98.78284,93.54226,94.14194,93.85275
10/1/2023 11:00:00 AM,748.7769,91.74493,58.22202,2,,1908.036,105.8413,112.4673,114.3804,112.7664,113.2806,113.093,114.3372,114.6395,113.4644,106.3682,105.3538,91.93472,105.4092,104.5578,103.6228,97.92738,98.54017,98.11227
10/1/2023 11:15:00 AM,777.0952,94.34743,58.9081,4,,1982.528,109.9142,117.2819,119.2485,117.5948,118.0244,117.8313,119.0782,119.219,118.3834,111.0018,109.8663,95.37473,109.3598,109.0261,107.7736,101.6841,100.2748,100.7197
10/1/2023 11:30:00 AM,798.081,94.44305,59.415,4,,2048.056,114.1629,121.4463,123.4292,121.7641,122.1836,122.0202,123.2941,123.5738,122.5332,114.9334,113.896,99.13272,113.7496,113.1572,112.3887,105.8155,100.3883,100.9208
10/1/2023 11:45:00 AM,818.3821,96.39201,60.77592,3,,2090.811,117.176,124.6961,125.5531,124.819,125.2948,124.9524,124.9621,125.3905,125.2629,118.0416,116.7857,101.7686,116.7581,116.3046,115.4804,108.625,100.4056,100.9717
10/1/2023 12:00:00 PM,842.9828,99.38219,61.61749,3,,2111.715,119.5341,125.8,125.5547,125.4055,126.1056,125.3944,124.9767,125.3944,125.3944,120.535,119.1421,103.7905,118.99,118.7076,117.8658,110.6756,100.4,100.977
