Detected missing values in the 'POA Irradiance' column.
These have been filled with a placeholder value of -999.
Kindly document this discrepancy in the 'Data Issues' spreadsheet for further review.
Details of missing rows:
+-------+---------------------+----------------+---------------------+------------+---------------+-------------+------------+------------+------------+------------+------------+
| Index |      Timestamp      | POA Irradiance | Ambient Temperature | Wind Speed | Meter Voltage | Meter Power | Inverter_1 | Inverter_2 | Inverter_3 | Inverter_4 |    Date    |
+-------+---------------------+----------------+---------------------+------------+---------------+-------------+------------+------------+------------+------------+------------+
|   53  | 2023-08-01 12:45:00 |     -999.0     |         nan         |    nan     |      nan      |     nan     |    nan     |    nan     |    nan     |    nan     | 2023-08-01 |
|   54  | 2023-08-01 13:00:00 |     -999.0     |         nan         |    nan     |      nan      |     nan     |    nan     |    nan     |    nan     |    nan     | 2023-08-01 |
|   55  | 2023-08-01 13:15:00 |     -999.0     |         nan         |    nan     |      nan      |     nan     |    nan     |    nan     |    nan     |    nan     | 2023-08-01 |
|   56  | 2023-08-01 13:30:00 |     -999.0     |         nan         |    nan     |      nan      |     nan     |    nan     |    nan     |    nan     |    nan     | 2023-08-01 |
|   57  | 2023-08-01 13:45:00 |     -999.0     |         nan         |    nan     |      nan      |     nan     |    nan     |    nan     |    nan     |    nan     | 2023-08-01 |
|   58  | 2023-08-01 14:00:00 |     -999.0     |         nan         |    nan     |      nan      |     nan     |    nan     |    nan     |    nan     |    nan     | 2023-08-01 |
|   59  | 2023-08-01 14:15:00 |     -999.0     |         nan         |    nan     |      nan      |     nan     |    nan     |    nan     |    nan     |    nan     | 2023-08-01 |
|   60  | 2023-08-01 14:30:00 |     -999.0     |         nan         |    nan     |      nan      |     nan     |    nan     |    nan     |    nan     |    nan     | 2023-08-01 |
|   61  | 2023-08-01 14:45:00 |     -999.0     |         nan         |    nan     |      nan      |     nan     |    nan     |    nan     |    nan     |    nan     | 2023-08-01 |
|   62  | 2023-08-01 15:00:00 |     -999.0     |         nan         |    nan     |      nan      |     nan     |    nan     |    nan     |    nan     |    nan     | 2023-08-01 |
|   63  | 2023-08-01 15:15:00 |     -999.0     |         nan         |    nan     |      nan      |     nan     |    nan     |    nan     |    nan     |    nan     | 2023-08-01 |
|   64  | 2023-08-01 15:30:00 |     -999.0     |         nan         |    nan     |      nan      |     nan     |    nan     |    nan     |    nan     |    nan     | 2023-08-01 |
|   65  | 2023-08-01 15:45:00 |     -999.0     |         nan         |    nan     |      nan      |     nan     |    nan     |    nan     |    nan     |    nan     | 2023-08-01 |
|   66  | 2023-08-01 16:00:00 |     -999.0     |         nan         |    nan     |      nan      |     nan     |    nan     |    nan     |    nan     |    nan     | 2023-08-01 |
|   67  | 2023-08-01 16:15:00 |     -999.0     |         nan         |    nan     |      nan      |     nan     |    nan     |    nan     |    nan     |    nan     | 2023-08-01 |
