S. Robeson Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Timestamp,POA*,"SMA Inverter - A.1, Pac","SMA Inverter - A.2, Pac","SMA Inverter - B.1, Pac","SMA Inverter - B.2, Pac","SMA Inverter - C.1, Pac","SMA Inverter - C.2, Pac","SMA Inverter - D.1, Pac","SMA Inverter - D.2, Pac","SMA Inverter - E.1, Pac","SMA Inverter - E.2, Pac",Production meter active power
,W/m²,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW
2023-06-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.1322
2023-06-01 01:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.1996
2023-06-01 02:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.2749
2023-06-01 03:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.31316
2023-06-01 04:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.29012
2023-06-01 05:00:00,0.01141803,0,0,0,0,0,0,0,0,0,0,-10.28596
2023-06-01 06:00:00,12.34233,6.380017,5.092002,5.898252,6.339191,5.799948,5.923405,2.226533,3.087646,6.04391,3.760503,40.50591
2023-06-01 07:00:00,114.6405,49.64825,42.54385,45.99808,53.24611,43.87649,51.12572,52.26932,38.17862,52.28005,52.74836,458.8321
2023-06-01 08:00:00,291.6734,145.5563,125.9613,143.5685,153.881,126.4287,147.5746,150.9488,110.5508,149.3041,153.5661,1366.655
2023-06-01 09:00:00,477.9885,248.6759,218.902,249.8107,258.314,217.805,252.1034,255.0344,187.4898,252.8212,262.5259,2321.549
2023-06-01 10:00:00,697.6005,350.169,309.7354,353.0055,362.4045,307.2745,355.4622,358.5059,263.4102,352.7998,365.6401,3260.601
2023-06-01 11:00:00,866.4052,422.9707,376.0467,420.5317,436.3373,369.6113,423.4399,426.1719,313.0201,419.0287,432.9437,3881.64
2023-06-01 12:00:00,615.1394,305.6058,276.2374,291.7857,291.1112,272.9129,307.1107,287.2668,213.6921,329.7229,332.1241,2899.827
2023-06-01 13:00:00,295.6184,151.103,131.5008,149.4797,154.9892,131.9507,154.2948,153.2799,111.9517,154.868,158.0233,1399.789
2023-06-01 14:00:00,204.3874,105.9887,92.68197,104.658,110.3929,94.2043,109.7619,108.9135,79.62321,111.0869,111.6423,1000.262
2023-06-01 15:00:00,309.0325,160.8278,140.9772,157.4459,162.9857,139.7182,159.4537,159.9101,115.852,178.0288,179.2633,1501.17
2023-06-01 16:00:00,281.6493,151.0086,129.9591,148.8554,153.2052,127.1084,144.1958,146.6047,105.0934,159.6618,160.7973,1371.842
2023-06-01 17:00:00,101.1305,51.59471,44.88535,50.9832,54.19388,45.72045,53.55131,52.11924,38.84293,52.51062,51.06532,471.0613
2023-06-01 18:00:00,25.22118,9.382858,8.385041,10.14621,10.62251,9.012806,10.00991,8.391356,6.937736,10.03902,8.846913,77.666
2023-06-01 19:00:00,30.97934,17.31064,14.45551,17.57283,18.66697,14.51935,17.35452,13.71282,12.56939,17.06172,13.41435,139.5219
2023-06-01 20:00:00,4.987737,2.106855,1.757583,2.432402,2.188104,1.78407,1.550445,0.643028,0.9281963,1.548157,1.158345,3.753517
2023-06-01 21:00:00,0,0,0,0,0,0,0,0,0,0,0,-11.0001
2023-06-01 22:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.26704
2023-06-01 23:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.16059
2023-06-02 00:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.1503
2023-06-02 01:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.12529
2023-06-02 02:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.23166
2023-06-02 03:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.2492
2023-06-02 04:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.22861
2023-06-02 05:00:00,0.0008074937,0,0,0,0,0,0,0,0,0,0,-10.19027
2023-06-02 06:00:00,11.75906,5.054514,4.517796,5.283782,5.946797,4.384377,5.731297,2.957079,3.909292,4.953895,1.828907,34.36559
2023-06-02 07:00:00,79.13921,41.20135,35.56123,40.7963,44.01798,36.26136,42.23916,43.20462,31.32961,43.52861,44.5098,390.1756
2023-06-02 08:00:00,159.1124,82.30811,72.5232,82.21084,88.92483,74.44998,88.85117,88.6345,65.66188,80.8792,85.18173,761.5585
2023-06-02 09:00:00,343.7309,184.6983,161.2393,173.8493,189.1142,158.9816,189.7417,180.2104,131.4318,179.0396,188.5757,1674.257
2023-06-02 10:00:00,304.9004,147.1268,129.7378,155.1579,154.7412,135.4451,160.0276,158.3444,118.5136,168.0067,175.9297,1476.011
2023-06-02 11:00:00,777.7725,376.9522,330.5109,398.7416,418.6764,346.5796,391.8798,426.3711,315.0616,379.5638,391.9237,3630.852
