Gauss Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"Schneider SmartGen CS1800 Inverter - 1.1, Total Power","Schneider SmartGen CS1800 Inverter - 1.2, Total Power","Schneider SmartGen CS1800 Inverter - 2.1, Total Power",Production meter active power
,W/m²,kW,kW,kW,kW
2023-04-05 02:00:00,0,-0.009447613,-0.01923127,-0.004637369,-7.795848
2023-04-05 03:00:00,0,0.00346869,-0.01300344,0.002178986,-7.84144
2023-04-05 04:00:00,0,-0.001684001,0.005395181,-0.009299691,-7.844392
2023-04-05 05:00:00,0,-0.003475067,0.01052737,0.005728711,-7.859435
2023-04-05 06:00:00,0.6579332,-0.001690751,-0.003977289,-0.002406789,-7.901469
2023-04-05 07:00:00,66.57052,74.40431,97.04335,91.50487,262.8788
2023-04-05 08:00:00,281.7641,394.4628,504.153,489.8733,1382.053
2023-04-05 09:00:00,526.7502,773.0705,983.1564,956.3069,2691.253
2023-04-05 10:00:00,740.3694,1063.922,1354.304,1319.776,3699.556
2023-04-05 11:00:00,882.9389,1251.538,1566.694,1535.611,4287.533
2023-04-05 12:00:00,848.863,1183.561,1426.151,1366.274,3909.465
2023-04-05 13:00:00,1059.944,1469.537,1567.188,1542.186,4501.998
2023-04-05 14:00:00,913.5397,1158.47,1550.2,1513.301,4163.91
2023-04-05 15:00:00,760.0292,1264.599,1352.429,1029.086,3598.003
2023-04-05 16:00:00,636.6235,1134.022,1159.513,1131.448,3392.639
2023-04-05 17:00:00,199.7275,320.6326,336.2696,341.9753,982.4194
2023-04-05 18:00:00,,,,,
2023-04-05 19:00:00,,,,,
2023-04-05 20:00:00,,,,,
2023-04-05 21:00:00,,,,,
2023-04-05 22:00:00,,,,,
2023-04-05 23:00:00,,,,,
2023-04-06 00:00:00,,,,,
2023-04-06 01:00:00,,,,,
2023-04-06 02:00:00,,,,,
2023-04-06 03:00:00,,,,,
2023-04-06 04:00:00,,,,,
2023-04-06 05:00:00,,,,,
2023-04-06 06:00:00,,,,,
2023-04-06 07:00:00,,,,,
2023-04-06 08:00:00,,,,,
2023-04-06 09:00:00,,,,,
2023-04-06 10:00:00,,,,,
2023-04-06 11:00:00,923.462,1130.667,1116.757,1091.953,3283.065
2023-04-06 12:00:00,635.4357,1068.431,1113.328,1049.65,3201.642
2023-04-06 13:00:00,670.3782,1153.355,1196.68,1158.456,3476.177
2023-04-06 14:00:00,777.2708,1360.84,1355.832,1334.504,3976.99
2023-04-06 15:00:00,687.3006,1205.464,1233.915,1181.047,3578.481
2023-04-06 16:00:00,523.7932,895.7642,912.8336,843.6558,2595.3
2023-04-06 17:00:00,407.3966,,,,
2023-04-06 18:00:00,,,,,
2023-04-06 19:00:00,0,-0.0256752,0.0121102,0.0008089105,-7.630138
2023-04-06 20:00:00,0,-0.01512169,0.00067338,0.001540916,-7.732869
2023-04-06 21:00:00,0.02745702,-0.0104502,-0.007423164,0.006702473,-7.781193
2023-04-06 22:00:00,0,-0.01383176,0.004191002,0.008185123,-7.78338
2023-04-06 23:00:00,0,-0.01888807,0.00624344,-0.008035336,-7.730238
2023-04-07 00:00:00,0,0.002643962,0.01116392,-0.002028774,-7.649241
2023-04-07 01:00:00,0,-0.006001882,-0.005003163,0.000368054,-7.648747
2023-04-07 02:00:00,0,-0.01935574,0.004906962,-0.001388113,-7.680429
2023-04-07 03:00:00,0,-0.0161196,-0.01169386,0.001142026,-7.698282
2023-04-07 04:00:00,0.1777621,-0.02000357,-0.005129707,0.01102455,-7.709152
2023-04-07 05:00:00,0,0.001680975,0.002964003,0.01324874,-7.737074
2023-04-07 06:00:00,0.1673592,0.003126489,-0.003755121,0.004631219,-7.887942
2023-04-07 07:00:00,3.295971,-0.003592466,-0.01540203,-0.003373205,-8.28756
2023-04-07 08:00:00,20.44692,28.56646,29.75969,0.8516207,52.59367
2023-04-07 09:00:00,106.1359,196.5297,196.2634,193.0759,586.8079
2023-04-07 10:00:00,63.65656,117.9949,120.9314,115.3954,354.315
2023-04-07 11:00:00,62.4552,124.0407,120.7566,117.3983,357.3445
2023-04-07 12:00:00,65.59512,126.0322,128.6601,124.623,381.0108
2023-04-07 13:00:00,47.33484,84.18671,88.72792,82.8213,258.0369
2023-04-07 14:00:00,53.54461,100.9231,102.0541,100.1931,303.8741
2023-04-07 15:00:00,53.821,101.033,101.804,99.06498,303.7408
2023-04-07 16:00:00,49.22652,90.98502,93.87086,89.66904,276.04
2023-04-07 17:00:00,27.09134,44.57285,46.18734,44.11733,137.6382
2023-04-07 18:00:00,10.14686,13.57585,14.16553,12.96053,44.13967
2023-04-07 19:00:00,2.255487,1.320165,1.468856,1.196899,-1.723848
2023-04-07 20:00:00,0,0.005253512,-0.01347152,-1.854e-05,-7.765524
2023-04-07 21:00:00,0,-0.01394481,0.001378736,-0.007739993,-7.550764
2023-04-07 22:00:00,0,-0.004854463,0.006930876,-0.01165566,-7.59944
2023-04-07 23:00:00,0,-0.005578862,-0.004820511,0.004712358,-7.628902
2023-04-08 00:00:00,0,-0.01014331,-0.01474693,0.009233577,-7.867639
2023-04-08 01:00:00,0,-0.002207921,-0.01319984,-0.004013324,-8.10129
2023-04-08 02:00:00,0,-0.01283727,-0.008918542,0.01121195,-8.347663
2023-04-08 03:00:00,0,0.001218374,0.001567759,-0.009069663,-8.348192
2023-04-08 04:00:00,0,0.00756343,0.0008216413,-0.009903714,-8.526032
2023-04-08 05:00:00,0,-0.01285754,-0.004555971,-0.008015323,-8.609888
2023-04-08 06:00:00,0.04801437,-0.005261244,-0.01522264,-0.004079258,-8.572803
2023-04-08 07:00:00,9.953666,10.20725,10.54939,9.990794,24.20389
