Nitro,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Timestamp,POA,"AE 1000NX A, AC Power","AE 1000NX B, AC Power","AE 1000NX C, AC Power","AE 1000NX D, AC Power","AE 1000NX E, AC Power",Production meter active power
,W/m²,kW,kW,kW,kW,kW,kW
2023-04-01 00:00:00,0,0,0,0,0,0,-12.94925
2023-04-01 01:00:00,0,0,0,0,0,0,-12.99142
2023-04-01 02:00:00,0,0,0,0,0,0,-12.99545
2023-04-01 03:00:00,0,0,0,0,0,0,-12.97114
2023-04-01 04:00:00,0,0,0,0,0,0,-12.97445
2023-04-01 05:00:00,0,0,0,0,0,0,-12.94568
2023-04-01 06:00:00,0,0,0,0,0,0,-16.99925
2023-04-01 07:00:00,22.21275,26.51144,26.33059,26.49351,26.18476,24.71337,105.1182
2023-04-01 08:00:00,110.9079,121.8964,121.7367,122.0409,119.0602,114.3709,578.8273
2023-04-01 09:00:00,249.8288,270.0197,269.9448,270.8677,262.6052,253.4223,1309.076
2023-04-01 10:00:00,249.1378,262.1603,262.5961,266.3594,256.9756,249.2551,1288.173
2023-04-01 11:00:00,197.1958,215.7858,213.869,215.6291,208.7698,202.3811,1040.654
2023-04-01 12:00:00,71.86815,91.44059,90.10994,91.3131,88.46423,85.09294,425.2699
2023-04-01 13:00:00,176.2734,200.9609,198.6558,201.0934,194.2358,187.7663,972.1484
2023-04-01 14:00:00,210.2782,232.4297,225.2729,231.8537,221.6444,214.9398,1125.101
2023-04-01 15:00:00,538.8717,610.3448,597.377,612.5811,573.6526,542.3932,2924.363
2023-04-01 16:00:00,592.7937,656.4007,649.6797,646.6857,636.6729,609.0507,3215.305
2023-04-01 17:00:00,380.638,400.2604,404.5825,395.2761,397.7911,355.8525,1909.909
2023-04-01 18:00:00,147.9525,96.31277,103.7391,97.98441,103.1525,2.953125,338.5382
2023-04-01 19:00:00,15.62731,8.880894,9.734241,8.867853,9.693397,0,11.03541
2023-04-01 20:00:00,0,0,0,0,0,0,-14.25074
2023-04-01 21:00:00,0,0,0,0,0,0,-13.61345
2023-04-01 22:00:00,0,0,0,0,0,0,-13.63621
2023-04-01 23:00:00,0.01108333,0,0,0,0,0,-13.70442
2023-04-02 00:00:00,0,0,0,0,0,0,-13.72253
2023-04-02 01:00:00,0,0,0,0,0,0,-13.62523
2023-04-02 02:00:00,0,0,0,0,0,0,-13.74504
2023-04-02 03:00:00,0,0,0,0,0,0,-13.801
