Jersey Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"SMA 1850kW Inverter - 1, AC Real Power","SMA 1850kW Inverter - 2, AC Real Power","SMA 1850kW Inverter - 3, AC Real Power",Production meter active power
,W/m²,kW,kW,kW,kW
2023-04-01 00:00:00,0,0,0,0,-6.950635
2023-04-01 01:00:00,0,0,0,0,-6.967446
2023-04-01 02:00:00,0,0,0,0,-6.995482
2023-04-01 03:00:00,0,0,0,0,-6.975629
2023-04-01 04:00:00,0,0,0,0,-6.971339
2023-04-01 05:00:00,0,0,0,0,-6.944224
2023-04-01 06:00:00,0,0,0,0,-6.92557
2023-04-01 07:00:00,30.11221,49.75,51.5,51,145.5018
2023-04-01 08:00:00,131.4628,215.75,223,218.5,656.3766
2023-04-01 09:00:00,315.6902,537.5,554.25,545.5,1628.185
2023-04-01 10:00:00,492.253,827.25,840.75,828.75,2538.18
2023-04-01 11:00:00,368.6027,627,655.75,648.25,1919.387
2023-04-01 12:00:00,216.5009,377.5,390.25,387.25,1131.718
2023-04-01 13:00:00,135.5518,254.75,259.25,258.25,778.3195
2023-04-01 14:00:00,83.72929,155.75,157.75,156.25,462.6414
2023-04-01 15:00:00,610.1683,1059.25,1104.75,1052.25,3176.044
2023-04-01 16:00:00,560.1499,976.5,1027,1069.5,3009.804
2023-04-01 17:00:00,450.2212,673.25,749.75,726.25,2109.291
2023-04-01 18:00:00,173.576,226.25,263.25,250.5,740.2716
2023-04-01 19:00:00,14.98685,16.25,19.75,18.25,49.98077
2023-04-01 20:00:00,0,0,0,0,-6.974668
2023-04-01 21:00:00,0,0,0,0,-7.010341
2023-04-01 22:00:00,0,0,0,0,-6.993074
2023-04-01 23:00:00,0,0,0,0,-7.002508
2023-04-02 00:00:00,0,0,0,0,-7.000243
2023-04-02 01:00:00,0,0,0,0,-7.013798
2023-04-02 02:00:00,0,0,0,0,-7.006089
2023-04-02 03:00:00,0,0,0,0,-6.97614
2023-04-02 04:00:00,0,0,0,0,-6.987733
2023-04-02 05:00:00,0,0,0,0,-6.969509
2023-04-02 06:00:00,0,0,0,0,-6.943981
2023-04-02 07:00:00,49.24215,55.25,69,53.25,171.011
2023-04-02 08:00:00,277.3655,433.75,463.5,404.5,1300.182
2023-04-02 09:00:00,545.1646,964.25,986.5,954.75,2908.558
2023-04-02 10:00:00,781.9537,1391.25,1416.25,1407.5,4216.371
2023-04-02 11:00:00,958.0358,1643.25,1653,1650.5,4944.271
2023-04-02 12:00:00,1063.458,1666.5,1666,1666,4994.828
2023-04-02 13:00:00,1094.187,1666.25,1666,1666,4993.887
2023-04-02 14:00:00,1041.625,1666,1666,1666,4992.515
2023-04-02 15:00:00,912.0553,1543.5,1570.25,1553,4669.654
2023-04-02 16:00:00,711.8531,1190,1231.75,1211.25,3646.147
2023-04-02 17:00:00,464.3777,732.25,778,758.25,2287.202
2023-04-02 18:00:00,183.455,239,285.75,261.25,795.0316
2023-04-02 19:00:00,13.80959,15,21,18,49.54876
2023-04-02 20:00:00,0,0,0,0,-6.955937
2023-04-02 21:00:00,0,0,0,0,-7.026843
2023-04-02 22:00:00,0,0,0,0,-7.063853
2023-04-02 23:00:00,0,0,0,0,-7.069563
2023-04-03 00:00:00,0,0,0,0,-7.051206
2023-04-03 01:00:00,0,0,0,0,-7.039683
2023-04-03 02:00:00,0,0,0,0,-6.967374
2023-04-03 03:00:00,0,0,0,0,-6.931284
2023-04-03 04:00:00,0,0,0,0,-6.888871
2023-04-03 05:00:00,0,0,0,0,-6.896667
2023-04-03 06:00:00,0.0001021268,0,0,0,-6.898319
2023-04-03 07:00:00,34.92901,63,65,63.75,183.9231
2023-04-03 08:00:00,193.7166,337.75,346.5,334.25,1014.508
2023-04-03 09:00:00,495.5294,870.25,889.25,865.5,2627.934
2023-04-03 10:00:00,711.7034,1216.25,1241.25,1219.25,3704.78
2023-04-03 11:00:00,539.7141,910.25,927.5,913.5,2764.819
2023-04-03 12:00:00,551.0667,918.5,934.25,923,2817.638
2023-04-03 13:00:00,458.7018,769,783.25,771.5,2347.63
2023-04-03 14:00:00,204.6823,362,370,364.5,1101.795
2023-04-03 15:00:00,208.6691,371.25,378.75,373.25,1130.327
2023-04-03 16:00:00,63.41759,115.5,119,118.5,352.4664
2023-04-03 17:00:00,56.81208,110.25,113.25,112.25,335.7951
2023-04-03 18:00:00,24.4541,51,51,50.25,150.0289
2023-04-03 19:00:00,3.06135,4.25,4.25,4.25,7.415503
2023-04-03 20:00:00,0,0,0,0,-6.957351
2023-04-03 21:00:00,0,0,0,0,-7.01368
2023-04-03 22:00:00,0,0,0,0,-6.948428
2023-04-03 23:00:00,0,0,0,0,-6.965059
2023-04-04 00:00:00,0,0,0,0,-6.959899
2023-04-04 01:00:00,0,0,0,0,-6.995379
2023-04-04 02:00:00,0,0,0,0,-6.987508
2023-04-04 03:00:00,0,0,0,0,-6.949555
2023-04-04 04:00:00,0,0,0,0,-6.937615
2023-04-04 05:00:00,0,0,0,0,-6.913365
2023-04-04 06:00:00,0.02495725,0,0,0,-6.840038
2023-04-04 07:00:00,30.80541,44.75,48.25,46,130.8401
2023-04-04 08:00:00,198.4902,352.75,344.75,305.5,992.2743
2023-04-04 09:00:00,309.74,487,515.75,507.5,1528.698
2023-04-04 10:00:00,382.7841,599.75,603.75,613.5,1831.396
2023-04-04 11:00:00,708.3715,1153,1148.25,1175,3515.206
2023-04-04 12:00:00,830.7908,1151.5,1188.75,1118.5,3592.055
2023-04-04 13:00:00,906.9988,1325,1306.25,1340.25,3924.669
2023-04-04 14:00:00,857.9915,1400,1427.25,1466.25,4170.663
2023-04-04 15:00:00,866.6607,1429.25,1443.25,1456,4280.95
2023-04-04 16:00:00,662.0916,1051.5,1081.5,1079.25,3212.339
2023-04-04 17:00:00,329.4515,504.75,526.75,514,1569.285
2023-04-04 18:00:00,147.7298,209,229,216.75,658.1234
2023-04-04 19:00:00,13.46618,24,27,26,72.66747
2023-04-04 20:00:00,0,0,0,0,-7.047077
2023-04-04 21:00:00,0,0,0,0,-7.038877
2023-04-04 22:00:00,0,0,0,0,-7.051438
2023-04-04 23:00:00,0,0,0,0,-7.012053
2023-04-05 00:00:00,0,0,0,0,-7.007704
