Range,Device,Reason
2023-01-09 - 2023-01-17,INVs 2-7 & 4-10,Awaiting RMAs
2023-01-20 - 2023-01-24,INV 3-4,Awaiting RMA
2023-04-05 - 2023-04-10,INV 8-3,Awaiting RMA
2023-07-14 - 2023-07-19,INV 5-1,Awaiting RMA
2023-09-07 - 2023-09-19,INV 7-3,Awaiting RMA
