Range,Device,Reason
2022-12-02 - 2022-12-21,INV 2.1,Awaiting Schneider dispatch
2023-01-07 - 2023-01-08,INV 2.1,Awaiting Schneider support (not available on weekends)
2023-02-04 - 2023-02-05,INV 2.1,Awaiting Schneider support (not available on weekends)
2023-03-18 - 2023-03-19,INV 2.1,Awaiting Schneider support (not available on weekends)
2023-06-14 - 2023-09-13,INV 2.1,Awaiting Schneider parts and support
