Ridgeback Monthly
Start date:,9/1/2023 12:00:00 AM
End date:,9/30/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Max wind speed - Lufft WS601,Production meter L-N voltage,Production meter active power,"SUNGROW SG125HV Inverter A1.1, Line kW","SUNGROW SG125HV Inverter A1.2, Line kW","SUNGROW SG125HV Inverter A1.3, Line kW","SUNGROW SG125HV Inverter A1.4, Line kW","SUNGROW SG125HV Inverter A1.5, Line kW","SUNGROW SG125HV Inverter A2.1, Line kW","SUNGROW SG125HV Inverter A2.2, Line kW","SUNGROW SG125HV Inverter A2.3, Line kW","SUNGROW SG125HV Inverter A2.4, Line kW","SUNGROW SG125HV Inverter A2.5, Line kW","SUNGROW SG125HV Inverter A2.6, Line kW","SUNGROW SG125HV Inverter A2.7, Line kW","SUNGROW SG125HV Inverter A2.8, Line kW","SUNGROW SG125HV Inverter A2.9, Line kW","SUNGROW SG125HV Inverter A2.10, Line kW","SUNGROW SG125HV Inverter A2.11, Line kW"
9/1/2023 12:00:00 AM,-3.121165,55.4739,0.82,13.6241,-4.4069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 12:15:00 AM,-2.935335,55.32105,0,13.64013,-4.42523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 12:30:00 AM,-3.36167,55.3714,0,13.65583,-4.44053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 12:45:00 AM,-2.62317,54.6829,0,13.63327,-4.4202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 1:00:00 AM,-3.047335,54.10885,0,13.64367,-4.43083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 1:15:00 AM,-2.67,54.0814,0.706667,13.6398,-4.4284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 1:30:00 AM,-3.143665,53.7546,0.48,13.66487,-4.4487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 1:45:00 AM,-3.12733,53.0505,0,13.65097,-4.4398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 2:00:00 AM,-2.5615,52.71635,0,13.6555,-4.44243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 2:15:00 AM,-2.403335,52.7814,0,13.63637,-4.42667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 2:30:00 AM,-2.93383,52.73925,0.04,13.65073,-4.44093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 2:45:00 AM,-2.5765,52.6898,0,13.65963,-4.44997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 3:00:00 AM,-2.366665,52.50305,0.126667,13.6566,-4.4497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 3:15:00 AM,-2.743,52.7997,0.193333,13.63817,-4.43503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 3:30:00 AM,-3.1035,52.1945,0,13.64437,-4.43967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 3:45:00 AM,-2.024665,52.1817,0.326667,13.64723,-4.4461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 4:00:00 AM,-2.44183,53.02215,0.6,13.64167,-4.43887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 4:15:00 AM,-3.324835,52.5827,0,13.63003,-4.4341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 4:30:00 AM,-2.3325,52.84275,0.686667,13.62367,-4.42553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 4:45:00 AM,-3.1865,52.18625,0.08,13.59587,-4.40397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 5:00:00 AM,-2.250665,52.1423,0.1,13.56837,-4.38073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 5:15:00 AM,-2.555665,52.66055,0.126667,13.5518,-4.37193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 5:30:00 AM,-2.527,52.1048,0,13.54997,-4.37257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 5:45:00 AM,-2.702,51.6644,0,13.53433,-4.3609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 6:00:00 AM,-2.818,51.3394,0,13.5331,-4.3595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 6:15:00 AM,-2.82833,51.01805,0,13.53337,-4.35517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 6:30:00 AM,-1.42733,50.58135,0,13.54503,-4.33677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 6:45:00 AM,4.479835,50.84965,0,13.5513,3.44087,0.510733,0.552167,0.610167,0.589367,0.605467,0.593633,0.5693,0.621833,0.6579,0.578267,0.5526,0.566067,0.590267,0.606,0.5944,0.543967
9/1/2023 7:00:00 AM,14.08315,51.77795,0.263333,13.56313,28.2174,1.8079,1.95357,1.99687,1.96057,1.97827,1.98367,2.04263,2.55477,2.83253,2.51603,2.72267,2.72663,2.18103,1.89347,2.01667,2.0036
9/1/2023 7:15:00 AM,24.3575,52.81985,0.476667,13.62247,127.328,3.0769,6.5518,3.61723,3.26283,3.27777,6.9371,14.6711,15.4796,14.3341,11.3508,10.2763,9.85317,9.37817,3.0225,6.30963,12.08
9/1/2023 7:30:00 AM,126.7163,59.2157,0.0866667,13.62427,380.79,15.3864,24.0104,16.7756,13.1906,13.2552,24.5888,33.7003,33.7561,32.6127,29.1103,30.4386,30.212,26.8833,6.02367,25.0744,30.3555
9/1/2023 7:45:00 AM,209.9635,66.61225,0.796667,13.66463,726.82,39.9354,42.5593,44.2026,38.8323,41.8164,46.5912,54.8264,55.2916,53.5651,48.8859,51.9429,53.1405,44.7195,21.3448,45.6762,49.2221
9/1/2023 8:00:00 AM,324.7955,76.0074,1.52,13.67997,1075.19,63.7505,66.2133,66.8001,59.6302,61.5578,71.4932,77.4601,78.4294,76.101,70.6583,74.3992,75.6027,63.2826,45.1889,64.4791,69.475
9/1/2023 8:15:00 AM,439.638,89.7119,1.76,13.6749,1394.68,81.8262,85.526,88.0915,76.6243,78.6916,92.5299,98.8185,100.193,97.1373,91.7731,96.7107,97.2477,81.8192,69.147,82.7634,88.6917
9/1/2023 8:30:00 AM,543.2405,97.2312,2.23333,13.7024,1696.82,101.628,105.848,109.215,94.7693,95.1247,105.528,117.982,119.857,116.849,112.643,117.442,115.838,99.868,93.0529,98.9962,106.465
9/1/2023 8:45:00 AM,609.5125,104.6745,1.73333,13.6808,1900.88,117.953,125.142,124.329,122.501,122.794,105.729,124.273,125.759,125.457,125.097,125.259,124.401,123.872,105.493,106.352,117.308
9/1/2023 9:00:00 AM,654.0115,107.8365,2.05,13.67137,1937.35,120.73,125.986,125.986,125.988,125.976,105.734,125.972,125.986,125.969,125.988,125.989,125.975,125.989,113.944,110.895,120.428
9/1/2023 9:15:00 AM,695.2885,106.856,3.57333,13.68043,1953.66,123.22,125.988,125.99,125.987,125.985,105.72,125.99,125.987,125.986,125.988,125.984,125.966,125.986,124.239,114.432,122.281
9/1/2023 9:30:00 AM,728.7355,108.5005,3.15333,13.69547,1959.7,124.432,125.986,125.988,125.989,125.984,105.731,125.991,125.991,125.972,125.988,125.988,125.988,125.99,125.988,117.122,123.434
9/1/2023 9:45:00 AM,757.85,111.2845,2.92333,13.64683,1964.33,125.293,125.985,125.99,125.986,125.99,105.732,125.991,125.99,125.974,125.987,125.989,125.989,125.989,125.985,119.697,124.473
9/1/2023 10:00:00 AM,785.894,110.7955,3.98667,13.65567,1966.4,125.661,125.988,125.991,125.987,125.989,105.719,125.988,125.99,125.99,125.992,125.994,125.989,125.988,125.987,121.4,124.726
9/1/2023 10:15:00 AM,810.3385,112.0205,3.46333,13.66127,1968.1,125.905,125.988,125.987,125.988,125.99,105.741,125.987,125.987,125.989,125.989,125.986,125.989,125.986,125.989,122.958,124.639
9/1/2023 10:30:00 AM,832.532,112.3595,3.86667,13.63277,1969.46,125.834,125.987,125.988,125.988,125.989,105.742,125.989,125.988,125.989,125.986,125.986,125.989,125.987,125.987,124.337,124.562
9/1/2023 10:45:00 AM,850.603,115.2925,2.99333,13.6571,1969.03,124.825,125.989,125.989,125.989,125.986,105.73,125.986,125.99,125.988,125.987,125.987,125.987,125.991,125.988,124.758,123.902
9/1/2023 11:00:00 AM,868.404,113.2315,3.75,13.68477,1967.91,124.371,125.99,125.989,125.991,125.989,105.737,125.989,125.987,125.987,125.99,125.987,125.989,125.991,125.986,125.489,123.393
9/1/2023 11:15:00 AM,882.0005,115.8995,2.97,13.67213,1967.98,123.731,125.987,125.986,125.989,125.988,105.724,125.988,125.988,125.987,125.988,125.985,125.986,125.986,125.987,125.987,123.01
9/1/2023 11:30:00 AM,893.6495,115.465,3.27667,13.6332,1966.57,123.027,125.993,125.987,125.989,125.989,105.744,125.989,125.989,125.99,125.989,125.989,125.99,125.99,125.989,125.989,122.282
9/1/2023 11:45:00 AM,906.965,115.747,3.76667,13.6385,1965.36,123.111,125.989,125.988,125.991,125.991,105.731,125.755,125.989,125.99,125.988,125.989,125.989,125.986,125.99,125.991,121.256
9/1/2023 12:00:00 PM,914.8025,116.836,3.41667,13.63817,1963.37,122.621,125.989,125.993,125.99,125.99,105.736,124.932,125.99,125.992,125.99,125.99,125.992,125.99,125.986,125.989,120.746
9/1/2023 12:15:00 PM,920.8645,116.951,3.69667,13.63413,1961.98,122.247,125.989,125.987,125.99,125.99,105.738,124.151,125.989,125.986,125.99,125.988,125.99,125.985,125.989,125.988,120.284
9/1/2023 12:30:00 PM,927.7825,114.922,3.80333,13.66327,1959.08,121.956,125.992,125.991,125.988,125.99,105.738,123.444,125.992,125.99,117.589,125.991,125.991,125.988,125.988,125.989,119.409
9/1/2023 12:45:00 PM,933.825,113.879,4.54333,13.66673,1953.06,117.352,122.948,125.988,125.989,125.991,104.719,123.259,125.958,125.988,125.989,125.989,125.987,125.988,125.986,125.963,119.429
9/1/2023 1:00:00 PM,938.2965,113.0155,4.32667,13.65677,1953.1,121.097,125.61,125.986,125.994,125.991,104.761,123.751,125.988,125.992,125.99,125.989,125.991,125.99,125.959,125.803,119.328
9/1/2023 1:15:00 PM,938.7955,113.458,3.84333,13.66507,1959.49,121.872,125.991,125.986,125.991,125.99,105.737,124.186,125.989,125.989,125.989,125.988,125.985,125.989,125.926,125.988,119.227
9/1/2023 1:30:00 PM,937.003,111.6435,4.72,13.65293,1960.56,122.089,125.988,125.99,125.984,125.987,105.732,124.274,125.99,125.986,125.985,125.989,125.989,125.987,125.988,125.99,119.589
9/1/2023 1:45:00 PM,934.346,114.6055,3.55,13.6525,1961.01,122.007,125.987,125.985,125.985,125.985,105.74,124.264,125.987,125.99,125.986,125.987,125.989,125.989,125.987,125.989,119.947
9/1/2023 2:00:00 PM,875.3995,114.9595,3.57,13.69767,1849.46,116.655,119.043,120.852,119.005,122.852,100.805,117.229,120.669,121.731,121.92,120.481,122.018,125.347,121.45,120.895,116.063
9/1/2023 2:15:00 PM,925.2005,112.9615,3.92,13.69373,1964.69,123.696,125.99,125.989,125.99,125.99,105.725,125.905,125.99,125.989,125.991,125.988,125.988,125.99,125.992,125.966,121.098
9/1/2023 2:30:00 PM,910.282,113.2695,3.92333,13.6943,1961.45,123.384,125.359,125.848,125.985,125.987,105.632,125.532,125.985,125.965,125.987,125.987,125.988,125.991,125.987,125.71,121.024
9/1/2023 2:45:00 PM,904.57,112.746,4.11,13.69953,1944.82,122.117,125.096,125.989,125.83,124.994,105.713,125.437,125.105,125.97,125.786,125.881,122.416,122.407,125.05,121.785,120.59
9/1/2023 3:00:00 PM,889.481,115.9065,3.46333,13.6585,1963.09,123.363,125.99,125.99,125.987,125.99,98.6792,125.916,125.991,125.989,125.99,125.987,125.991,125.987,125.987,124.31,121.492
9/1/2023 3:15:00 PM,876.0195,115.566,3.79667,13.63387,1964.9,124.418,125.989,125.992,125.991,125.991,105.742,125.96,125.988,125.99,125.989,125.989,125.991,125.988,125.987,123.875,122.105
9/1/2023 3:30:00 PM,860.502,118.3715,3.38333,13.63713,1962.97,123.866,125.988,125.989,125.989,125.992,105.725,125.97,125.989,125.988,125.992,125.99,125.99,125.99,125.99,122.649,122.218
9/1/2023 3:45:00 PM,840.56,117.9815,4.32,13.64183,1961.45,123.863,125.989,125.986,125.991,125.989,105.738,125.976,125.989,125.99,125.991,125.988,125.987,125.988,125.989,121.102,122.26
9/1/2023 4:00:00 PM,820.675,118.71,3.61,13.65027,1959.89,123.542,125.99,125.989,125.987,125.986,105.731,125.981,125.99,125.988,125.989,125.986,125.986,125.988,125.99,119.869,122.163
9/1/2023 4:15:00 PM,794.173,119.753,4.05667,13.6545,1954.81,122.815,125.99,125.987,125.988,125.989,105.747,125.987,125.992,125.992,125.987,125.99,125.988,125.987,125.988,117.484,120.914
