Timestamp,POA Sensor,Weather station ambient temperature,Max wind speed - VAISALA_1,Production meter L-N voltage,Production meter active power,"Inverter 1, AC Active Power (Total)"
9/1/2023 12:00:00 AM,0.000348124,61.51519,1.21222,7.466533,-2.76889,0
9/1/2023 12:15:00 AM,0.000942394,61.52753,1.20194,7.467854,-2.76278,0
9/1/2023 12:30:00 AM,0.00163161,61.443,1.10178,7.478923,-2.76409,0
9/1/2023 12:45:00 AM,0.00115338,61.41772,1.0885,7.488523,-2.78988,0
9/1/2023 1:00:00 AM,0,61.44353,0.917649,7.4954,-2.7925,0
9/1/2023 1:15:00 AM,0.000534494,61.41267,1.18069,7.415017,-2.749,0
9/1/2023 1:30:00 AM,0,61.4892,1.039,7.42395,-2.75606,0
9/1/2023 1:45:00 AM,3.5164E-06,61.56934,0.757277,7.43224,-2.76076,0
9/1/2023 2:00:00 AM,3.5164E-06,61.4332,0.495132,7.44082,-2.76938,0
9/1/2023 2:15:00 AM,0,61.33109,0.503333,7.442083,-2.78484,0
9/1/2023 2:30:00 AM,0,61.34558,0.555778,7.443347,-2.7934,0
9/1/2023 2:45:00 AM,0,61.30556,0.634667,7.451637,-2.75027,0
9/1/2023 3:00:00 AM,0,61.22889,0.614172,7.45418,-2.75746,0
9/1/2023 3:15:00 AM,0,61.13136,0.539444,7.451807,-2.74038,0
9/1/2023 3:30:00 AM,0,61.00426,0.648602,7.45949,-2.75899,0
9/1/2023 3:45:00 AM,0,60.99308,0.811278,7.457777,-2.75697,0
9/1/2023 4:00:00 AM,0,61.061,0.783445,7.462593,-2.75103,0
9/1/2023 4:15:00 AM,5.62625E-05,60.96657,0.592944,7.461467,-2.76151,0
9/1/2023 4:30:00 AM,0,60.96997,0.587722,7.46567,-2.76355,0
9/1/2023 4:45:00 AM,0,60.88771,0.740722,7.451017,-2.75338,0
9/1/2023 5:00:00 AM,0,60.79338,0.799167,7.419394,-2.73128,0
9/1/2023 5:15:00 AM,0,60.72789,0.814722,7.4078,-2.72181,0
9/1/2023 5:30:00 AM,0,60.69189,0.6685,7.3984,-2.72293,0
9/1/2023 5:45:00 AM,0,60.55896,0.640333,7.395483,-2.71531,0
9/1/2023 6:00:00 AM,0,60.42983,0.515015,7.43444,-2.72989,0
9/1/2023 6:15:00 AM,0.470488,60.36407,1.01522,7.436164,-2.72461,0
9/1/2023 6:30:00 AM,3.78392,60.14455,1.15878,7.430823,-3.00279,0.133333
9/1/2023 6:45:00 AM,8.50389,60.17619,1.12833,7.451856,7.19906,10.2
9/1/2023 7:00:00 AM,23.4141,60.20361,1.10144,7.45498,40.9607,43.7
