Freemont Solar Center,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"TMIEC Inverter - A, Active Power P","TMIEC Inverter - B, Active Power P","TMIEC Inverter - C, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW
2023-08-04 18:00:00,200.9272,,273.1763,301.3421,572.8271
2023-08-04 19:00:00,50.75695,,88.5789,88.80827,167.3876
2023-08-04 20:00:00,1.815097,,2.422913,1.906348,0.4866905
2023-08-04 21:00:00,0,,0,0,-9.599999
2023-08-04 22:00:00,0,,0,0,-9.599999
2023-08-04 23:00:00,0,,0,0,-9.599999
2023-08-05 00:00:00,0,,0,0,-1.938666
2023-08-05 01:00:00,0,,,,0
2023-08-05 02:00:00,0,,,,0
2023-08-05 03:00:00,0,,,,0
2023-08-05 04:00:00,0,,,,0
2023-08-05 05:00:00,0,,,,0
2023-08-05 06:00:00,2.230957,,,,0
2023-08-05 07:00:00,77.37569,,,,0
2023-08-05 08:00:00,281.0465,,,,0
2023-08-05 09:00:00,511.6391,,,,0
2023-08-05 10:00:00,721.0504,,,,0
2023-08-05 11:00:00,881.725,,,,0
2023-08-05 12:00:00,983.8279,,,,0
2023-08-05 13:00:00,1022.253,,1016.268,884.8716,1543.431
2023-08-05 14:00:00,992.8875,,1420.008,1429.375,2822.138
2023-08-05 15:00:00,797.4016,,1249.518,1238.523,2447.287
2023-08-05 16:00:00,677.2896,,1059.119,1086.115,2124.154
2023-08-05 17:00:00,474.5493,,711.6483,737.7387,1433.432
2023-08-05 18:00:00,240.3403,,317.8441,334.4773,639.53
2023-08-05 19:00:00,56.67144,,61.72361,65.65491,122.3415
2023-08-05 20:00:00,0.6852005,,0,0,-2.525749
2023-08-05 21:00:00,0,,0,0,-9.599999
2023-08-05 22:00:00,0,,0,0,-9.599999
2023-08-05 23:00:00,0,,0,0,-9.599999
2023-08-06 00:00:00,0,,0,0,-9.599999
2023-08-06 01:00:00,0,,0,0,-9.599999
2023-08-06 02:00:00,0,,0,0,-9.779332
2023-08-06 03:00:00,0,,0,0,-9.599999
2023-08-06 04:00:00,0,,0,0,-9.599999
2023-08-06 05:00:00,0,,0,0,-9.599999
