Dairy Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA*,"TMEIC 2.5MW Inverter 1.1.1, Active Power P","TMEIC 2.5MW Inverter 1.2.1, Active Power P","TMEIC 2.5MW Inverter 1.3.1, Active Power P","TMEIC 2.5MW Inverter 1.4.1, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2023-08-01 00:00:00,-0.3229621,0,0,0,0,-13.19783
2023-08-01 01:00:00,-0.3274058,0,0,0,0,-13.13303
2023-08-01 02:00:00,-0.2776261,0,0,0,0,-13.145
2023-08-01 03:00:00,-0.3176357,0,0,0,0,-13.22783
2023-08-01 04:00:00,-0.3162583,0,0,0,0,-13.19949
2023-08-01 05:00:00,0.2357247,0,0,0,0,-12.881
2023-08-01 06:00:00,114.5803,271.4617,278.3117,291.7783,283.3133,1133.801
2023-08-01 07:00:00,565.0034,1609.862,1711.235,1745.208,1700.275,6747.749
2023-08-01 08:00:00,820.2825,2258.41,2372.17,2407.992,2347.387,9298.68
2023-08-01 09:00:00,932.5958,2489.297,2553.657,2559.678,2542.677,9995.271
2023-08-01 10:00:00,973.6864,2526.431,2549.019,2549.26,2549.387,10000.78
2023-08-01 11:00:00,986.1863,2530.223,2555.727,2556.085,2555.364,10000.36
2023-08-01 12:00:00,979.0261,2521.793,2565.347,2567.058,2558.525,9996.713
2023-08-01 13:00:00,1004.118,2529.28,2540.018,2540.987,2536.365,9930.102
2023-08-01 14:00:00,765.0814,2009.465,2128.618,2173.453,2117.761,8279.595
2023-08-01 15:00:00,836.8732,2148.512,2200.375,2244.388,2214.608,8662.461
2023-08-01 16:00:00,814.5895,2089.898,2145.848,2157.227,2095.733,8319.34
2023-08-01 17:00:00,911.1209,2334.412,2430.008,2494.757,2398.418,9457.828
2023-08-01 18:00:00,715.0239,2002.187,2098.528,2150.565,2058.882,8130.457
2023-08-01 19:00:00,287.2422,799.8433,835.2368,859.1852,800.1498,3218.726
2023-08-01 20:00:00,3.484488,3.12,2.953332,4.628333,3.546668,28.29767
2023-08-01 21:00:00,-0.3773766,0,0,0,0,-13.15883
2023-08-01 22:00:00,-0.3355694,0,0,0,0,-13.11083
2023-08-01 23:00:00,-0.3284138,0,0,0,0,-13.13667
2023-08-02 00:00:00,-0.337559,0,0,0,0,-13.18217
2023-08-02 01:00:00,-0.3630178,0,0,0,0,-13.20067
2023-08-02 02:00:00,-0.3941396,0,0,0,0,-13.16584
2023-08-02 03:00:00,-0.3453504,0,0,0,0,-13.00167
2023-08-02 04:00:00,-0.2456877,0,0,0,0,-12.9665
2023-08-02 05:00:00,-0.04074325,0,0,0,0,-13.0925
2023-08-02 06:00:00,103.196,233.9783,240.8367,252.515,244.125,980.2563
