Merrill Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA*,"TMEIC 2.5MW Inverter 1.1.1, Active Power P","TMEIC 2.5MW Inverter 1.2.1, Active Power P","TMEIC 2.5MW Inverter 1.3.1, Active Power P","TMEIC 2.5MW Inverter 1.4.1, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2023-08-01 00:00:00,-0.2427522,0,0,0,0,-13.83583
2023-08-01 01:00:00,-0.3673134,0,0,0,0,-13.82517
2023-08-01 02:00:00,-0.432242,0,0,0,0,-13.90167
2023-08-01 03:00:00,-0.3844084,0,0,0,0,-13.94384
2023-08-01 04:00:00,-0.3925484,0,0,0,0,-13.94183
2023-08-01 05:00:00,0.1865649,0,0,0,0,-13.6275
2023-08-01 06:00:00,107.343,92.49667,73.02166,77.78,79.16668,332.6757
2023-08-01 07:00:00,546.731,720.1016,445.9283,578.0467,527.43,2271.464
2023-08-01 08:00:00,818.4092,1688.543,1611.233,1602.882,1619.928,6493.384
2023-08-01 09:00:00,921.0834,1861.32,1776.333,1776.97,1779.473,7135.961
2023-08-01 10:00:00,975.2515,1902.157,1815.367,1816.765,1824.155,7283.02
2023-08-01 11:00:00,979.0861,1885.077,1800.771,1802.132,1805.805,7200.634
2023-08-01 12:00:00,980.3406,1880.765,1788.107,1791.942,1792.957,7148.32
2023-08-01 13:00:00,835.8683,1673.795,1602.457,1610.522,1607.996,6384.853
2023-08-01 14:00:00,710.2889,1440.01,1372.893,1369.747,1363.988,5441.306
2023-08-01 15:00:00,630.8698,1241.399,1180.188,1178.605,1180.843,4781.563
2023-08-01 16:00:00,838.9231,1622.335,1548.792,1551.917,1552.457,6216.584
2023-08-01 17:00:00,917.4024,1848.32,1756.34,1755.32,1766.325,7018.897
2023-08-01 18:00:00,721.4119,1430.988,1393.899,1378.528,1392.01,5510.144
2023-08-01 19:00:00,290.1909,453.6633,454.22,447.1166,452.1267,1777.953
2023-08-01 20:00:00,4.505565,0.675,0.5383332,0.6533332,0.6516668,12.64717
2023-08-01 21:00:00,-0.4247504,0,0,0,0,-13.609
2023-08-01 22:00:00,-0.3037601,0,0,0,0,-13.61584
2023-08-01 23:00:00,-0.2859155,0,0,0,0,-13.78817
2023-08-02 00:00:00,-0.3954473,0,0,0,0,-13.61967
2023-08-02 01:00:00,-0.4111196,0,0,0,0,-13.69867
2023-08-02 02:00:00,-0.444813,0,0,0,0,-13.6465
2023-08-02 03:00:00,-0.4199589,0,0,0,0,-13.55583
2023-08-02 04:00:00,-0.3626837,0,0,0,0,-13.657
2023-08-02 05:00:00,0.0769057,0,0,0,0,-13.63783
2023-08-02 06:00:00,88.88274,85.65833,73.69048,77.57835,76.32832,320.875
