Site Name,WO#,Fault/Event Start,Fault End,Date When Marked Complete/Incomplete,Description
Bartow,29550,"Jan 01, 2024 08:00:00 AM","Jan 31, 2024 05:00:00 PM",,Bartow - Monthly Utility Curtailment Tracking (01/01-01/31)
Ridgeback,29551,"Jan 01, 2024 09:45:00 AM","Jan 01, 2024 09:50:00 AM",,Site offline with recloser open
Dairy,29544,"Jan 01, 2024 12:32:00 PM",,,Dairy - 3 Year Amber Infrastructure Maintenance Requirements 
Beaufort,29866,"Jan 01, 2024 02:36:00 PM",,,Beaufort - Capital Power Operator Rounds 
Gauss,29553,"Jan 01, 2024 02:52:00 PM","Jan 01, 2024 03:35:00 PM",,Site offline due to transfer trip
Garner Solar,29554,"Jan 02, 2024 06:15:00 AM",,,Phase 1 Production Confirmation?
,23215,"Jan 02, 2024 07:34:00 AM","Jan 02, 2024 03:00:00 PM","Jan 02, 2024 03:00:00 PM",Mavic Pro drone maintenance.
,23214,"Jan 02, 2024 07:35:00 AM",,,Maintenance for Inspire 1 and components.
County Home,27391,"Jan 02, 2024 08:00:00 AM","Oct 24, 2023 12:40:00 PM",,CSS administers the Duke MOA self inspection
South Robeson,29382,"Jan 02, 2024 08:00:00 AM","Jan 10, 2024 02:46:00 PM","Jan 11, 2024 10:57:00 AM",South Robeson - Amber Infrastructure/Radian Annual Inspection
Arba Solar Energy Storage,29389,"Jan 02, 2024 08:00:00 AM","Jan 05, 2024 11:54:00 AM","Jan 08, 2024 08:00:00 AM", Arba Solar Energy Storage - Annual Inspection
Arba,29390,"Jan 02, 2024 08:00:00 AM","Jan 03, 2024 04:00:00 PM","Jan 04, 2024 08:17:00 AM",Arba - Leyline Annual Inspection
Sadiebrook,29555,"Jan 02, 2024 09:43:00 AM","Jan 22, 2024 10:02:00 AM",,UAV Follow Up: 2 String Anomalies
T2721,29562,"Jan 02, 2024 10:24:00 AM","Jan 05, 2024 03:00:00 PM",, INV 14 no communications
