Atkinson 2 Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1,Production meter L-N voltage,Production meter active power,"Schneider Inverter - 1, Active Power","Schneider Inverter - 2, Active Power","Schneider Inverter - 3, Active Power"
10/1/2023 12:00:00 AM,-0.1818195,57.75366,64.17055,0,13.62244,-4.95183,0,0,0
10/1/2023 12:15:00 AM,-0.2108476,58.69523,64.29381,0,13.62891,-4.96264,0,0,0
10/1/2023 12:30:00 AM,-0.1861505,58.07148,63.98483,0,13.62649,-4.963277,0,0,0
10/1/2023 12:45:00 AM,-0.02984154,57.26867,63.687,0,13.62118,-4.95889,0,0,0
10/1/2023 1:00:00 AM,-0.1334102,57.07581,63.62383,0,13.61192,-4.946318,0,0,0
10/1/2023 1:15:00 AM,-0.1197639,57.06374,63.53045,0,13.58886,-4.930234,0,0,0
10/1/2023 1:30:00 AM,-0.1661897,57.02894,63.40328,0,13.60853,-4.946945,0,0,0
10/1/2023 1:45:00 AM,-0.1234393,56.75963,63.2858,0,13.6194,-4.953758,0,0,0
10/1/2023 2:00:00 AM,-0.1301565,57.08669,63.21784,0,13.61004,-4.945406,0,0,0
10/1/2023 2:15:00 AM,-0.1147321,57.20495,63.15723,0,13.61674,-4.953846,0,0,0
10/1/2023 2:30:00 AM,-0.1146187,56.89042,62.97438,0,13.61755,-4.950335,0,0,0
10/1/2023 2:45:00 AM,-0.1503574,56.64192,62.76381,0,13.62208,-4.96,0,0,0
10/1/2023 3:00:00 AM,-0.197396,56.36164,62.5049,0,13.62093,-4.960381,0,0,0
10/1/2023 3:15:00 AM,-0.1027436,55.97831,62.29659,0,13.62947,-4.97,0,0,0
10/1/2023 3:30:00 AM,-0.1411827,56.10249,62.21622,0,13.63123,-4.97,0,0,0
10/1/2023 3:45:00 AM,-0.1221139,56.46474,62.274,0,13.62844,-4.967747,0,0,0
10/1/2023 4:00:00 AM,-0.1601684,56.87376,62.36813,0,13.64807,-4.987488,0,0,0
10/1/2023 4:15:00 AM,-0.1015037,56.97065,62.37333,0,13.62869,-4.964251,0,0,0
10/1/2023 4:30:00 AM,-0.1019412,57.09924,62.36769,1,13.57495,-4.917741,0,0,0
10/1/2023 4:45:00 AM,-0.1354746,57.25159,62.2943,1,13.56887,-4.915493,0,0,0
10/1/2023 5:00:00 AM,-0.1979616,57.22902,62.15936,0,13.57035,-4.914054,0,0,0
10/1/2023 5:15:00 AM,-0.1063639,57.46338,62.12346,1,13.56605,-4.911439,0,0,0
10/1/2023 5:30:00 AM,-0.1183163,57.5304,62.0731,1,13.55754,-4.900792,0,0,0
10/1/2023 5:45:00 AM,-0.0949557,57.37738,62.04386,2,13.54386,-4.886573,0,0,0
