Anderson Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - WS (Amb/Mod Temp),Production meter L-N voltage,Production meter active power,"CPS SCH 125 | INV-01, AC Power Output","CPS SCH 125 | INV-02, AC Power Output","CPS SCH 125 | INV-03, AC Power Output","CPS SCH 125 | INV-04, AC Power Output","CPS SCH 125 | INV-05, AC Power Output","CPS SCH 125 | INV-06, AC Power Output","CPS SCH 125 | INV-07, AC Power Output","CPS SCH 125 | INV-08, AC Power Output","CPS SCH 125 | INV-09, AC Power Output","CPS SCH 125 | INV-10, AC Power Output","CPS SCH 125 | INV-11, AC Power Output","CPS SCH 125 | INV-12, AC Power Output","CPS SCH 125 | INV-13, AC Power Output","CPS SCH 125 | INV-14, AC Power Output","CPS SCH 125 | INV-15, AC Power Output","CPS SCH 125 | INV-16, AC Power Output"
10/1/2023 9:15:00 AM,645.399,96.1911,72.8093,1,7.360887,1551.3,90.3733,103.45,102.83,101.637,101.81,101.897,102.88,90.5267,96.8833,104.34,104.207,87.2133,100.987,92.2067,97.16,85.6067
10/1/2023 9:30:00 AM,743.934,104.5735,75.4109,2,7.37811,1747.21,103.623,118.15,118.317,115.767,115.27,115.82,117.487,102.88,75.3933,118.31,118.253,100.61,117.157,108.017,115.303,105.817
10/1/2023 9:45:00 AM,774.181,109.4365,77.4379,2,7.373223,1822.56,109.08,122.45,122.567,120.697,119.993,119.79,121.84,108.083,75.4,122.517,122.567,105.58,121.727,113.163,121.983,120.157
10/1/2023 10:00:00 AM,789.059,112.008,78.769,1,7.366777,1850.68,112.417,124.233,124.233,122.217,121.673,121.12,123.66,111.477,75.4,124.413,124.65,107.353,123.827,115.167,124.003,122.427
10/1/2023 10:15:00 AM,796.275,112.545,78.9952,3,7.352667,1870.56,115.56,125.333,125.257,123.843,123.143,122.447,124.69,114.137,75.3933,124.8,125.213,108.503,125.013,116.397,124.973,123.74
10/1/2023 10:30:00 AM,801.767,112.2395,79.8407,2,7.353223,1876.82,117.727,125.527,125.293,124.3,123.387,122.68,124.757,115.957,75.3733,124.763,125.21,108.443,125.03,116.787,124.98,124.063
10/1/2023 10:45:00 AM,808.037,113.1785,80.6839,2,7.377887,1884.07,120.18,125.54,125.313,124.72,124.02,123.04,125.183,117.92,75.4067,124.817,125.283,109.397,125.257,117.42,125.14,124.437
10/1/2023 11:00:00 AM,808.039,115.204,82.0493,1,7.38222,1884.43,121.457,125.533,125.357,124.537,123.58,122.62,124.76,118.86,75.3933,124.83,125.287,109.33,125.22,117.263,125.07,124.397
10/1/2023 11:15:00 AM,806.163,116.048,82.1407,3,7.380223,1883.34,122.493,125.563,125.33,124.13,123.027,121.943,124.207,119.653,75.4,124.813,125.29,109.087,125.263,117.093,125.117,123.873
10/1/2023 11:30:00 AM,807.368,116.851,83.0182,2,7.36689,1885.35,123.9,125.587,125.343,124.31,123.087,122.11,124.08,120.74,75.4,124.837,125.287,108.613,125.247,117.17,125.133,123.607
