Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Voltage,Meter Power,"Schneider XC 680kW Inverter - 1, Active Power","Schneider XC 680kW Inverter - 2, Active Power","Schneider XC 680kW Inverter - 3, Active Power","Schneider XC 680kW Inverter - 4, Active Power","Schneider XC 680kW Inverter - 5, Active Power","Schneider XC 680kW Inverter - 6, Active Power","Schneider XC 680kW Inverter - 7, Active Power","Schneider XC 680kW Inverter - 8, Active Power",Day/Night
2023-10-01 00:00:00,-0.3071527,62.84348,0,13.68989,-13.23033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 00:15:00,-0.351325,62.38084,0,13.70734,-13.26233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 00:30:00,-0.1601962,61.70124,0,13.71833,-13.29433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 00:45:00,-0.2862146,60.99046,0,13.71011,-13.27567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:00:00,-0.2256307,60.60231,0,13.71555,-13.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:15:00,-0.4158314,59.96765,0,13.69067,-13.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:30:00,-0.3018245,59.47959,0,13.70066,-13.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:45:00,-0.2810688,59.14954,0,13.72444,-13.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:00:00,-0.3116693,58.80308,0,13.72089,-13.30133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:15:00,-0.1825847,58.5553,0,13.725,-13.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:30:00,0.0070017,58.8536,0,13.715,-13.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:45:00,-0.1022863,58.96886,0,13.72433,-13.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 03:00:00,-0.06854012,59.29591,0,13.73211,-13.32967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
